;transcript9_ppan;transcript10_ppan;transcript15_ppan;transcript9_ptro;transcript10_ptro;transcript17_ptro;transcript18_ggor;transcript14_ggor;transcript10_ggor;transcript9_ggor;transcript17_ggor;transcript10_hsap
transcript9_ppan;1.0;0.833;1.0;1.0;0.833;1.0;1.0;1.0;0.833;1.0;0.833;0.667
transcript10_ppan;0.833;1.0;0.833;0.833;1.0;0.833;0.833;0.833;1.0;0.833;0.667;0.8
transcript15_ppan;1.0;0.833;1.0;1.0;0.833;1.0;1.0;1.0;0.833;1.0;0.833;0.667
transcript9_ptro;1.0;0.833;1.0;1.0;0.833;1.0;1.0;1.0;0.833;1.0;0.833;0.667
transcript10_ptro;0.833;1.0;0.833;0.833;1.0;0.833;0.833;0.833;1.0;0.833;0.667;0.8
transcript17_ptro;1.0;0.833;1.0;1.0;0.833;1.0;1.0;1.0;0.833;1.0;0.833;0.667
transcript18_ggor;1.0;0.833;1.0;1.0;0.833;1.0;1.0;1.0;0.833;1.0;0.833;0.667
transcript14_ggor;1.0;0.833;1.0;1.0;0.833;1.0;1.0;1.0;0.833;1.0;0.833;0.667
transcript10_ggor;0.833;1.0;0.833;0.833;1.0;0.833;0.833;0.833;1.0;0.833;0.667;0.8
transcript9_ggor;1.0;0.833;1.0;1.0;0.833;1.0;1.0;1.0;0.833;1.0;0.833;0.667
transcript17_ggor;0.833;0.667;0.833;0.833;0.667;0.833;0.833;0.833;0.667;0.833;1.0;0.5
transcript10_hsap;0.667;0.8;0.667;0.667;0.8;0.667;0.667;0.667;0.8;0.667;0.5;1.0
