;transcript15_ENSPEMG00000024651;transcript6_ENSMPUG00000020072;transcript25_ENSCPOG00000024843;transcript6_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript19_ENSECAG00000007947;transcript21_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript13_ENSMLUG00000027828;transcript15_ENSCGRG00015005362;transcript15_ENSCGRG00000018457;transcript15_ENSCGRG00001010245;transcript36_ENSCGRG00000018457;transcript15_ENSSTOG00000019743
transcript15_ENSPEMG00000024651;1.0;0.708;0.799;0.717;0.717;0.693;0.794;0.747;0.74;0.484;0.895;0.895;0.895;0.823;0.734
transcript6_ENSMPUG00000020072;0.708;1.0;0.855;0.812;0.812;0.789;0.738;0.706;0.796;0.549;0.783;0.783;0.783;0.74;0.693
transcript25_ENSCPOG00000024843;0.799;0.855;1.0;0.863;0.863;0.83;0.77;0.729;0.885;0.591;0.895;0.895;0.895;0.83;0.728
transcript6_ENSECAG00000007947;0.717;0.812;0.863;1.0;1.0;0.962;0.894;0.846;0.796;0.547;0.78;0.78;0.78;0.74;0.717
transcript20_ENSECAG00000007947;0.717;0.812;0.863;1.0;1.0;0.962;0.894;0.846;0.796;0.547;0.78;0.78;0.78;0.74;0.717
transcript7_ENSECAG00000007947;0.693;0.789;0.83;0.962;0.962;1.0;0.855;0.807;0.825;0.512;0.746;0.746;0.746;0.706;0.681
transcript19_ENSECAG00000007947;0.794;0.738;0.77;0.894;0.894;0.855;1.0;0.946;0.712;0.459;0.863;0.863;0.863;0.821;0.798
transcript21_ENSECAG00000007947;0.747;0.706;0.729;0.846;0.846;0.807;0.946;1.0;0.68;0.48;0.816;0.816;0.816;0.861;0.775
transcript7_ENSMLUG00000027828;0.74;0.796;0.885;0.796;0.796;0.825;0.712;0.68;1.0;0.607;0.814;0.814;0.814;0.787;0.68
transcript13_ENSMLUG00000027828;0.484;0.549;0.591;0.547;0.547;0.512;0.459;0.48;0.607;1.0;0.514;0.514;0.514;0.55;0.446
transcript15_ENSCGRG00015005362;0.895;0.783;0.895;0.78;0.78;0.746;0.863;0.816;0.814;0.514;1.0;1.0;1.0;0.929;0.816
transcript15_ENSCGRG00000018457;0.895;0.783;0.895;0.78;0.78;0.746;0.863;0.816;0.814;0.514;1.0;1.0;1.0;0.929;0.816
transcript15_ENSCGRG00001010245;0.895;0.783;0.895;0.78;0.78;0.746;0.863;0.816;0.814;0.514;1.0;1.0;1.0;0.929;0.816
transcript36_ENSCGRG00000018457;0.823;0.74;0.83;0.74;0.74;0.706;0.821;0.861;0.787;0.55;0.929;0.929;0.929;1.0;0.798
transcript15_ENSSTOG00000019743;0.734;0.693;0.728;0.717;0.717;0.681;0.798;0.775;0.68;0.446;0.816;0.816;0.816;0.798;1.0
