;ENSCAFT00000028452_90_90;ENST00000331224_90_90;ENST00000341267_90_90;ENST00000392848_90_90;ENST00000556051_90_90;ENSMUST00000056110_90_90;ENSMUST00000109841_90_90;ENSMUST00000109842_90_90;ENSMUST00000109843_90_90;ENSMUST00000109844_90_90;ENSMUST00000109846_90_90;ENSMUST00000124293_90_90;ENSMUST00000173539_90_90;ENSMUST00000173812_90_90
ENSCAFT00000028452_90_90;1.0;0.688;0.875;0.25;0.25;1.0;0.667;0.8;0.6;1.0;0.867;0.4;0.733;0.333
ENST00000331224_90_90;0.688;1.0;0.812;0.462;0.13;0.611;0.6;0.733;0.533;0.611;0.688;0.278;0.667;0.231
ENST00000341267_90_90;0.875;0.812;1.0;0.375;0.115;0.778;0.5;0.611;0.444;0.778;0.667;0.238;0.556;0.357
ENST00000392848_90_90;0.25;0.462;0.375;1.0;0.188;0.222;0.308;0.267;0.333;0.222;0.25;0.231;0.286;0.0
ENST00000556051_90_90;0.25;0.13;0.115;0.188;1.0;0.238;0.312;0.278;0.333;0.238;0.263;0.538;0.294;0.0
ENSMUST00000056110_90_90;1.0;0.611;0.778;0.222;0.238;1.0;0.8;0.88;0.76;1.0;0.92;0.516;0.84;0.2
ENSMUST00000109841_90_90;0.667;0.6;0.5;0.308;0.312;0.8;1.0;0.909;0.95;0.8;0.87;0.615;0.864;0.087
ENSMUST00000109842_90_90;0.8;0.733;0.611;0.267;0.278;0.88;0.909;1.0;0.864;0.88;0.957;0.571;0.955;0.125
ENSMUST00000109843_90_90;0.6;0.533;0.444;0.333;0.333;0.76;0.95;0.864;1.0;0.76;0.826;0.64;0.905;0.043
ENSMUST00000109844_90_90;1.0;0.611;0.778;0.222;0.238;1.0;0.8;0.88;0.76;1.0;0.92;0.516;0.84;0.2
ENSMUST00000109846_90_90;0.867;0.688;0.667;0.25;0.263;0.92;0.87;0.957;0.826;0.92;1.0;0.552;0.913;0.167
ENSMUST00000124293_90_90;0.4;0.278;0.238;0.231;0.538;0.516;0.615;0.571;0.64;0.516;0.552;1.0;0.593;0.0
ENSMUST00000173539_90_90;0.733;0.667;0.556;0.286;0.294;0.84;0.864;0.955;0.905;0.84;0.913;0.593;1.0;0.083
ENSMUST00000173812_90_90;0.333;0.231;0.357;0.0;0.0;0.2;0.087;0.125;0.043;0.2;0.167;0.0;0.083;1.0
