;transcript9_ENSMUNG00000007775;transcript21_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript25_ENSMUNG00000007775;transcript26_ENSMUNG00000007775;transcript30_ENSMUNG00000007775;transcript31_ENSMUNG00000007775;transcript32_ENSMUNG00000007775;transcript33_ENSMUNG00000007775;transcript9_ENSMUNG00000002377;transcript13_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript27_ENSMUNG00000002377;transcript35_ENSMUNG00000002377;transcript36_ENSMUNG00000002377;transcript37_ENSMUNG00000002377;transcript38_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript23_ENSMUNG00000002391;transcript30_ENSMUNG00000002391;transcript33_ENSMUNG00000002391
transcript9_ENSMUNG00000007775;1.0;0.952;0.94;0.882;0.929;0.649;1.0;0.923;1.0;0.781;0.734;0.752;0.688;0.671;0.566;0.722;0.712;0.887;0.921;0.649;0.981
transcript21_ENSMUNG00000007775;0.952;1.0;0.988;0.93;0.978;0.697;0.952;0.972;0.952;0.738;0.78;0.8;0.735;0.717;0.613;0.769;0.76;0.934;0.969;0.697;0.933
transcript23_ENSMUNG00000007775;0.94;0.988;1.0;0.918;0.99;0.704;0.94;0.96;0.94;0.746;0.788;0.809;0.742;0.724;0.618;0.778;0.768;0.923;0.981;0.704;0.921
transcript25_ENSMUNG00000007775;0.882;0.93;0.918;1.0;0.908;0.627;0.882;0.902;0.882;0.669;0.712;0.731;0.667;0.65;0.545;0.701;0.691;0.867;0.901;0.627;0.865
transcript26_ENSMUNG00000007775;0.929;0.978;0.99;0.908;1.0;0.711;0.929;0.95;0.929;0.736;0.778;0.799;0.732;0.716;0.609;0.768;0.758;0.913;0.971;0.711;0.911
transcript30_ENSMUNG00000007775;0.649;0.697;0.704;0.627;0.711;1.0;0.649;0.668;0.649;0.597;0.645;0.664;0.596;0.576;0.816;0.627;0.615;0.645;0.694;1.0;0.638
transcript31_ENSMUNG00000007775;1.0;0.952;0.94;0.882;0.929;0.649;1.0;0.923;1.0;0.781;0.734;0.752;0.688;0.671;0.566;0.722;0.712;0.887;0.921;0.649;0.981
transcript32_ENSMUNG00000007775;0.923;0.972;0.96;0.902;0.95;0.668;0.923;1.0;0.923;0.711;0.754;0.773;0.708;0.691;0.585;0.742;0.748;0.907;0.942;0.668;0.906
transcript33_ENSMUNG00000007775;1.0;0.952;0.94;0.882;0.929;0.649;1.0;0.923;1.0;0.781;0.734;0.752;0.688;0.671;0.566;0.722;0.712;0.887;0.921;0.649;0.981
transcript9_ENSMUNG00000002377;0.781;0.738;0.746;0.669;0.736;0.597;0.781;0.711;0.781;1.0;0.901;0.928;0.881;0.859;0.64;0.883;0.869;0.714;0.766;0.597;0.8
transcript13_ENSMUNG00000002377;0.734;0.78;0.788;0.712;0.778;0.645;0.734;0.754;0.734;0.901;1.0;0.972;0.945;0.923;0.739;0.928;0.914;0.799;0.807;0.645;0.752
transcript23_ENSMUNG00000002377;0.752;0.8;0.809;0.731;0.799;0.664;0.752;0.773;0.752;0.928;0.972;1.0;0.917;0.895;0.71;0.956;0.941;0.775;0.828;0.664;0.771
transcript27_ENSMUNG00000002377;0.688;0.735;0.742;0.667;0.732;0.596;0.688;0.708;0.688;0.881;0.945;0.917;1.0;0.976;0.684;0.873;0.859;0.754;0.762;0.596;0.706
transcript35_ENSMUNG00000002377;0.671;0.717;0.724;0.65;0.716;0.576;0.671;0.691;0.671;0.859;0.923;0.895;0.976;1.0;0.662;0.851;0.837;0.736;0.744;0.576;0.689
transcript36_ENSMUNG00000002377;0.566;0.613;0.618;0.545;0.609;0.816;0.566;0.585;0.566;0.64;0.739;0.71;0.684;0.662;1.0;0.667;0.653;0.605;0.611;0.816;0.558
transcript37_ENSMUNG00000002377;0.722;0.769;0.778;0.701;0.768;0.627;0.722;0.742;0.722;0.883;0.928;0.956;0.873;0.851;0.667;1.0;0.984;0.745;0.797;0.627;0.74
transcript38_ENSMUNG00000002377;0.712;0.76;0.768;0.691;0.758;0.615;0.712;0.748;0.712;0.869;0.914;0.941;0.859;0.837;0.653;0.984;1.0;0.735;0.787;0.615;0.73
transcript10_ENSMUNG00000002391;0.887;0.934;0.923;0.867;0.913;0.645;0.887;0.907;0.887;0.714;0.799;0.775;0.754;0.736;0.605;0.745;0.735;1.0;0.941;0.645;0.906
transcript23_ENSMUNG00000002391;0.921;0.969;0.981;0.901;0.971;0.694;0.921;0.942;0.921;0.766;0.807;0.828;0.762;0.744;0.611;0.797;0.787;0.941;1.0;0.694;0.94
transcript30_ENSMUNG00000002391;0.649;0.697;0.704;0.627;0.711;1.0;0.649;0.668;0.649;0.597;0.645;0.664;0.596;0.576;0.816;0.627;0.615;0.645;0.694;1.0;0.638
transcript33_ENSMUNG00000002391;0.981;0.933;0.921;0.865;0.911;0.638;0.981;0.906;0.981;0.8;0.752;0.771;0.706;0.689;0.558;0.74;0.73;0.906;0.94;0.638;1.0
