;ENSCAFT00000025386_90_90;ENST00000389900_90_90;ENST00000389902_90_90;ENST00000411812_90_90;ENST00000416985_90_90;ENST00000425013_90_90;ENSMUST00000053498_90_90;ENSMUST00000197296_90_90;ENSMUST00000200430_90_90;ENSMUST00000200607_90_90
ENSCAFT00000025386_90_90;1.0;0.379;0.909;0.08;0.035;0.814;0.77;0.179;0.104;0.872
ENST00000389900_90_90;0.379;1.0;0.448;0.094;0.066;0.504;0.365;0.225;0.097;0.328
ENST00000389902_90_90;0.909;0.448;1.0;0.055;0.035;0.897;0.734;0.15;0.104;0.833
ENST00000411812_90_90;0.08;0.094;0.055;1.0;0.326;0.062;0.12;0.337;0.329;0.1
ENST00000416985_90_90;0.035;0.066;0.035;0.326;1.0;0.04;0.05;0.228;0.331;0.042
ENST00000425013_90_90;0.814;0.504;0.897;0.062;0.04;1.0;0.807;0.138;0.118;0.734
ENSMUST00000053498_90_90;0.77;0.365;0.734;0.12;0.05;0.807;1.0;0.217;0.151;0.875
ENSMUST00000197296_90_90;0.179;0.225;0.15;0.337;0.228;0.138;0.217;1.0;0.248;0.225
ENSMUST00000200430_90_90;0.104;0.097;0.104;0.329;0.331;0.118;0.151;0.248;1.0;0.127
ENSMUST00000200607_90_90;0.872;0.328;0.833;0.1;0.042;0.734;0.875;0.225;0.127;1.0
