;ENSCAFT00000015568_90_90;ENST00000311559_90_90;ENST00000398568_90_90;ENST00000427738_90_90;ENST00000562884_90_90;ENST00000564326_90_90;ENST00000564634_90_90;ENST00000566024_90_90;ENST00000566206_90_90;ENST00000566679_90_90;ENST00000568704_90_90;ENST00000569418_90_90;ENST00000569681_90_90;ENSMUST00000043526_90_90;ENSMUST00000098519_90_90;ENSMUST00000109626_90_90;ENSMUST00000209206_90_90;ENSMUST00000209532_90_90;ENSMUST00000209559_90_90;ENSMUST00000211554_90_90
ENSCAFT00000015568_90_90;1.0;0.75;0.733;0.75;0.2;0.733;0.077;0.133;0.667;0.214;0.667;0.733;0.154;0.8;0.688;0.786;0.714;0.688;0.786;0.786
ENST00000311559_90_90;0.75;1.0;0.867;1.0;0.111;0.867;0.067;0.056;0.688;0.267;0.8;0.867;0.133;0.706;0.706;0.688;0.625;0.706;0.688;0.688
ENST00000398568_90_90;0.733;0.867;1.0;0.867;0.125;1.0;0.077;0.062;0.786;0.308;0.923;1.0;0.154;0.688;0.688;0.786;0.714;0.688;0.786;0.786
ENST00000427738_90_90;0.75;1.0;0.867;1.0;0.111;0.867;0.067;0.056;0.688;0.267;0.8;0.867;0.133;0.706;0.706;0.688;0.625;0.706;0.688;0.688
ENST00000562884_90_90;0.2;0.111;0.125;0.111;1.0;0.125;0.0;0.5;0.133;0.0;0.133;0.125;0.0;0.188;0.188;0.214;0.231;0.188;0.214;0.214
ENST00000564326_90_90;0.733;0.867;1.0;0.867;0.125;1.0;0.077;0.062;0.786;0.308;0.923;1.0;0.154;0.688;0.688;0.786;0.714;0.688;0.786;0.786
ENST00000564634_90_90;0.077;0.067;0.077;0.067;0.0;0.077;1.0;0.0;0.083;0.25;0.083;0.077;0.5;0.071;0.071;0.083;0.091;0.071;0.083;0.083
ENST00000566024_90_90;0.133;0.056;0.062;0.056;0.5;0.062;0.0;1.0;0.067;0.0;0.067;0.062;0.0;0.125;0.125;0.143;0.154;0.125;0.143;0.143
ENST00000566206_90_90;0.667;0.688;0.786;0.688;0.133;0.786;0.083;0.067;1.0;0.333;0.714;0.786;0.167;0.625;0.625;0.714;0.643;0.625;0.714;0.714
ENST00000566679_90_90;0.214;0.267;0.308;0.267;0.0;0.308;0.25;0.0;0.333;1.0;0.333;0.308;0.5;0.286;0.286;0.333;0.364;0.286;0.333;0.333
ENST00000568704_90_90;0.667;0.8;0.923;0.8;0.133;0.923;0.083;0.067;0.714;0.333;1.0;0.923;0.167;0.625;0.625;0.714;0.769;0.625;0.714;0.714
ENST00000569418_90_90;0.733;0.867;1.0;0.867;0.125;1.0;0.077;0.062;0.786;0.308;0.923;1.0;0.154;0.688;0.688;0.786;0.714;0.688;0.786;0.786
ENST00000569681_90_90;0.154;0.133;0.154;0.133;0.0;0.154;0.5;0.0;0.167;0.5;0.167;0.154;1.0;0.143;0.143;0.167;0.182;0.143;0.167;0.167
ENSMUST00000043526_90_90;0.8;0.706;0.688;0.706;0.188;0.688;0.071;0.125;0.625;0.286;0.625;0.688;0.143;1.0;0.75;0.857;0.786;0.75;0.857;0.857
ENSMUST00000098519_90_90;0.688;0.706;0.688;0.706;0.188;0.688;0.071;0.125;0.625;0.286;0.625;0.688;0.143;0.75;1.0;0.857;0.786;1.0;0.857;0.857
ENSMUST00000109626_90_90;0.786;0.688;0.786;0.688;0.214;0.786;0.083;0.143;0.714;0.333;0.714;0.786;0.167;0.857;0.857;1.0;0.917;0.857;1.0;1.0
ENSMUST00000209206_90_90;0.714;0.625;0.714;0.625;0.231;0.714;0.091;0.154;0.643;0.364;0.769;0.714;0.182;0.786;0.786;0.917;1.0;0.786;0.917;0.917
ENSMUST00000209532_90_90;0.688;0.706;0.688;0.706;0.188;0.688;0.071;0.125;0.625;0.286;0.625;0.688;0.143;0.75;1.0;0.857;0.786;1.0;0.857;0.857
ENSMUST00000209559_90_90;0.786;0.688;0.786;0.688;0.214;0.786;0.083;0.143;0.714;0.333;0.714;0.786;0.167;0.857;0.857;1.0;0.917;0.857;1.0;1.0
ENSMUST00000211554_90_90;0.786;0.688;0.786;0.688;0.214;0.786;0.083;0.143;0.714;0.333;0.714;0.786;0.167;0.857;0.857;1.0;0.917;0.857;1.0;1.0
