;ENSCAFT00000011068_90_90;ENST00000361272_90_90;ENST00000518021_90_90;ENST00000518541_90_90;ENST00000519918_90_90;ENST00000519954_90_90;ENST00000520178_90_90;ENST00000523917_90_90;ENST00000524358_90_90;ENST00000628418_90_90;ENSMUST00000034012_90_90;ENSMUST00000132032_90_90;ENSMUST00000135269_90_90;ENSMUST00000149992_90_90
ENSCAFT00000011068_90_90;1.0;1.0;0.174;0.283;0.581;0.176;0.259;0.814;0.509;0.176;1.0;1.0;0.873;1.0
ENST00000361272_90_90;1.0;1.0;0.174;0.283;0.581;0.176;0.259;0.814;0.509;0.176;1.0;1.0;0.873;1.0
ENST00000518021_90_90;0.174;0.174;1.0;0.0;0.1;0.514;0.556;0.184;0.315;0.514;0.174;0.174;0.197;0.174
ENST00000518541_90_90;0.283;0.283;0.0;1.0;0.168;0.0;0.0;0.14;0.0;0.0;0.283;0.283;0.325;0.283
ENST00000519918_90_90;0.581;0.581;0.1;0.168;1.0;0.102;0.188;0.627;0.494;0.102;0.581;0.581;0.656;0.581
ENST00000519954_90_90;0.176;0.176;0.514;0.0;0.102;1.0;0.621;0.187;0.322;1.0;0.176;0.176;0.2;0.176
ENST00000520178_90_90;0.259;0.259;0.556;0.0;0.188;0.621;1.0;0.271;0.512;0.621;0.259;0.259;0.296;0.259
ENST00000523917_90_90;0.814;0.814;0.184;0.14;0.627;0.187;0.271;1.0;0.552;0.187;0.814;0.814;0.694;0.814
ENST00000524358_90_90;0.509;0.509;0.315;0.0;0.494;0.322;0.512;0.552;1.0;0.322;0.509;0.509;0.583;0.509
ENST00000628418_90_90;0.176;0.176;0.514;0.0;0.102;1.0;0.621;0.187;0.322;1.0;0.176;0.176;0.2;0.176
ENSMUST00000034012_90_90;1.0;1.0;0.174;0.283;0.581;0.176;0.259;0.814;0.509;0.176;1.0;1.0;0.873;1.0
ENSMUST00000132032_90_90;1.0;1.0;0.174;0.283;0.581;0.176;0.259;0.814;0.509;0.176;1.0;1.0;0.873;1.0
ENSMUST00000135269_90_90;0.873;0.873;0.197;0.325;0.656;0.2;0.296;0.694;0.583;0.2;0.873;0.873;1.0;0.873
ENSMUST00000149992_90_90;1.0;1.0;0.174;0.283;0.581;0.176;0.259;0.814;0.509;0.176;1.0;1.0;0.873;1.0
