;ENSCAFT00000014468_90_90;ENST00000312055_90_90;ENST00000354558_90_90;ENST00000525896_90_90;ENST00000526496_90_90;ENST00000526876_90_90;ENST00000527333_90_90;ENST00000529230_90_90;ENSMUST00000046769_90_90;ENSMUST00000099716_90_90;ENSMUST00000111337_90_90;ENSMUST00000111338_90_90
ENSCAFT00000014468_90_90;1.0;0.891;0.891;0.141;0.068;0.264;0.227;0.969;0.964;1.0;0.922;1.0
ENST00000312055_90_90;0.891;1.0;1.0;0.148;0.074;0.169;0.178;0.922;0.855;0.891;0.965;0.891
ENST00000354558_90_90;0.891;1.0;1.0;0.148;0.074;0.169;0.178;0.922;0.855;0.891;0.965;0.891
ENST00000525896_90_90;0.141;0.148;0.148;1.0;0.0;0.0;0.0;0.135;0.104;0.141;0.155;0.141
ENST00000526496_90_90;0.068;0.074;0.074;0.0;1.0;0.0;0.0;0.068;0.071;0.068;0.074;0.068
ENST00000526876_90_90;0.264;0.169;0.169;0.0;0.0;1.0;0.732;0.239;0.279;0.264;0.186;0.264
ENST00000527333_90_90;0.227;0.178;0.178;0.0;0.0;0.732;1.0;0.205;0.24;0.227;0.198;0.227
ENST00000529230_90_90;0.969;0.922;0.922;0.135;0.068;0.239;0.205;1.0;0.932;0.969;0.891;0.969
ENSMUST00000046769_90_90;0.964;0.855;0.855;0.104;0.071;0.279;0.24;0.932;1.0;0.964;0.886;0.964
ENSMUST00000099716_90_90;1.0;0.891;0.891;0.141;0.068;0.264;0.227;0.969;0.964;1.0;0.922;1.0
ENSMUST00000111337_90_90;0.922;0.965;0.965;0.155;0.074;0.186;0.198;0.891;0.886;0.922;1.0;0.922
ENSMUST00000111338_90_90;1.0;0.891;0.891;0.141;0.068;0.264;0.227;0.969;0.964;1.0;0.922;1.0
