;ENSCAFT00000020196_90_90;ENSCAFT00000020210_90_90;ENST00000340296_90_90;ENST00000397119_90_90;ENST00000409197_90_90;ENST00000409317_90_90;ENST00000409453_90_90;ENST00000409773_90_90;ENST00000410079_90_90;ENST00000411953_90_90;ENST00000412370_90_90;ENST00000422646_90_90;ENST00000423910_90_90;ENST00000425485_90_90;ENST00000430778_90_90;ENST00000435234_90_90;ENST00000438879_90_90;ENST00000443458_90_90;ENST00000445378_90_90;ENST00000452242_90_90;ENST00000456808_90_90;ENST00000508530_90_90;ENSMUST00000081710_90_90;ENSMUST00000100028_90_90;ENSMUST00000112136_90_90;ENSMUST00000112138_90_90;ENSMUST00000112139_90_90;ENSMUST00000112140_90_90;ENSMUST00000112142_90_90;ENSMUST00000112144_90_90
ENSCAFT00000020196_90_90;;;0.833;0.903;0.833;0.895;0.879;0.903;0.826;0.211;0.201;0.354;0.273;0.38;0.13;0.52;0.418;0.24;0.185;0.502;0.33;0.807;0.833;0.895;0.923;0.833;0.807;0.948;0.895;0.948
ENSCAFT00000020210_90_90;;;1.0;0.885;1.0;0.931;0.86;0.885;0.933;0.182;0.253;0.367;0.334;0.504;0.169;0.661;0.398;0.208;0.275;0.524;0.398;0.97;1.0;0.931;0.86;1.0;0.97;0.885;0.931;0.885
ENST00000340296_90_90;0.833;1.0;;;;;;;;;;;;;;;;;;;;;1.0;0.931;0.86;1.0;0.97;0.885;0.931;0.885
ENST00000397119_90_90;0.903;0.885;;;;;;;;;;;;;;;;;;;;;0.885;0.948;0.93;0.885;0.86;0.954;0.948;0.954
ENST00000409197_90_90;0.833;1.0;;;;;;;;;;;;;;;;;;;;;1.0;0.931;0.86;1.0;0.97;0.885;0.931;0.885
ENST00000409317_90_90;0.895;0.931;;;;;;;;;;;;;;;;;;;;;0.931;1.0;0.923;0.931;0.904;0.948;1.0;0.948
ENST00000409453_90_90;0.879;0.86;;;;;;;;;;;;;;;;;;;;;0.86;0.923;0.952;0.86;0.879;0.93;0.923;0.93
ENST00000409773_90_90;0.903;0.885;;;;;;;;;;;;;;;;;;;;;0.885;0.948;0.93;0.885;0.86;0.954;0.948;0.954
ENST00000410079_90_90;0.826;0.933;;;;;;;;;;;;;;;;;;;;;0.933;0.876;0.853;0.933;0.906;0.876;0.876;0.876
ENST00000411953_90_90;0.211;0.182;;;;;;;;;;;;;;;;;;;;;0.182;0.245;0.269;0.182;0.188;0.261;0.245;0.261
