;transcript40_ENSRNOG00000031503;transcript47_ENSRNOG00000031503;transcript20_ENSMUGG00000013649;transcript47_ENSMUGG00000013649;transcript20_ENSMUGG00000013592;transcript19_ENSPEMG00000024651;transcript38_ENSPEMG00000024651;transcript47_ENSPEMG00000024651;transcript27_ENSNGAG00000018584;transcript7_ENSSTOG00000019743;transcript24_ENSSTOG00000019743;transcript25_ENSSTOG00000019743;transcript32_ENSSTOG00000019743
transcript40_ENSRNOG00000031503;1.0;0.984;0.853;0.797;0.784;0.726;0.726;0.671;0.606;0.853;0.797;0.853;0.853
transcript47_ENSRNOG00000031503;0.984;1.0;0.84;0.784;0.77;0.712;0.712;0.658;0.592;0.84;0.784;0.84;0.84
transcript20_ENSMUGG00000013649;0.853;0.84;1.0;0.92;0.907;0.827;0.827;0.773;0.667;1.0;0.92;1.0;1.0
transcript47_ENSMUGG00000013649;0.797;0.784;0.92;1.0;0.957;0.795;0.795;0.841;0.725;0.92;1.0;0.92;0.92
transcript20_ENSMUGG00000013592;0.784;0.77;0.907;0.957;1.0;0.781;0.781;0.8;0.686;0.907;0.957;0.907;0.907
transcript19_ENSPEMG00000024651;0.726;0.712;0.827;0.795;0.781;1.0;1.0;0.935;0.534;0.827;0.795;0.827;0.827
transcript38_ENSPEMG00000024651;0.726;0.712;0.827;0.795;0.781;1.0;1.0;0.935;0.534;0.827;0.795;0.827;0.827
transcript47_ENSPEMG00000024651;0.671;0.658;0.773;0.841;0.8;0.935;0.935;1.0;0.565;0.773;0.841;0.773;0.773
transcript27_ENSNGAG00000018584;0.606;0.592;0.667;0.725;0.686;0.534;0.534;0.565;1.0;0.667;0.725;0.667;0.667
transcript7_ENSSTOG00000019743;0.853;0.84;1.0;0.92;0.907;0.827;0.827;0.773;0.667;1.0;0.92;1.0;1.0
transcript24_ENSSTOG00000019743;0.797;0.784;0.92;1.0;0.957;0.795;0.795;0.841;0.725;0.92;1.0;0.92;0.92
transcript25_ENSSTOG00000019743;0.853;0.84;1.0;0.92;0.907;0.827;0.827;0.773;0.667;1.0;0.92;1.0;1.0
transcript32_ENSSTOG00000019743;0.853;0.84;1.0;0.92;0.907;0.827;0.827;0.773;0.667;1.0;0.92;1.0;1.0
