;ENSCAFT00000004039_90_90;ENST00000361346_90_90;ENST00000361776_90_90;ENST00000372571_90_90;ENST00000372572_90_90;ENST00000372573_90_90;ENST00000422278_90_90;ENST00000445886_90_90;ENST00000454417_90_90;ENST00000545068_90_90;ENSMUST00000044564_90_90;ENSMUST00000106310_90_90;ENSMUST00000137560_90_90;ENSMUST00000138845_90_90;ENSMUST00000160219_90_90;ENSMUST00000162267_90_90;ENSMUST00000176012_90_90
ENSCAFT00000004039_90_90;1.0;0.996;0.941;0.219;0.996;0.996;0.139;0.613;0.164;0.996;0.91;0.858;0.114;0.235;0.168;0.235;0.1
ENST00000361346_90_90;0.996;1.0;0.945;0.219;1.0;1.0;0.139;0.614;0.164;1.0;0.907;0.855;0.114;0.235;0.168;0.235;0.1
ENST00000361776_90_90;0.941;0.945;1.0;0.231;0.945;0.945;0.108;0.65;0.173;0.945;0.855;0.901;0.121;0.249;0.178;0.249;0.105
ENST00000372571_90_90;0.219;0.219;0.231;1.0;0.219;0.219;0.0;0.0;0.0;0.219;0.218;0.231;0.0;0.0;0.0;0.0;0.0
ENST00000372572_90_90;0.996;1.0;0.945;0.219;1.0;1.0;0.139;0.614;0.164;1.0;0.907;0.855;0.114;0.235;0.168;0.235;0.1
ENST00000372573_90_90;0.996;1.0;0.945;0.219;1.0;1.0;0.139;0.614;0.164;1.0;0.907;0.855;0.114;0.235;0.168;0.235;0.1
ENST00000422278_90_90;0.139;0.139;0.108;0.0;0.139;0.139;1.0;0.163;0.0;0.139;0.139;0.108;0.0;0.0;0.0;0.0;0.0
ENST00000445886_90_90;0.613;0.614;0.65;0.0;0.614;0.614;0.163;1.0;0.261;0.614;0.541;0.571;0.186;0.38;0.274;0.38;0.162
ENST00000454417_90_90;0.164;0.164;0.173;0.0;0.164;0.164;0.0;0.261;1.0;0.164;0.163;0.172;0.167;0.625;0.367;0.625;0.113
ENST00000545068_90_90;0.996;1.0;0.945;0.219;1.0;1.0;0.139;0.614;0.164;1.0;0.907;0.855;0.114;0.235;0.168;0.235;0.1
ENSMUST00000044564_90_90;0.91;0.907;0.855;0.218;0.907;0.907;0.139;0.541;0.163;0.907;1.0;0.945;0.114;0.235;0.168;0.235;0.1
ENSMUST00000106310_90_90;0.858;0.855;0.901;0.231;0.855;0.855;0.108;0.571;0.172;0.855;0.945;1.0;0.121;0.248;0.178;0.248;0.105
ENSMUST00000137560_90_90;0.114;0.114;0.121;0.0;0.114;0.114;0.0;0.186;0.167;0.114;0.114;0.121;1.0;0.458;0.678;0.458;0.873
ENSMUST00000138845_90_90;0.235;0.235;0.249;0.0;0.235;0.235;0.0;0.38;0.625;0.235;0.235;0.248;0.458;1.0;0.675;1.0;0.4
ENSMUST00000160219_90_90;0.168;0.168;0.178;0.0;0.168;0.168;0.0;0.274;0.367;0.168;0.168;0.178;0.678;0.675;1.0;0.675;0.592
ENSMUST00000162267_90_90;0.235;0.235;0.249;0.0;0.235;0.235;0.0;0.38;0.625;0.235;0.235;0.248;0.458;1.0;0.675;1.0;0.4
ENSMUST00000176012_90_90;0.1;0.1;0.105;0.0;0.1;0.1;0.0;0.162;0.113;0.1;0.1;0.105;0.873;0.4;0.592;0.4;1.0
