;ENSCAFT00000003036_90_90;ENST00000297620_90_90;ENST00000379078_90_90;ENST00000379080_90_90;ENST00000379081_90_90;ENST00000379084_90_90;ENST00000379087_90_90;ENST00000379089_90_90;ENST00000422409_90_90;ENST00000445726_90_90;ENSMUST00000108049_90_90;ENSMUST00000108050_90_90;ENSMUST00000108052_90_90
ENSCAFT00000003036_90_90;1.0;0.819;0.518;0.796;0.72;0.611;0.747;0.859;0.821;0.931;0.818;0.778;0.883
ENST00000297620_90_90;0.819;1.0;0.368;0.74;0.881;0.742;0.91;0.805;0.767;0.883;0.785;0.746;0.853
ENST00000379078_90_90;0.518;0.368;1.0;0.443;0.323;0.395;0.393;0.502;0.52;0.469;0.356;0.369;0.413
ENST00000379080_90_90;0.796;0.74;0.443;1.0;0.823;0.585;0.798;0.928;0.81;0.858;0.729;0.754;0.684
ENST00000379081_90_90;0.72;0.881;0.323;0.823;1.0;0.702;0.873;0.767;0.728;0.778;0.8;0.758;0.746
ENST00000379084_90_90;0.611;0.742;0.395;0.585;0.702;1.0;0.729;0.647;0.74;0.662;0.563;0.526;0.626
ENST00000379087_90_90;0.747;0.91;0.393;0.798;0.873;0.729;1.0;0.87;0.755;0.805;0.708;0.729;0.775
ENST00000379089_90_90;0.859;0.805;0.502;0.928;0.767;0.647;0.87;1.0;0.879;0.923;0.684;0.705;0.747
ENST00000422409_90_90;0.821;0.767;0.52;0.81;0.728;0.74;0.755;0.879;1.0;0.885;0.645;0.61;0.708
ENST00000445726_90_90;0.931;0.883;0.469;0.858;0.778;0.662;0.805;0.923;0.885;1.0;0.756;0.72;0.819
ENSMUST00000108049_90_90;0.818;0.785;0.356;0.729;0.8;0.563;0.708;0.684;0.645;0.756;1.0;0.952;0.926
ENSMUST00000108050_90_90;0.778;0.746;0.369;0.754;0.758;0.526;0.729;0.705;0.61;0.72;0.952;1.0;0.881
ENSMUST00000108052_90_90;0.883;0.853;0.413;0.684;0.746;0.626;0.775;0.747;0.708;0.819;0.926;0.881;1.0
