;transcript6_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript19_ENSMUNG00000007775;transcript22_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript7_ENSMUNG00000002377;transcript19_ENSMUNG00000002377;transcript27_ENSMUNG00000002377;transcript28_ENSMUNG00000002377;transcript7_ENSMUNG00000002391;transcript3_ENSPNYG00000024266;transcript3_ENSXMAG00000026005
transcript6_ENSPCIG00000036398;1.0;0.671;0.903;0.671;0.903;0.671;0.903;0.903;0.903;1.0;1.0;1.0
transcript7_ENSMUNG00000007775;0.671;1.0;0.811;1.0;0.811;1.0;0.811;0.811;0.811;1.0;0.721;0.721
transcript19_ENSMUNG00000007775;0.903;0.811;1.0;0.811;1.0;0.811;1.0;1.0;1.0;1.0;0.884;0.884
transcript22_ENSMUNG00000007775;0.671;1.0;0.811;1.0;0.811;1.0;0.811;0.811;0.811;1.0;0.721;0.721
transcript23_ENSMUNG00000007775;0.903;0.811;1.0;0.811;1.0;0.811;1.0;1.0;1.0;1.0;0.884;0.884
transcript7_ENSMUNG00000002377;0.671;1.0;0.811;1.0;0.811;1.0;0.811;0.811;0.811;1.0;0.721;0.721
transcript19_ENSMUNG00000002377;0.903;0.811;1.0;0.811;1.0;0.811;1.0;1.0;1.0;1.0;0.884;0.884
transcript27_ENSMUNG00000002377;0.903;0.811;1.0;0.811;1.0;0.811;1.0;1.0;1.0;1.0;0.884;0.884
transcript28_ENSMUNG00000002377;0.903;0.811;1.0;0.811;1.0;0.811;1.0;1.0;1.0;1.0;0.884;0.884
transcript7_ENSMUNG00000002391;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript3_ENSPNYG00000024266;1.0;0.721;0.884;0.721;0.884;0.721;0.884;0.884;0.884;1.0;1.0;1.0
transcript3_ENSXMAG00000026005;1.0;0.721;0.884;0.721;0.884;0.721;0.884;0.884;0.884;1.0;1.0;1.0
