;ENSCAFT00000023912_90_90;ENST00000336604_90_90;ENST00000356896_90_90;ENST00000396840_90_90;ENST00000436152_90_90;ENST00000465801_90_90;ENST00000487279_90_90;ENST00000615885_90_90;ENST00000619571_90_90;ENSMUST00000117675_90_90;ENSMUST00000119527_90_90;ENSMUST00000144364_90_90;ENSMUST00000148835_90_90
ENSCAFT00000023912_90_90;1.0;0.515;0.531;0.521;0.248;0.226;0.317;0.248;0.536;0.839;0.8;0.475;0.671
ENST00000336604_90_90;0.515;1.0;0.981;0.979;0.405;0.412;0.28;0.405;0.942;0.571;0.518;0.423;0.374
ENST00000356896_90_90;0.531;0.981;1.0;0.961;0.424;0.405;0.278;0.424;0.96;0.564;0.512;0.416;0.391
ENST00000396840_90_90;0.521;0.979;0.961;1.0;0.385;0.391;0.284;0.385;0.923;0.579;0.525;0.431;0.38
ENST00000436152_90_90;0.248;0.405;0.424;0.385;1.0;0.953;0.0;1.0;0.407;0.229;0.24;0.074;0.334
ENST00000465801_90_90;0.226;0.412;0.405;0.391;0.953;1.0;0.0;0.953;0.39;0.232;0.244;0.077;0.308
ENST00000487279_90_90;0.317;0.28;0.278;0.284;0.0;0.0;1.0;0.0;0.272;0.368;0.402;0.488;0.14
ENST00000615885_90_90;0.248;0.405;0.424;0.385;1.0;0.953;0.0;1.0;0.407;0.229;0.24;0.074;0.334
ENST00000619571_90_90;0.536;0.942;0.96;0.923;0.407;0.39;0.272;0.407;1.0;0.547;0.499;0.402;0.379
ENSMUST00000117675_90_90;0.839;0.571;0.564;0.579;0.229;0.232;0.368;0.229;0.547;1.0;0.897;0.524;0.712
ENSMUST00000119527_90_90;0.8;0.518;0.512;0.525;0.24;0.244;0.402;0.24;0.499;0.897;1.0;0.561;0.669
ENSMUST00000144364_90_90;0.475;0.423;0.416;0.431;0.074;0.077;0.488;0.074;0.402;0.524;0.561;1.0;0.319
ENSMUST00000148835_90_90;0.671;0.374;0.391;0.38;0.334;0.308;0.14;0.334;0.379;0.712;0.669;0.319;1.0
