;ENSCAFT00000017221_90_90;ENSCAFT00000027149_90_90;ENST00000256062_90_90;ENST00000539277_90_90;ENST00000550354_90_90;ENST00000551659_90_90;ENST00000552618_90_90;ENST00000373701_90_90;ENST00000373719_90_90;ENST00000444774_90_90;ENSMUST00000060095_90_90;ENSMUST00000100772_90_90;ENSMUST00000140797_90_90;ENSMUST00000203991_90_90;ENSMUST00000044475_90_90;ENSMUST00000119299_90_90
ENSCAFT00000017221_90_90;1.0;0.5;0.825;0.927;0.115;0.993;0.953;0.497;0.5;0.161;0.992;0.952;0.542;0.21;0.5;0.497
ENSCAFT00000027149_90_90;0.5;1.0;0.48;0.475;0.075;0.497;0.468;0.99;1.0;0.149;0.497;0.468;0.258;0.072;1.0;0.99
ENST00000256062_90_90;0.825;0.48;1.0;0.878;0.138;0.82;0.78;0.484;0.48;0.115;0.818;0.778;0.522;0.242;0.48;0.484
ENST00000539277_90_90;0.927;0.475;0.878;1.0;0.122;0.934;0.894;0.472;0.475;0.121;0.93;0.89;0.476;0.223;0.475;0.472
ENST00000550354_90_90;0.115;0.075;0.138;0.122;1.0;0.114;0.074;0.076;0.075;0.0;0.114;0.075;0.186;0.0;0.075;0.076
ENST00000551659_90_90;0.993;0.497;0.82;0.934;0.114;1.0;0.96;0.494;0.497;0.16;0.996;0.956;0.539;0.208;0.497;0.494
ENST00000552618_90_90;0.953;0.468;0.78;0.894;0.074;0.96;1.0;0.465;0.468;0.167;0.956;0.996;0.5;0.217;0.468;0.465
ENST00000373701_90_90;0.497;0.99;0.484;0.472;0.076;0.494;0.465;1.0;0.99;0.145;0.494;0.465;0.26;0.072;0.99;1.0
ENST00000373719_90_90;0.5;1.0;0.48;0.475;0.075;0.497;0.468;0.99;1.0;0.149;0.497;0.468;0.258;0.072;1.0;0.99
ENST00000444774_90_90;0.161;0.149;0.115;0.121;0.0;0.16;0.167;0.145;0.149;1.0;0.159;0.166;0.231;0.299;0.149;0.145
ENSMUST00000060095_90_90;0.992;0.497;0.818;0.93;0.114;0.996;0.956;0.494;0.497;0.159;1.0;0.96;0.541;0.209;0.497;0.494
ENSMUST00000100772_90_90;0.952;0.468;0.778;0.89;0.075;0.956;0.996;0.465;0.468;0.166;0.96;1.0;0.502;0.218;0.468;0.465
ENSMUST00000140797_90_90;0.542;0.258;0.522;0.476;0.186;0.539;0.5;0.26;0.258;0.231;0.541;0.502;1.0;0.366;0.258;0.26
ENSMUST00000203991_90_90;0.21;0.072;0.242;0.223;0.0;0.208;0.217;0.072;0.072;0.299;0.209;0.218;0.366;1.0;0.072;0.072
ENSMUST00000044475_90_90;0.5;1.0;0.48;0.475;0.075;0.497;0.468;0.99;1.0;0.149;0.497;0.468;0.258;0.072;1.0;0.99
ENSMUST00000119299_90_90;0.497;0.99;0.484;0.472;0.076;0.494;0.465;1.0;0.99;0.145;0.494;0.465;0.26;0.072;0.99;1.0
