;ENSCAFT00000025827_90_90;ENST00000254322_90_90;ENST00000396969_90_90;ENST00000594099_90_90;ENST00000595139_90_90;ENST00000595992_90_90;ENST00000596075_90_90;ENST00000596853_90_90;ENST00000598235_90_90;ENST00000598692_90_90;ENST00000601533_90_90;ENSMUST00000005620_90_90;ENSMUST00000212300_90_90
ENSCAFT00000025827_90_90;1.0;0.174;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.714;0.667
ENST00000254322_90_90;0.174;1.0;0.6;0.267;0.5;0.333;0.067;0.4;0.533;0.133;0.2;0.174;0.211
ENST00000396969_90_90;0.0;0.6;1.0;0.444;0.636;0.556;0.111;0.667;0.889;0.222;0.333;0.0;0.0
ENST00000594099_90_90;0.0;0.267;0.444;1.0;0.444;0.8;0.25;0.667;0.5;0.5;0.75;0.0;0.0
ENST00000595139_90_90;0.0;0.5;0.636;0.444;1.0;0.556;0.111;0.667;0.7;0.222;0.333;0.0;0.0
ENST00000595992_90_90;0.0;0.333;0.556;0.8;0.556;1.0;0.2;0.833;0.625;0.4;0.6;0.0;0.0
ENST00000596075_90_90;0.0;0.067;0.111;0.25;0.111;0.2;1.0;0.167;0.125;0.5;0.333;0.0;0.0
ENST00000596853_90_90;0.0;0.4;0.667;0.667;0.667;0.833;0.167;1.0;0.75;0.333;0.5;0.0;0.0
ENST00000598235_90_90;0.0;0.533;0.889;0.5;0.7;0.625;0.125;0.75;1.0;0.25;0.375;0.0;0.0
ENST00000598692_90_90;0.0;0.133;0.222;0.5;0.222;0.4;0.5;0.333;0.25;1.0;0.667;0.0;0.0
ENST00000601533_90_90;0.0;0.2;0.333;0.75;0.333;0.6;0.333;0.5;0.375;0.667;1.0;0.0;0.0
ENSMUST00000005620_90_90;0.714;0.174;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.667
ENSMUST00000212300_90_90;0.667;0.211;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.667;1.0
