;ENSCAFT00000026849_90_90;ENST00000259021_90_90;ENST00000424009_90_90;ENST00000435742_90_90;ENST00000454930_90_90;ENST00000506533_90_90;ENST00000509773_90_90;ENST00000510819_90_90;ENSMUST00000072621_90_90;ENSMUST00000092766_90_90;ENSMUST00000103159_90_90;ENSMUST00000107733_90_90;ENSMUST00000107734_90_90;ENSMUST00000138671_90_90
ENSCAFT00000026849_90_90;1.0;0.765;0.706;0.533;0.529;0.067;0.529;0.471;0.75;0.812;0.647;0.706;0.765;0.133
ENST00000259021_90_90;0.765;1.0;0.933;0.533;0.733;0.067;0.733;0.667;0.647;0.706;0.867;0.933;1.0;0.133
ENST00000424009_90_90;0.706;0.933;1.0;0.571;0.667;0.071;0.786;0.714;0.688;0.647;0.929;1.0;0.933;0.143
ENST00000435742_90_90;0.533;0.533;0.571;1.0;0.462;0.125;0.462;0.5;0.615;0.571;0.615;0.571;0.533;0.25
ENST00000454930_90_90;0.529;0.733;0.667;0.462;1.0;0.0;0.833;0.909;0.412;0.471;0.714;0.667;0.733;0.182
ENST00000506533_90_90;0.067;0.067;0.071;0.125;0.0;1.0;0.0;0.0;0.077;0.071;0.077;0.071;0.067;0.0
ENST00000509773_90_90;0.529;0.733;0.786;0.462;0.833;0.0;1.0;0.909;0.5;0.471;0.714;0.786;0.733;0.182
ENST00000510819_90_90;0.471;0.667;0.714;0.5;0.909;0.0;0.909;1.0;0.438;0.412;0.769;0.714;0.667;0.2
ENSMUST00000072621_90_90;0.75;0.647;0.688;0.615;0.412;0.077;0.5;0.438;1.0;0.929;0.625;0.688;0.647;0.154
ENSMUST00000092766_90_90;0.812;0.706;0.647;0.571;0.471;0.071;0.471;0.412;0.929;1.0;0.588;0.647;0.706;0.143
ENSMUST00000103159_90_90;0.647;0.867;0.929;0.615;0.714;0.077;0.714;0.769;0.625;0.588;1.0;0.929;0.867;0.154
ENSMUST00000107733_90_90;0.706;0.933;1.0;0.571;0.667;0.071;0.786;0.714;0.688;0.647;0.929;1.0;0.933;0.143
ENSMUST00000107734_90_90;0.765;1.0;0.933;0.533;0.733;0.067;0.733;0.667;0.647;0.706;0.867;0.933;1.0;0.133
ENSMUST00000138671_90_90;0.133;0.133;0.143;0.25;0.182;0.0;0.182;0.2;0.154;0.143;0.154;0.143;0.133;1.0
