;ENSCAFT00000030441_90_90;ENSCAFT00000047641_90_90;ENST00000359786_90_90;ENST00000361007_90_90;ENST00000438665_90_90;ENST00000545534_90_90;ENST00000570490_90_90;ENST00000570984_90_90;ENST00000571715_90_90;ENST00000573853_90_90;ENST00000574790_90_90;ENST00000575011_90_90;ENST00000575158_90_90;ENST00000575335_90_90;ENSMUST00000069057_90_90;ENSMUST00000102504_90_90;ENSMUST00000102505_90_90;ENSMUST00000108431_90_90;ENSMUST00000136935_90_90
ENSCAFT00000030441_90_90;1.0;0.883;0.964;0.876;0.916;0.916;0.257;0.376;0.135;0.294;0.256;0.122;0.876;0.172;0.912;0.912;1.0;0.953;0.096
ENSCAFT00000047641_90_90;0.883;1.0;0.877;0.958;0.918;0.918;0.229;0.421;0.149;0.333;0.288;0.141;0.958;0.192;1.0;1.0;0.912;0.957;0.058
ENST00000359786_90_90;0.964;0.877;1.0;0.883;0.891;0.894;0.224;0.359;0.13;0.28;0.244;0.102;0.883;0.165;0.849;0.849;0.966;0.86;0.09
ENST00000361007_90_90;0.876;0.958;0.883;1.0;0.921;0.923;0.209;0.421;0.149;0.333;0.288;0.122;1.0;0.192;0.958;0.958;0.849;0.885;0.058
ENST00000438665_90_90;0.916;0.918;0.891;0.921;1.0;0.93;0.235;0.378;0.136;0.296;0.258;0.108;0.921;0.173;0.885;0.885;0.86;0.964;0.096
ENST00000545534_90_90;0.916;0.918;0.894;0.923;0.93;1.0;0.235;0.379;0.136;0.296;0.258;0.109;0.923;0.173;0.918;0.918;0.888;0.925;0.102
ENST00000570490_90_90;0.257;0.229;0.224;0.209;0.235;0.235;1.0;0.478;0.54;0.646;0.688;0.0;0.209;0.622;0.218;0.218;0.234;0.245;0.391
ENST00000570984_90_90;0.376;0.421;0.359;0.421;0.378;0.379;0.478;1.0;0.394;0.748;0.665;0.0;0.421;0.473;0.421;0.421;0.359;0.378;0.124
ENST00000571715_90_90;0.135;0.149;0.13;0.149;0.136;0.136;0.54;0.394;1.0;0.56;0.607;0.0;0.149;0.82;0.149;0.149;0.13;0.136;0.247
ENST00000573853_90_90;0.294;0.333;0.28;0.333;0.296;0.296;0.646;0.748;0.56;1.0;0.9;0.0;0.333;0.654;0.333;0.333;0.28;0.296;0.164
ENST00000574790_90_90;0.256;0.288;0.244;0.288;0.258;0.258;0.688;0.665;0.607;0.9;1.0;0.0;0.288;0.718;0.288;0.288;0.244;0.258;0.175
ENST00000575011_90_90;0.122;0.141;0.102;0.122;0.108;0.109;0.0;0.0;0.0;0.0;0.0;1.0;0.122;0.0;0.141;0.141;0.115;0.122;0.0
ENST00000575158_90_90;0.876;0.958;0.883;1.0;0.921;0.923;0.209;0.421;0.149;0.333;0.288;0.122;1.0;0.192;0.958;0.958;0.849;0.885;0.058
ENST00000575335_90_90;0.172;0.192;0.165;0.192;0.173;0.173;0.622;0.473;0.82;0.654;0.718;0.0;0.192;1.0;0.192;0.192;0.165;0.173;0.22
ENSMUST00000069057_90_90;0.912;1.0;0.849;0.958;0.885;0.918;0.218;0.421;0.149;0.333;0.288;0.141;0.958;0.192;1.0;1.0;0.883;0.921;0.051
ENSMUST00000102504_90_90;0.912;1.0;0.849;0.958;0.885;0.918;0.218;0.421;0.149;0.333;0.288;0.141;0.958;0.192;1.0;1.0;0.883;0.921;0.051
ENSMUST00000102505_90_90;1.0;0.912;0.966;0.849;0.86;0.888;0.234;0.359;0.13;0.28;0.244;0.115;0.849;0.165;0.883;0.883;1.0;0.891;0.08
ENSMUST00000108431_90_90;0.953;0.957;0.86;0.885;0.964;0.925;0.245;0.378;0.136;0.296;0.258;0.122;0.885;0.173;0.921;0.921;0.891;1.0;0.083
ENSMUST00000136935_90_90;0.096;0.058;0.09;0.058;0.096;0.102;0.391;0.124;0.247;0.164;0.175;0.0;0.058;0.22;0.051;0.051;0.08;0.083;1.0
