;ENSCAFT00000026918_90_90;ENST00000268049_90_90;ENST00000380324_90_90;ENST00000538686_90_90;ENST00000540797_90_90;ENST00000557884_90_90;ENST00000558157_90_90;ENST00000558285_90_90;ENST00000559192_90_90;ENST00000559257_90_90;ENST00000559276_90_90;ENST00000559711_90_90;ENST00000559771_90_90;ENST00000559873_90_90;ENST00000560070_90_90;ENST00000560202_90_90;ENST00000561442_90_90;ENSMUST00000098613_90_90;ENSMUST00000127569_90_90;ENSMUST00000139547_90_90;ENSMUST00000174387_90_90
ENSCAFT00000026918_90_90;1.0;0.908;0.872;0.011;0.794;0.0;0.0;0.899;0.035;0.85;0.049;0.81;0.21;0.088;0.176;0.204;0.111;0.927;1.0;0.094;0.915
ENST00000268049_90_90;0.908;1.0;0.927;0.011;0.844;0.0;0.0;0.958;0.038;0.889;0.079;0.844;0.253;0.092;0.195;0.213;0.126;0.836;0.908;0.066;0.826
ENST00000380324_90_90;0.872;0.927;1.0;0.011;0.915;0.056;0.056;0.918;0.097;0.851;0.059;0.809;0.223;0.152;0.256;0.204;0.183;0.803;0.872;0.064;0.794
ENST00000538686_90_90;0.011;0.011;0.011;1.0;0.0;0.0;0.0;0.011;0.0;0.013;0.0;0.0;0.045;0.0;0.0;0.0;0.043;0.012;0.011;0.0;0.0
ENST00000540797_90_90;0.794;0.844;0.915;0.0;1.0;0.06;0.06;0.836;0.105;0.862;0.041;0.883;0.139;0.166;0.28;0.223;0.103;0.725;0.794;0.069;0.862
ENST00000557884_90_90;0.0;0.0;0.056;0.0;0.06;1.0;1.0;0.0;0.376;0.0;0.0;0.0;0.0;0.29;0.191;0.0;0.192;0.0;0.0;0.0;0.0
ENST00000558157_90_90;0.0;0.0;0.056;0.0;0.06;1.0;1.0;0.0;0.376;0.0;0.0;0.0;0.0;0.29;0.191;0.0;0.192;0.0;0.0;0.0;0.0
ENST00000558285_90_90;0.899;0.958;0.918;0.011;0.836;0.0;0.0;1.0;0.038;0.88;0.061;0.836;0.23;0.091;0.193;0.211;0.125;0.829;0.899;0.066;0.819
ENST00000559192_90_90;0.035;0.038;0.097;0.0;0.105;0.376;0.376;0.038;1.0;0.0;0.275;0.0;0.127;0.293;0.368;0.0;0.372;0.038;0.035;0.233;0.038
ENST00000559257_90_90;0.85;0.889;0.851;0.013;0.862;0.0;0.0;0.88;0.0;1.0;0.0;0.949;0.142;0.103;0.168;0.239;0.043;0.777;0.85;0.039;0.862
ENST00000559276_90_90;0.049;0.079;0.059;0.0;0.041;0.0;0.0;0.061;0.275;0.0;1.0;0.0;0.312;0.0;0.133;0.0;0.221;0.052;0.049;0.21;0.031
ENST00000559711_90_90;0.81;0.844;0.809;0.0;0.883;0.0;0.0;0.836;0.0;0.949;0.0;1.0;0.106;0.105;0.172;0.246;0.011;0.738;0.81;0.04;0.883
ENST00000559771_90_90;0.21;0.253;0.223;0.045;0.139;0.0;0.0;0.23;0.127;0.142;0.312;0.106;1.0;0.0;0.397;0.0;0.377;0.227;0.21;0.241;0.129
ENST00000559873_90_90;0.088;0.092;0.152;0.0;0.166;0.29;0.29;0.091;0.293;0.103;0.0;0.105;0.0;1.0;0.167;0.0;0.168;0.095;0.088;0.0;0.096
ENST00000560070_90_90;0.176;0.195;0.256;0.0;0.28;0.191;0.191;0.193;0.368;0.168;0.133;0.172;0.397;0.167;1.0;0.0;0.274;0.189;0.176;0.229;0.192
ENST00000560202_90_90;0.204;0.213;0.204;0.0;0.223;0.0;0.0;0.211;0.0;0.239;0.0;0.246;0.0;0.0;0.0;1.0;0.0;0.22;0.204;0.0;0.223
ENST00000561442_90_90;0.111;0.126;0.183;0.043;0.103;0.192;0.192;0.125;0.372;0.043;0.221;0.011;0.377;0.168;0.274;0.0;1.0;0.119;0.111;0.136;0.037
ENSMUST00000098613_90_90;0.927;0.836;0.803;0.012;0.725;0.0;0.0;0.829;0.038;0.777;0.052;0.738;0.227;0.095;0.189;0.22;0.119;1.0;0.927;0.102;0.842
ENSMUST00000127569_90_90;1.0;0.908;0.872;0.011;0.794;0.0;0.0;0.899;0.035;0.85;0.049;0.81;0.21;0.088;0.176;0.204;0.111;0.927;1.0;0.094;0.915
ENSMUST00000139547_90_90;0.094;0.066;0.064;0.0;0.069;0.0;0.0;0.066;0.233;0.039;0.21;0.04;0.241;0.0;0.229;0.0;0.136;0.102;0.094;1.0;0.103
ENSMUST00000174387_90_90;0.915;0.826;0.794;0.0;0.862;0.0;0.0;0.819;0.038;0.862;0.031;0.883;0.129;0.096;0.192;0.223;0.037;0.842;0.915;0.103;1.0
