;ENSCAFT00000017676_90_90;ENST00000249647_90_90;ENST00000349777_90_90;ENST00000397138_90_90;ENST00000561526_90_90;ENST00000563765_90_90;ENST00000563830_90_90;ENST00000563873_90_90;ENST00000564153_90_90;ENST00000566035_90_90;ENST00000566327_90_90;ENST00000567094_90_90;ENST00000568331_90_90;ENST00000568451_90_90;ENST00000568841_90_90;ENST00000568859_90_90;ENST00000626061_90_90;ENST00000627440_90_90;ENSMUST00000028743_90_90;ENSMUST00000110711_90_90;ENSMUST00000116437_90_90;ENSMUST00000142278_90_90;ENSMUST00000150611_90_90;ENSMUST00000153580_90_90
ENSCAFT00000017676_90_90;1.0;0.882;0.625;0.625;0.471;0.059;0.556;0.211;0.412;0.059;0.588;0.35;0.35;0.35;0.556;0.412;0.059;0.059;0.824;0.824;0.789;0.647;0.3;0.312
ENST00000249647_90_90;0.882;1.0;0.625;0.625;0.562;0.059;0.647;0.211;0.412;0.059;0.688;0.286;0.286;0.286;0.647;0.5;0.059;0.059;0.824;0.824;0.7;0.647;0.3;0.312
ENST00000349777_90_90;0.625;0.625;1.0;1.0;0.462;0.091;0.294;0.308;0.636;0.091;0.312;0.4;0.4;0.4;0.294;0.5;0.091;0.091;0.667;0.667;0.556;0.467;0.429;0.5
ENST00000397138_90_90;0.625;0.625;1.0;1.0;0.462;0.091;0.294;0.308;0.636;0.091;0.312;0.4;0.4;0.4;0.294;0.5;0.091;0.091;0.667;0.667;0.556;0.467;0.429;0.5
ENST00000561526_90_90;0.471;0.562;0.462;0.462;1.0;0.1;0.312;0.333;0.545;0.1;0.429;0.429;0.429;0.429;0.312;0.889;0.1;0.1;0.5;0.5;0.421;0.615;0.462;0.556
ENST00000563765_90_90;0.059;0.059;0.091;0.091;0.1;1.0;0.0;0.0;0.111;0.333;0.0;0.083;0.083;0.083;0.0;0.111;1.0;0.333;0.062;0.062;0.053;0.077;0.091;0.167
ENST00000563830_90_90;0.556;0.647;0.294;0.294;0.312;0.0;1.0;0.188;0.111;0.0;0.769;0.095;0.095;0.095;0.846;0.25;0.0;0.0;0.5;0.5;0.429;0.412;0.1;0.062
ENST00000563873_90_90;0.211;0.211;0.308;0.308;0.333;0.0;0.188;1.0;0.364;0.0;0.2;0.286;0.286;0.286;0.188;0.364;0.0;0.0;0.222;0.222;0.19;0.267;0.308;0.333
ENST00000564153_90_90;0.412;0.412;0.636;0.636;0.545;0.111;0.111;0.364;1.0;0.111;0.188;0.462;0.462;0.462;0.111;0.6;0.111;0.111;0.438;0.438;0.368;0.429;0.5;0.625
ENST00000566035_90_90;0.059;0.059;0.091;0.091;0.1;0.333;0.0;0.0;0.111;1.0;0.0;0.083;0.083;0.083;0.0;0.111;0.333;1.0;0.062;0.062;0.053;0.077;0.091;0.167
