;ENSCAFT00000017823_90_90;ENST00000257075_90_90;ENST00000373741_90_90;ENST00000373742_90_90;ENST00000373747_90_90;ENST00000424085_90_90;ENST00000426105_90_90;ENST00000440538_90_90;ENST00000480602_90_90;ENST00000498419_90_90;ENST00000525843_90_90;ENST00000525948_90_90;ENST00000525997_90_90;ENST00000526215_90_90;ENST00000527498_90_90;ENST00000529846_90_90;ENST00000530669_90_90;ENST00000531867_90_90;ENST00000532678_90_90;ENSMUST00000030315_90_90;ENSMUST00000097862_90_90;ENSMUST00000097864_90_90;ENSMUST00000105991_90_90;ENSMUST00000105992_90_90;ENSMUST00000143277_90_90
ENSCAFT00000017823_90_90;1.0;0.901;0.868;0.816;0.931;0.742;0.916;0.94;0.098;0.673;0.827;0.072;0.139;0.072;0.085;0.219;0.067;0.073;0.192;0.959;0.944;0.928;0.768;0.889;0.219
ENST00000257075_90_90;0.901;1.0;0.929;0.876;0.969;0.836;0.984;0.928;0.097;0.706;0.889;0.071;0.154;0.071;0.085;0.216;0.051;0.072;0.19;0.942;0.955;0.969;0.806;0.899;0.217
ENST00000373741_90_90;0.868;0.929;1.0;0.919;0.931;0.774;0.944;0.893;0.09;0.683;0.891;0.067;0.144;0.067;0.079;0.218;0.047;0.067;0.177;0.905;0.917;0.903;0.75;0.865;0.2
ENST00000373742_90_90;0.816;0.876;0.919;1.0;0.878;0.819;0.864;0.84;0.095;0.722;0.865;0.07;0.153;0.07;0.083;0.211;0.049;0.071;0.189;0.853;0.839;0.851;0.793;0.888;0.211
ENST00000373747_90_90;0.931;0.969;0.931;0.878;1.0;0.809;0.985;0.959;0.094;0.735;0.89;0.069;0.15;0.069;0.082;0.228;0.049;0.07;0.184;0.971;0.957;0.942;0.782;0.902;0.209
ENST00000424085_90_90;0.742;0.836;0.774;0.819;0.809;1.0;0.822;0.768;0.115;0.732;0.731;0.085;0.186;0.085;0.101;0.258;0.06;0.086;0.124;0.782;0.794;0.806;0.965;0.841;0.259
ENST00000426105_90_90;0.916;0.984;0.944;0.864;0.985;0.822;1.0;0.944;0.095;0.72;0.875;0.07;0.151;0.07;0.083;0.233;0.05;0.071;0.188;0.957;0.97;0.955;0.794;0.915;0.213
ENST00000440538_90_90;0.94;0.928;0.893;0.84;0.959;0.768;0.944;1.0;0.098;0.696;0.852;0.072;0.155;0.072;0.085;0.239;0.051;0.073;0.192;0.931;0.916;0.901;0.742;0.862;0.219
ENST00000480602_90_90;0.098;0.097;0.09;0.095;0.094;0.115;0.095;0.098;1.0;0.0;0.098;0.447;0.0;0.447;0.0;0.0;0.0;0.637;0.0;0.094;0.095;0.097;0.115;0.101;0.441
ENST00000498419_90_90;0.673;0.706;0.683;0.722;0.735;0.732;0.72;0.696;0.0;1.0;0.638;0.0;0.192;0.0;0.104;0.287;0.061;0.0;0.204;0.712;0.698;0.683;0.707;0.739;0.081
