;ENSCAFT00000029427_90_90;ENST00000361219_90_90;ENST00000370990_90_90;ENST00000370994_90_90;ENST00000370995_90_90;ENSMUST00000042990_90_90;ENSMUST00000203077_90_90;ENSMUST00000203233_90_90;ENSMUST00000203436_90_90;ENSMUST00000204034_90_90;ENSMUST00000204135_90_90;ENSMUST00000204293_90_90;ENSMUST00000204294_90_90;ENSMUST00000205091_90_90;ENSMUST00000205106_90_90
ENSCAFT00000029427_90_90;1.0;0.915;0.959;0.874;1.0;1.0;0.915;0.357;0.959;0.494;0.158;0.874;0.459;0.314;0.778
ENST00000361219_90_90;0.915;1.0;0.881;0.957;0.919;0.915;1.0;0.39;0.874;0.463;0.172;0.954;0.5;0.342;0.846
ENST00000370990_90_90;0.959;0.881;1.0;0.915;0.962;0.959;0.874;0.372;1.0;0.516;0.164;0.91;0.478;0.327;0.808
ENST00000370994_90_90;0.874;0.957;0.915;1.0;0.881;0.874;0.954;0.409;0.91;0.486;0.18;1.0;0.524;0.357;0.885
ENST00000370995_90_90;1.0;0.919;0.962;0.881;1.0;1.0;0.915;0.357;0.959;0.494;0.158;0.874;0.459;0.314;0.778
ENSMUST00000042990_90_90;1.0;0.915;0.959;0.874;1.0;1.0;0.915;0.357;0.959;0.476;0.158;0.874;0.459;0.314;0.778
ENSMUST00000203077_90_90;0.915;1.0;0.874;0.954;0.915;0.915;1.0;0.39;0.874;0.446;0.172;0.954;0.5;0.342;0.846
ENSMUST00000203233_90_90;0.357;0.39;0.372;0.409;0.357;0.357;0.39;1.0;0.372;0.33;0.44;0.409;0.626;0.714;0.464
ENSMUST00000203436_90_90;0.959;0.874;1.0;0.91;0.959;0.959;0.874;0.372;1.0;0.496;0.164;0.91;0.478;0.327;0.808
ENSMUST00000204034_90_90;0.494;0.463;0.516;0.486;0.494;0.476;0.446;0.33;0.496;1.0;0.225;0.466;0.379;0.346;0.364
ENSMUST00000204135_90_90;0.158;0.172;0.164;0.18;0.158;0.158;0.172;0.44;0.164;0.225;1.0;0.18;0.227;0.32;0.203
ENSMUST00000204293_90_90;0.874;0.954;0.91;1.0;0.874;0.874;0.954;0.409;0.91;0.466;0.18;1.0;0.524;0.357;0.885
ENSMUST00000204294_90_90;0.459;0.5;0.478;0.524;0.459;0.459;0.5;0.626;0.478;0.379;0.227;0.524;1.0;0.556;0.591
ENSMUST00000205091_90_90;0.314;0.342;0.327;0.357;0.314;0.314;0.342;0.714;0.327;0.346;0.32;0.357;0.556;1.0;0.337
ENSMUST00000205106_90_90;0.778;0.846;0.808;0.885;0.778;0.778;0.846;0.464;0.808;0.364;0.203;0.885;0.591;0.337;1.0
