;ENSCAFT00000015927_90_90;ENSCAFT00000024036_90_90;ENST00000304523_90_90;ENST00000441778_90_90;ENST00000502640_90_90;ENST00000506732_90_90;ENST00000507464_90_90;ENST00000508918_90_90;ENST00000512345_90_90;ENST00000515064_90_90;ENST00000361198_90_90;ENST00000425280_90_90;ENSMUST00000026252_90_90;ENSMUST00000056931_90_90;ENSMUST00000137771_90_90;ENSMUST00000152946_90_90;ENSMUST00000156585_90_90;ENSMUST00000185355_90_90;ENSMUST00000070748_90_90;ENSMUST00000199256_90_90;ENSMUST00000199261_90_90;ENSMUST00000199534_90_90
ENSCAFT00000015927_90_90;1.0;0.842;0.84;0.664;0.664;0.38;0.673;0.164;0.188;0.84;0.8;0.876;0.8;0.8;0.637;0.8;0.876;0.876;0.912;0.721;0.912;0.721
ENSCAFT00000024036_90_90;0.842;1.0;0.999;0.795;0.795;0.441;0.789;0.21;0.237;0.994;0.978;0.937;0.978;0.978;0.774;0.973;0.937;0.937;1.0;0.79;0.995;0.796
ENST00000304523_90_90;0.84;0.999;1.0;0.73;0.763;0.441;0.787;0.194;0.227;0.995;0.978;0.937;0.978;0.978;0.75;0.972;0.937;0.937;0.999;0.724;0.994;0.729
ENST00000441778_90_90;0.664;0.795;0.73;1.0;0.856;0.496;0.535;0.216;0.255;0.725;0.774;0.741;0.709;0.709;0.908;0.704;0.682;0.682;0.729;0.993;0.724;0.999
ENST00000502640_90_90;0.664;0.795;0.763;0.856;1.0;0.525;0.56;0.227;0.268;0.758;0.774;0.741;0.742;0.742;0.888;0.737;0.712;0.712;0.795;0.89;0.79;0.896
ENST00000506732_90_90;0.38;0.441;0.441;0.496;0.525;1.0;0.316;0.247;0.314;0.443;0.44;0.421;0.44;0.44;0.531;0.442;0.421;0.421;0.44;0.498;0.442;0.495
ENST00000507464_90_90;0.673;0.789;0.787;0.535;0.56;0.316;1.0;0.0;0.027;0.782;0.785;0.752;0.785;0.785;0.563;0.779;0.752;0.752;0.787;0.53;0.782;0.535
ENST00000508918_90_90;0.164;0.21;0.194;0.216;0.227;0.247;0.0;1.0;0.569;0.195;0.19;0.182;0.19;0.19;0.23;0.191;0.182;0.182;0.209;0.237;0.21;0.236
ENST00000512345_90_90;0.188;0.237;0.227;0.255;0.268;0.314;0.027;0.569;1.0;0.228;0.218;0.209;0.218;0.218;0.263;0.219;0.209;0.209;0.237;0.268;0.238;0.267
ENST00000515064_90_90;0.84;0.994;0.995;0.725;0.758;0.443;0.782;0.195;0.228;1.0;0.972;0.932;0.972;0.972;0.745;0.978;0.932;0.932;0.994;0.728;0.999;0.724
ENST00000361198_90_90;0.8;0.978;0.978;0.774;0.774;0.44;0.785;0.19;0.218;0.972;1.0;0.912;1.0;1.0;0.797;0.995;0.912;0.912;0.979;0.769;0.973;0.775
ENST00000425280_90_90;0.876;0.937;0.937;0.741;0.741;0.421;0.752;0.182;0.209;0.932;0.912;1.0;0.912;0.912;0.727;0.908;1.0;1.0;0.938;0.737;0.932;0.742
ENSMUST00000026252_90_90;0.8;0.978;0.978;0.709;0.742;0.44;0.785;0.19;0.218;0.972;1.0;0.912;1.0;1.0;0.757;0.995;0.912;0.912;0.979;0.705;0.973;0.71
ENSMUST00000056931_90_90;0.8;0.978;0.978;0.709;0.742;0.44;0.785;0.19;0.218;0.972;1.0;0.912;1.0;1.0;0.757;0.995;0.912;0.912;0.979;0.705;0.973;0.71
ENSMUST00000137771_90_90;0.637;0.774;0.75;0.908;0.888;0.531;0.563;0.23;0.263;0.745;0.797;0.727;0.757;0.757;1.0;0.752;0.694;0.694;0.751;0.903;0.745;0.909
ENSMUST00000152946_90_90;0.8;0.973;0.972;0.704;0.737;0.442;0.779;0.191;0.219;0.978;0.995;0.908;0.995;0.995;0.752;1.0;0.908;0.908;0.973;0.709;0.978;0.705
ENSMUST00000156585_90_90;0.876;0.937;0.937;0.682;0.712;0.421;0.752;0.182;0.209;0.932;0.912;1.0;0.912;0.912;0.694;0.908;1.0;1.0;0.938;0.678;0.932;0.683
ENSMUST00000185355_90_90;0.876;0.937;0.937;0.682;0.712;0.421;0.752;0.182;0.209;0.932;0.912;1.0;0.912;0.912;0.694;0.908;1.0;1.0;0.938;0.678;0.932;0.683
ENSMUST00000070748_90_90;0.912;1.0;0.999;0.729;0.795;0.44;0.787;0.209;0.237;0.994;0.979;0.938;0.979;0.979;0.751;0.973;0.938;0.938;1.0;0.725;0.995;0.73
ENSMUST00000199256_90_90;0.721;0.79;0.724;0.993;0.89;0.498;0.53;0.237;0.268;0.728;0.769;0.737;0.705;0.705;0.903;0.709;0.678;0.678;0.725;1.0;0.728;0.994
ENSMUST00000199261_90_90;0.912;0.995;0.994;0.724;0.79;0.442;0.782;0.21;0.238;0.999;0.973;0.932;0.973;0.973;0.745;0.978;0.932;0.932;0.995;0.728;1.0;0.725
ENSMUST00000199534_90_90;0.721;0.796;0.729;0.999;0.896;0.495;0.535;0.236;0.267;0.724;0.775;0.742;0.71;0.71;0.909;0.705;0.683;0.683;0.73;0.994;0.725;1.0
