;ENSCAFT00000011893_90_90;ENST00000265997_90_90;ENST00000412050_90_90;ENST00000614585_90_90;ENSMUST00000079754_90_90;ENSMUST00000123727_90_90;ENSMUST00000124158_90_90;ENSMUST00000126188_90_90;ENSMUST00000126781_90_90;ENSMUST00000128642_90_90;ENSMUST00000131917_90_90;ENSMUST00000132580_90_90;ENSMUST00000133988_90_90;ENSMUST00000136286_90_90;ENSMUST00000142973_90_90;ENSMUST00000154376_90_90
ENSCAFT00000011893_90_90;1.0;0.987;0.999;0.987;1.0;0.995;0.57;0.999;0.8;0.137;0.169;1.0;0.26;0.986;0.184;1.0
ENST00000265997_90_90;0.987;1.0;0.955;1.0;0.987;0.958;0.578;0.954;0.761;0.132;0.163;0.987;0.252;1.0;0.177;0.987
ENST00000412050_90_90;0.999;0.955;1.0;0.955;0.967;0.996;0.553;1.0;0.8;0.135;0.166;0.967;0.257;0.954;0.181;0.967
ENST00000614585_90_90;0.987;1.0;0.955;1.0;0.987;0.958;0.578;0.954;0.761;0.132;0.163;0.987;0.252;1.0;0.177;0.987
ENSMUST00000079754_90_90;1.0;0.987;0.967;0.987;1.0;0.957;0.58;0.968;0.774;0.134;0.164;1.0;0.25;0.976;0.178;1.0
ENSMUST00000123727_90_90;0.995;0.958;0.996;0.958;0.957;1.0;0.554;0.988;0.789;0.14;0.171;0.957;0.262;0.955;0.186;0.957
ENSMUST00000124158_90_90;0.57;0.578;0.553;0.578;0.58;0.554;1.0;0.547;0.356;0.0;0.0;0.58;0.0;0.573;0.0;0.58
ENSMUST00000126188_90_90;0.999;0.954;1.0;0.954;0.968;0.988;0.547;1.0;0.8;0.138;0.169;0.968;0.259;0.944;0.184;0.968
ENSMUST00000126781_90_90;0.8;0.761;0.8;0.761;0.774;0.789;0.356;0.8;1.0;0.171;0.209;0.774;0.32;0.751;0.227;0.774
ENSMUST00000128642_90_90;0.137;0.132;0.135;0.132;0.134;0.14;0.0;0.138;0.171;1.0;0.815;0.134;0.533;0.137;0.751;0.134
ENSMUST00000131917_90_90;0.169;0.163;0.166;0.163;0.164;0.171;0.0;0.169;0.209;0.815;1.0;0.164;0.654;0.168;0.921;0.164
ENSMUST00000132580_90_90;1.0;0.987;0.967;0.987;1.0;0.957;0.58;0.968;0.774;0.134;0.164;1.0;0.25;0.976;0.178;1.0
ENSMUST00000133988_90_90;0.26;0.252;0.257;0.252;0.25;0.262;0.0;0.259;0.32;0.533;0.654;0.25;1.0;0.257;0.71;0.25
ENSMUST00000136286_90_90;0.986;1.0;0.954;1.0;0.976;0.955;0.573;0.944;0.751;0.137;0.168;0.976;0.257;1.0;0.182;0.976
ENSMUST00000142973_90_90;0.184;0.177;0.181;0.177;0.178;0.186;0.0;0.184;0.227;0.751;0.921;0.178;0.71;0.182;1.0;0.178
ENSMUST00000154376_90_90;1.0;0.987;0.967;0.987;1.0;0.957;0.58;0.968;0.774;0.134;0.164;1.0;0.25;0.976;0.178;1.0
