;ENSCAFT00000014853_90_90;ENST00000323180_90_90;ENST00000418153_90_90;ENST00000524497_90_90;ENST00000525438_90_90;ENST00000525676_90_90;ENST00000527782_90_90;ENST00000529734_90_90;ENST00000529782_90_90;ENST00000530587_90_90;ENST00000531959_90_90;ENST00000532010_90_90;ENST00000532028_90_90;ENST00000532883_90_90;ENST00000533757_90_90;ENSMUST00000044036_90_90;ENSMUST00000068702_90_90;ENSMUST00000090586_90_90;ENSMUST00000111290_90_90;ENSMUST00000111291_90_90;ENSMUST00000111292_90_90;ENSMUST00000111293_90_90;ENSMUST00000111294_90_90;ENSMUST00000111297_90_90;ENSMUST00000128781_90_90;ENSMUST00000138995_90_90;ENSMUST00000159366_90_90;ENSMUST00000159727_90_90;ENSMUST00000159961_90_90;ENSMUST00000161067_90_90;ENSMUST00000162146_90_90;ENSMUST00000162188_90_90;ENSMUST00000162497_90_90
ENSCAFT00000014853_90_90;1.0;0.927;0.967;0.316;0.105;0.112;0.061;0.233;0.11;0.135;0.304;0.028;0.217;0.166;0.154;0.873;0.81;0.989;0.946;0.873;0.81;0.989;0.938;0.883;0.051;0.075;0.361;0.212;0.731;0.283;0.189;0.118;0.04
ENST00000323180_90_90;0.927;1.0;0.904;0.334;0.105;0.113;0.061;0.246;0.122;0.135;0.324;0.028;0.201;0.148;0.154;0.791;0.857;0.903;0.861;0.791;0.857;0.903;0.988;0.933;0.051;0.076;0.365;0.222;0.656;0.324;0.174;0.119;0.04
ENST00000418153_90_90;0.967;0.904;1.0;0.332;0.105;0.11;0.061;0.244;0.12;0.131;0.321;0.028;0.217;0.148;0.154;0.863;0.788;0.977;0.934;0.863;0.788;0.977;0.892;0.839;0.052;0.077;0.361;0.2;0.742;0.28;0.174;0.12;0.041
ENST00000524497_90_90;0.316;0.334;0.332;1.0;0.266;0.0;0.146;0.712;0.38;0.0;0.978;0.075;0.0;0.366;0.419;0.304;0.317;0.321;0.335;0.304;0.317;0.321;0.328;0.331;0.126;0.184;0.72;0.083;0.174;0.0;0.534;0.297;0.1
ENST00000525438_90_90;0.105;0.105;0.105;0.266;1.0;0.0;0.525;0.382;0.057;0.0;0.274;0.294;0.0;0.47;0.625;0.117;0.122;0.105;0.11;0.117;0.122;0.105;0.106;0.113;0.444;0.643;0.217;0.0;0.0;0.0;0.471;0.939;0.362
ENST00000525676_90_90;0.112;0.113;0.11;0.0;0.0;1.0;0.0;0.0;0.0;0.339;0.0;0.0;0.474;0.0;0.0;0.127;0.134;0.112;0.117;0.127;0.134;0.112;0.116;0.123;0.0;0.0;0.0;0.0;0.151;0.107;0.0;0.0;0.0
ENST00000527782_90_90;0.061;0.061;0.061;0.146;0.525;0.0;1.0;0.212;0.0;0.0;0.151;0.597;0.0;0.262;0.339;0.069;0.071;0.061;0.064;0.069;0.071;0.061;0.062;0.067;0.856;0.812;0.11;0.0;0.0;0.0;0.258;0.488;0.712
ENST00000529734_90_90;0.233;0.246;0.244;0.712;0.382;0.0;0.212;1.0;0.528;0.0;0.727;0.107;0.0;0.498;0.595;0.263;0.274;0.233;0.243;0.263;0.274;0.233;0.239;0.254;0.185;0.272;0.572;0.0;0.121;0.0;0.647;0.434;0.147
ENST00000529782_90_90;0.11;0.122;0.12;0.38;0.057;0.0;0.0;0.528;1.0;0.0;0.386;0.0;0.0;0.245;0.306;0.123;0.13;0.11;0.114;0.123;0.13;0.11;0.113;0.119;0.0;0.0;0.307;0.0;0.092;0.0;0.386;0.101;0.0
ENST00000530587_90_90;0.135;0.135;0.131;0.0;0.0;0.339;0.0;0.0;0.0;1.0;0.0;0.0;0.354;0.0;0.0;0.152;0.16;0.135;0.14;0.152;0.16;0.135;0.14;0.148;0.0;0.0;0.0;0.0;0.181;0.302;0.0;0.0;0.0
