;ENSCAFT00000000383_90_90;ENSCAFT00000035671_90_90;ENST00000353331_90_90;ENST00000392348_90_90;ENST00000527536_90_90;ENST00000527613_90_90;ENST00000527759_90_90;ENST00000529826_90_90;ENST00000530429_90_90;ENST00000530767_90_90;ENST00000531224_90_90;ENST00000532384_90_90;ENST00000533422_90_90;ENST00000533621_90_90;ENST00000534269_90_90;ENST00000534762_90_90;ENST00000628517_90_90;ENST00000640069_90_90;ENSMUST00000043881_90_90;ENSMUST00000092678_90_90;ENSMUST00000185800_90_90;ENSMUST00000186100_90_90;ENSMUST00000189158_90_90;ENSMUST00000190156_90_90;ENSMUST00000191438_90_90
ENSCAFT00000000383_90_90;1.0;0.861;0.879;0.879;0.909;0.788;0.909;0.697;0.758;0.879;0.939;0.788;0.121;0.242;0.455;0.182;0.788;0.697;0.968;0.935;0.935;0.806;0.032;0.774;0.71
ENSCAFT00000035671_90_90;0.861;1.0;0.788;0.788;0.818;0.75;0.818;0.656;0.719;0.788;0.848;0.75;0.097;0.226;0.406;0.161;0.75;0.656;0.871;0.839;0.839;0.767;0.036;0.733;0.667
ENST00000353331_90_90;0.879;0.788;1.0;1.0;0.969;0.735;0.969;0.719;0.758;0.879;0.939;0.735;0.129;0.258;0.469;0.156;0.735;0.647;0.903;0.933;0.933;0.688;0.034;0.71;0.759
ENST00000392348_90_90;0.879;0.788;1.0;1.0;0.969;0.735;0.969;0.719;0.758;0.879;0.939;0.735;0.129;0.258;0.469;0.156;0.735;0.647;0.903;0.933;0.933;0.688;0.034;0.71;0.759
ENST00000527536_90_90;0.909;0.818;0.969;0.969;1.0;0.765;0.939;0.75;0.735;0.909;0.97;0.765;0.125;0.25;0.455;0.152;0.765;0.676;0.935;0.967;0.903;0.719;0.033;0.688;0.733
ENST00000527613_90_90;0.788;0.75;0.735;0.735;0.765;1.0;0.714;0.857;0.964;0.686;0.743;1.0;0.0;0.286;0.517;0.062;1.0;0.767;0.697;0.719;0.667;0.962;0.038;0.923;0.5
ENST00000527759_90_90;0.909;0.818;0.969;0.969;0.939;0.714;1.0;0.697;0.735;0.909;0.97;0.714;0.125;0.25;0.455;0.188;0.714;0.629;0.935;0.903;0.967;0.667;0.033;0.688;0.733
ENST00000529826_90_90;0.697;0.656;0.719;0.719;0.75;0.857;0.697;1.0;0.821;0.667;0.727;0.857;0.0;0.333;0.6;0.034;0.857;0.815;0.677;0.7;0.645;0.808;0.045;0.769;0.467
ENST00000530429_90_90;0.758;0.719;0.758;0.758;0.735;0.964;0.735;0.821;1.0;0.657;0.714;0.964;0.0;0.296;0.536;0.065;0.964;0.733;0.667;0.688;0.688;0.923;0.04;0.96;0.516
ENST00000530767_90_90;0.879;0.788;0.879;0.879;0.909;0.686;0.909;0.667;0.657;1.0;0.939;0.686;0.129;0.219;0.469;0.194;0.686;0.6;0.903;0.871;0.871;0.636;0.034;0.606;0.645
ENST00000531224_90_90;0.939;0.848;0.939;0.939;0.97;0.743;0.97;0.727;0.714;0.939;1.0;0.743;0.121;0.242;0.441;0.182;0.743;0.657;0.968;0.935;0.935;0.697;0.032;0.667;0.71
ENST00000532384_90_90;0.788;0.75;0.735;0.735;0.765;1.0;0.714;0.857;0.964;0.686;0.743;1.0;0.0;0.286;0.517;0.062;1.0;0.767;0.697;0.719;0.667;0.962;0.038;0.923;0.5
ENST00000533422_90_90;0.121;0.097;0.129;0.129;0.125;0.0;0.125;0.0;0.0;0.129;0.121;0.0;1.0;0.0;0.0;0.429;0.0;0.0;0.129;0.133;0.133;0.0;0.0;0.0;0.174
ENST00000533621_90_90;0.242;0.226;0.258;0.258;0.25;0.286;0.25;0.333;0.296;0.219;0.242;0.286;0.0;1.0;0.412;0.0;0.286;0.32;0.226;0.233;0.233;0.269;0.0;0.28;0.25
ENST00000534269_90_90;0.455;0.406;0.469;0.469;0.455;0.517;0.455;0.6;0.536;0.469;0.441;0.517;0.0;0.412;1.0;0.0;0.517;0.577;0.406;0.419;0.419;0.481;0.143;0.5;0.233
ENST00000534762_90_90;0.182;0.161;0.156;0.156;0.152;0.062;0.188;0.034;0.065;0.194;0.182;0.062;0.429;0.0;0.0;1.0;0.062;0.0;0.194;0.161;0.2;0.067;0.0;0.069;0.208
ENST00000628517_90_90;0.788;0.75;0.735;0.735;0.765;1.0;0.714;0.857;0.964;0.686;0.743;1.0;0.0;0.286;0.517;0.062;1.0;0.767;0.697;0.719;0.667;0.962;0.038;0.923;0.5
ENST00000640069_90_90;0.697;0.656;0.647;0.647;0.676;0.767;0.629;0.815;0.733;0.6;0.657;0.767;0.0;0.32;0.577;0.0;0.767;1.0;0.677;0.7;0.645;0.808;0.045;0.769;0.467
ENSMUST00000043881_90_90;0.968;0.871;0.903;0.903;0.935;0.697;0.935;0.677;0.667;0.903;0.968;0.697;0.129;0.226;0.406;0.194;0.697;0.677;1.0;0.969;0.969;0.706;0.03;0.676;0.75
ENSMUST00000092678_90_90;0.935;0.839;0.933;0.933;0.967;0.719;0.903;0.7;0.688;0.871;0.935;0.719;0.133;0.233;0.419;0.161;0.719;0.7;0.969;1.0;0.938;0.727;0.031;0.697;0.774
ENSMUST00000185800_90_90;0.935;0.839;0.933;0.933;0.903;0.667;0.967;0.645;0.688;0.871;0.935;0.667;0.133;0.233;0.419;0.2;0.667;0.645;0.969;0.938;1.0;0.676;0.031;0.697;0.774
