;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript26_ENSMSIG00000000513;transcript26_MGP-PahariEiJ-G0020237;transcript41_ENSMSIG00000000513;transcript41_MGP-SPRETEiJ-G0021131;transcript43_ENSMSIG00000000513;transcript43_MGP-CAROLIEiJ-G0020234;transcript46_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript22_MGP-SPRETEiJ-G0021131;transcript22_MGP-CAROLIEiJ-G0020234;transcript36_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013592;transcript33_MGP-CAROLIEiJ-G0020234;transcript33_ENSRNOG00000031503;transcript33_ENSMUGG00000013592;transcript42_MGP-CAROLIEiJ-G0020234;transcript9_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript18_ENSMUGG00000013592;transcript19_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript23_ENSRNOG00000031503;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592
transcript7_ENSMSIG00000000513;1.0;0.469;0.493;0.483;0.828;0.692;0.828;0.296;0.713;0.493;0.713;0.503;0.33;0.327;0.335;0.319;0.223;0.323;0.192;0.251;0.247;0.222;0.223;0.339;0.306;0.308;0.312;0.313;0.313;0.317;0.317
transcript7_ENSMUSG00000054036;0.469;1.0;0.346;0.335;0.486;0.571;0.486;0.284;0.43;0.346;0.43;0.352;0.318;0.315;0.335;0.313;0.255;0.235;0.247;0.209;0.21;0.201;0.255;0.297;0.293;0.297;0.299;0.3;0.3;0.306;0.306
transcript26_ENSMSIG00000000513;0.493;0.346;1.0;0.979;0.596;0.481;0.596;0.343;0.692;1.0;0.692;0.979;0.651;0.662;0.664;0.656;0.507;0.667;0.47;0.485;0.559;0.452;0.507;0.718;0.657;0.634;0.67;0.665;0.665;0.643;0.643
transcript26_MGP-PahariEiJ-G0020237;0.483;0.335;0.979;1.0;0.586;0.471;0.586;0.325;0.683;0.979;0.683;0.959;0.638;0.648;0.65;0.642;0.493;0.65;0.456;0.469;0.542;0.437;0.493;0.702;0.643;0.621;0.655;0.65;0.65;0.63;0.63
transcript41_ENSMSIG00000000513;0.828;0.486;0.596;0.586;1.0;0.779;1.0;0.271;0.861;0.596;0.861;0.608;0.4;0.398;0.405;0.39;0.237;0.364;0.201;0.245;0.254;0.211;0.237;0.419;0.379;0.374;0.386;0.388;0.388;0.383;0.383
transcript41_MGP-SPRETEiJ-G0021131;0.692;0.571;0.481;0.471;0.779;1.0;0.779;0.262;0.679;0.481;0.679;0.49;0.383;0.374;0.381;0.367;0.195;0.276;0.161;0.217;0.171;0.184;0.195;0.356;0.354;0.352;0.361;0.363;0.363;0.361;0.361
transcript43_ENSMSIG00000000513;0.828;0.486;0.596;0.586;1.0;0.779;1.0;0.271;0.861;0.596;0.861;0.608;0.4;0.398;0.405;0.39;0.237;0.364;0.201;0.245;0.254;0.211;0.237;0.419;0.379;0.374;0.386;0.388;0.388;0.383;0.383
transcript43_MGP-CAROLIEiJ-G0020234;0.296;0.284;0.343;0.325;0.271;0.262;0.271;1.0;0.271;0.343;0.271;0.35;0.347;0.37;0.358;0.376;0.456;0.345;0.428;0.542;0.38;0.507;0.456;0.303;0.299;0.33;0.304;0.306;0.306;0.339;0.339
transcript46_ENSMSIG00000000513;0.713;0.43;0.692;0.683;0.861;0.679;0.861;0.271;1.0;0.692;1.0;0.671;0.458;0.458;0.463;0.45;0.298;0.437;0.26;0.314;0.328;0.277;0.298;0.487;0.447;0.436;0.455;0.45;0.45;0.445;0.445
transcript47_ENSMSIG00000000513;0.493;0.346;1.0;0.979;0.596;0.481;0.596;0.343;0.692;1.0;0.692;0.979;0.651;0.662;0.664;0.656;0.507;0.667;0.47;0.485;0.559;0.452;0.507;0.718;0.657;0.634;0.67;0.665;0.665;0.643;0.643
transcript48_ENSMSIG00000000513;0.713;0.43;0.692;0.683;0.861;0.679;0.861;0.271;1.0;0.692;1.0;0.671;0.458;0.458;0.463;0.45;0.298;0.437;0.26;0.314;0.328;0.277;0.298;0.487;0.447;0.436;0.455;0.45;0.45;0.445;0.445
transcript49_ENSMSIG00000000513;0.503;0.352;0.979;0.959;0.608;0.49;0.608;0.35;0.671;0.979;0.671;1.0;0.638;0.648;0.65;0.642;0.493;0.65;0.456;0.469;0.542;0.437;0.493;0.702;0.643;0.621;0.655;0.65;0.65;0.63;0.63
transcript22_MGP-SPRETEiJ-G0021131;0.33;0.318;0.651;0.638;0.4;0.383;0.4;0.347;0.458;0.651;0.458;0.638;1.0;0.936;0.959;0.931;0.765;0.673;0.77;0.641;0.585;0.645;0.765;0.802;0.843;0.934;0.858;0.862;0.862;0.943;0.943
transcript22_MGP-CAROLIEiJ-G0020234;0.327;0.315;0.662;0.648;0.398;0.374;0.398;0.37;0.458;0.662;0.458;0.648;0.936;1.0;0.949;0.986;0.812;0.668;0.734;0.683;0.579;0.618;0.812;0.799;0.808;0.899;0.823;0.826;0.826;0.908;0.908
transcript36_ENSMUSG00000054036;0.335;0.335;0.664;0.65;0.405;0.381;0.405;0.358;0.463;0.664;0.463;0.65;0.959;0.949;1.0;0.944;0.778;0.677;0.758;0.653;0.59;0.642;0.778;0.806;0.831;0.921;0.846;0.85;0.85;0.93;0.93
