;ENSCAFT00000004039_90_90;ENST00000361346_90_90;ENST00000361776_90_90;ENST00000372571_90_90;ENST00000372572_90_90;ENST00000372573_90_90;ENST00000422278_90_90;ENST00000445886_90_90;ENST00000454417_90_90;ENST00000545068_90_90;ENSMUST00000044564_90_90;ENSMUST00000106310_90_90;ENSMUST00000137560_90_90;ENSMUST00000138845_90_90;ENSMUST00000160219_90_90;ENSMUST00000162267_90_90;ENSMUST00000176012_90_90
ENSCAFT00000004039_90_90;1.0;0.998;0.943;0.219;0.998;0.998;0.139;0.614;0.169;0.998;0.955;0.901;0.114;0.238;0.169;0.238;0.1
ENST00000361346_90_90;0.998;1.0;0.945;0.219;1.0;1.0;0.139;0.614;0.164;1.0;0.92;0.867;0.115;0.238;0.169;0.238;0.1
ENST00000361776_90_90;0.943;0.945;1.0;0.231;0.945;0.945;0.108;0.65;0.173;0.945;0.867;0.915;0.121;0.251;0.179;0.251;0.106
ENST00000372571_90_90;0.219;0.219;0.231;1.0;0.219;0.219;0.0;0.0;0.0;0.219;0.221;0.234;0.0;0.0;0.0;0.0;0.0
ENST00000372572_90_90;0.998;1.0;0.945;0.219;1.0;1.0;0.139;0.614;0.164;1.0;0.92;0.867;0.115;0.238;0.169;0.238;0.1
ENST00000372573_90_90;0.998;1.0;0.945;0.219;1.0;1.0;0.139;0.614;0.164;1.0;0.92;0.867;0.115;0.238;0.169;0.238;0.1
ENST00000422278_90_90;0.139;0.139;0.108;0.0;0.139;0.139;1.0;0.163;0.0;0.139;0.141;0.109;0.0;0.0;0.0;0.0;0.0
ENST00000445886_90_90;0.614;0.614;0.65;0.0;0.614;0.614;0.163;1.0;0.261;0.614;0.548;0.579;0.186;0.386;0.275;0.386;0.163
ENST00000454417_90_90;0.169;0.164;0.173;0.0;0.164;0.164;0.0;0.261;1.0;0.164;0.165;0.175;0.167;0.641;0.367;0.641;0.113
ENST00000545068_90_90;0.998;1.0;0.945;0.219;1.0;1.0;0.139;0.614;0.164;1.0;0.92;0.867;0.115;0.238;0.169;0.238;0.1
ENSMUST00000044564_90_90;0.955;0.92;0.867;0.221;0.92;0.92;0.141;0.548;0.165;0.92;1.0;0.945;0.114;0.235;0.168;0.235;0.1
ENSMUST00000106310_90_90;0.901;0.867;0.915;0.234;0.867;0.867;0.109;0.579;0.175;0.867;0.945;1.0;0.121;0.248;0.178;0.248;0.105
ENSMUST00000137560_90_90;0.114;0.115;0.121;0.0;0.115;0.115;0.0;0.186;0.167;0.115;0.114;0.121;1.0;0.458;0.678;0.458;0.873
ENSMUST00000138845_90_90;0.238;0.238;0.251;0.0;0.238;0.238;0.0;0.386;0.641;0.238;0.235;0.248;0.458;1.0;0.675;1.0;0.4
ENSMUST00000160219_90_90;0.169;0.169;0.179;0.0;0.169;0.169;0.0;0.275;0.367;0.169;0.168;0.178;0.678;0.675;1.0;0.675;0.592
ENSMUST00000162267_90_90;0.238;0.238;0.251;0.0;0.238;0.238;0.0;0.386;0.641;0.238;0.235;0.248;0.458;1.0;0.675;1.0;0.4
ENSMUST00000176012_90_90;0.1;0.1;0.106;0.0;0.1;0.1;0.0;0.163;0.113;0.1;0.1;0.105;0.873;0.4;0.592;0.4;1.0
