;ENSCAFT00000027787_90_90;ENSCAFT00000048830_90_90;ENST00000368686_90_90;ENST00000368687_90_90;ENST00000368690_90_90;ENST00000368694_90_90;ENST00000403433_90_90;ENST00000614256_90_90;ENSMUST00000001043_90_90;ENSMUST00000049937_90_90;ENSMUST00000076639_90_90;ENSMUST00000107342_90_90;ENSMUST00000107343_90_90;ENSMUST00000107344_90_90;ENSMUST00000107346_90_90;ENSMUST00000131868_90_90;ENSMUST00000146740_90_90
ENSCAFT00000027787_90_90;1.0;0.944;0.091;0.391;0.481;0.5;0.52;0.565;0.0;0.185;0.208;0.0;0.0;0.0;0.2;0.227;0.2
ENSCAFT00000048830_90_90;0.944;1.0;0.095;0.409;0.5;0.52;0.542;0.591;0.0;0.192;0.217;0.0;0.0;0.0;0.208;0.238;0.208
ENST00000368686_90_90;0.091;0.095;1.0;0.25;0.217;0.174;0.182;0.143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000368687_90_90;0.391;0.409;0.25;1.0;0.636;0.667;0.619;0.524;0.1;0.217;0.25;0.118;0.111;0.1;0.238;0.15;0.13
ENST00000368690_90_90;0.481;0.5;0.217;0.636;1.0;0.955;0.909;0.818;0.071;0.2;0.222;0.08;0.077;0.071;0.214;0.148;0.133
ENST00000368694_90_90;0.5;0.52;0.174;0.667;0.955;1.0;0.952;0.857;0.074;0.207;0.231;0.083;0.08;0.074;0.222;0.154;0.138
ENST00000403433_90_90;0.52;0.542;0.182;0.619;0.909;0.952;1.0;0.9;0.077;0.214;0.24;0.087;0.083;0.077;0.231;0.16;0.143
ENST00000614256_90_90;0.565;0.591;0.143;0.524;0.818;0.857;0.9;1.0;0.04;0.185;0.208;0.045;0.043;0.04;0.2;0.174;0.154
ENSMUST00000001043_90_90;0.0;0.0;0.0;0.1;0.071;0.074;0.077;0.04;1.0;0.571;0.357;0.625;0.75;1.0;0.429;0.214;0.333
ENSMUST00000049937_90_90;0.185;0.192;0.0;0.217;0.2;0.207;0.214;0.185;0.571;1.0;0.786;0.357;0.429;0.571;0.857;0.643;0.733
ENSMUST00000076639_90_90;0.208;0.217;0.0;0.25;0.222;0.231;0.24;0.208;0.357;0.786;1.0;0.455;0.417;0.357;0.917;0.667;0.643
ENSMUST00000107342_90_90;0.0;0.0;0.0;0.118;0.08;0.083;0.087;0.045;0.625;0.357;0.455;1.0;0.833;0.625;0.417;0.167;0.214
ENSMUST00000107343_90_90;0.0;0.0;0.0;0.111;0.077;0.08;0.083;0.043;0.75;0.429;0.417;0.833;1.0;0.75;0.5;0.25;0.286
ENSMUST00000107344_90_90;0.0;0.0;0.0;0.1;0.071;0.074;0.077;0.04;1.0;0.571;0.357;0.625;0.75;1.0;0.429;0.214;0.333
ENSMUST00000107346_90_90;0.2;0.208;0.0;0.238;0.214;0.222;0.231;0.2;0.429;0.857;0.917;0.417;0.5;0.429;1.0;0.75;0.714
ENSMUST00000131868_90_90;0.227;0.238;0.0;0.15;0.148;0.154;0.16;0.174;0.214;0.643;0.667;0.167;0.25;0.214;0.75;1.0;0.75
ENSMUST00000146740_90_90;0.2;0.208;0.0;0.13;0.133;0.138;0.143;0.154;0.333;0.733;0.643;0.214;0.286;0.333;0.714;0.75;1.0
