;ENSCAFT00000017733_90_90;ENST00000283256_90_90;ENST00000375427_90_90;ENST00000375437_90_90;ENST00000424833_90_90;ENST00000486878_90_90;ENST00000631182_90_90;ENST00000636071_90_90;ENST00000636135_90_90;ENST00000636384_90_90;ENST00000636662_90_90;ENST00000636769_90_90;ENST00000636985_90_90;ENST00000637266_90_90;ENST00000637367_90_90;ENSMUST00000028377_90_90;ENSMUST00000100067_90_90;ENSMUST00000144254_90_90;ENSMUST00000200829_90_90;ENSMUST00000202162_90_90;ENSMUST00000202508_90_90
ENSCAFT00000017733_90_90;1.0;1.0;0.969;1.0;0.252;0.085;0.969;0.969;0.252;0.355;0.044;0.355;0.934;1.0;0.044;0.97;0.97;0.252;1.0;0.049;0.052
ENST00000283256_90_90;1.0;1.0;0.97;1.0;0.252;0.085;0.97;0.97;0.252;0.355;0.044;0.355;0.934;1.0;0.044;0.969;0.969;0.252;1.0;0.049;0.052
ENST00000375427_90_90;0.969;0.97;1.0;0.97;0.233;0.068;1.0;1.0;0.234;0.334;0.044;0.335;0.905;0.97;0.044;1.0;1.0;0.233;0.969;0.049;0.052
ENST00000375437_90_90;1.0;1.0;0.97;1.0;0.252;0.085;0.97;0.97;0.252;0.355;0.044;0.355;0.934;1.0;0.044;0.969;0.969;0.252;1.0;0.049;0.052
ENST00000424833_90_90;0.252;0.252;0.233;0.252;1.0;0.332;0.233;0.233;0.77;0.692;0.175;0.693;0.186;0.252;0.175;0.233;0.233;0.998;0.252;0.0;0.0
ENST00000486878_90_90;0.085;0.085;0.068;0.085;0.332;1.0;0.068;0.068;0.209;0.231;0.0;0.231;0.091;0.085;0.0;0.068;0.068;0.332;0.085;0.0;0.0
ENST00000631182_90_90;0.969;0.97;1.0;0.97;0.233;0.068;1.0;1.0;0.234;0.334;0.044;0.335;0.905;0.97;0.044;1.0;1.0;0.233;0.969;0.049;0.052
ENST00000636071_90_90;0.969;0.97;1.0;0.97;0.233;0.068;1.0;1.0;0.234;0.334;0.044;0.335;0.905;0.97;0.044;1.0;1.0;0.233;0.969;0.049;0.052
ENST00000636135_90_90;0.252;0.252;0.234;0.252;0.77;0.209;0.234;0.234;1.0;0.668;0.159;0.669;0.188;0.252;0.159;0.234;0.234;0.768;0.252;0.0;0.0
ENST00000636384_90_90;0.355;0.355;0.334;0.355;0.692;0.231;0.334;0.334;0.668;1.0;0.121;0.962;0.289;0.355;0.121;0.334;0.334;0.69;0.355;0.0;0.0
ENST00000636662_90_90;0.044;0.044;0.044;0.044;0.175;0.0;0.044;0.044;0.159;0.121;1.0;0.121;0.0;0.044;1.0;0.044;0.044;0.175;0.044;0.0;0.0
ENST00000636769_90_90;0.355;0.355;0.335;0.355;0.693;0.231;0.335;0.335;0.669;0.962;0.121;1.0;0.289;0.355;0.121;0.334;0.334;0.691;0.355;0.0;0.0
ENST00000636985_90_90;0.934;0.934;0.905;0.934;0.186;0.091;0.905;0.905;0.188;0.289;0.0;0.289;1.0;0.934;0.0;0.905;0.905;0.186;0.934;0.052;0.056
ENST00000637266_90_90;1.0;1.0;0.97;1.0;0.252;0.085;0.97;0.97;0.252;0.355;0.044;0.355;0.934;1.0;0.044;0.969;0.969;0.252;1.0;0.049;0.052
ENST00000637367_90_90;0.044;0.044;0.044;0.044;0.175;0.0;0.044;0.044;0.159;0.121;1.0;0.121;0.0;0.044;1.0;0.044;0.044;0.175;0.044;0.0;0.0
ENSMUST00000028377_90_90;0.97;0.969;1.0;0.969;0.233;0.068;1.0;1.0;0.234;0.334;0.044;0.334;0.905;0.969;0.044;1.0;1.0;0.233;0.97;0.049;0.052
ENSMUST00000100067_90_90;0.97;0.969;1.0;0.969;0.233;0.068;1.0;1.0;0.234;0.334;0.044;0.334;0.905;0.969;0.044;1.0;1.0;0.233;0.97;0.049;0.052
ENSMUST00000144254_90_90;0.252;0.252;0.233;0.252;0.998;0.332;0.233;0.233;0.768;0.69;0.175;0.691;0.186;0.252;0.175;0.233;0.233;1.0;0.252;0.0;0.0
ENSMUST00000200829_90_90;1.0;1.0;0.969;1.0;0.252;0.085;0.969;0.969;0.252;0.355;0.044;0.355;0.934;1.0;0.044;0.97;0.97;0.252;1.0;0.049;0.052
ENSMUST00000202162_90_90;0.049;0.049;0.049;0.049;0.0;0.0;0.049;0.049;0.0;0.0;0.0;0.0;0.052;0.049;0.0;0.049;0.049;0.0;0.049;1.0;0.927
ENSMUST00000202508_90_90;0.052;0.052;0.052;0.052;0.0;0.0;0.052;0.052;0.0;0.0;0.0;0.0;0.056;0.052;0.0;0.052;0.052;0.0;0.052;0.927;1.0
