;ENSCAFT00000027630_90_90;ENST00000258962_90_90;ENST00000581979_90_90;ENST00000582730_90_90;ENST00000583741_90_90;ENST00000584668_90_90;ENST00000584773_90_90;ENST00000585096_90_90;ENSMUST00000079866_90_90;ENSMUST00000107920_90_90;ENSMUST00000134824_90_90;ENSMUST00000139129_90_90;ENSMUST00000172186_90_90
ENSCAFT00000027630_90_90;1.0;0.8;0.7;0.7;0.1;0.3;1.0;0.3;0.727;1.0;0.545;0.818;0.364
ENST00000258962_90_90;0.8;1.0;0.769;0.769;0.231;0.417;0.786;0.308;0.75;0.769;0.385;1.0;0.154
ENST00000581979_90_90;0.7;0.769;1.0;1.0;0.25;0.231;0.714;0.333;1.0;0.692;0.417;0.75;0.167
ENST00000582730_90_90;0.7;0.769;1.0;1.0;0.25;0.231;0.714;0.333;1.0;0.692;0.417;0.75;0.167
ENST00000583741_90_90;0.1;0.231;0.25;0.25;1.0;0.0;0.214;0.5;0.2;0.167;0.0;0.182;0.0
ENST00000584668_90_90;0.3;0.417;0.231;0.231;0.0;1.0;0.286;0.0;0.25;0.308;0.333;0.455;0.125
ENST00000584773_90_90;1.0;0.786;0.714;0.714;0.214;0.286;1.0;0.385;0.692;1.0;0.583;0.769;0.333
ENST00000585096_90_90;0.3;0.308;0.333;0.333;0.5;0.0;0.385;1.0;0.273;0.333;0.1;0.25;0.143
ENSMUST00000079866_90_90;0.727;0.75;1.0;1.0;0.2;0.25;0.692;0.273;1.0;0.714;0.357;0.769;0.143
ENSMUST00000107920_90_90;1.0;0.769;0.692;0.692;0.167;0.308;1.0;0.333;0.714;1.0;0.5;0.786;0.286
ENSMUST00000134824_90_90;0.545;0.385;0.417;0.417;0.0;0.333;0.583;0.1;0.357;0.5;1.0;0.333;0.625
ENSMUST00000139129_90_90;0.818;1.0;0.75;0.75;0.182;0.455;0.769;0.25;0.769;0.786;0.333;1.0;0.133
ENSMUST00000172186_90_90;0.364;0.154;0.167;0.167;0.0;0.125;0.333;0.143;0.143;0.286;0.625;0.133;1.0
