;transcript5_ENSHGLG00100006079;transcript5_ENSHGLG00100003156;transcript18_ENSHGLG00100003156;transcript34_ENSHGLG00100003156;transcript35_ENSHGLG00100003156;transcript36_ENSHGLG00100003156;transcript33_ENSHGLG00100003156;transcript30_ENSHGLG00100006079;transcript5_ENSPCIG00000036398;transcript7_ENSXMAG00000026005;transcript5_ENSXMAG00000026005
transcript5_ENSHGLG00100006079;1.0;1.0;1.0;0.889;0.389;0.944;0.889;0.389;1.0;1.0;1.0
transcript5_ENSHGLG00100003156;1.0;1.0;1.0;0.929;0.25;0.964;0.929;0.389;1.0;1.0;1.0
transcript18_ENSHGLG00100003156;1.0;1.0;1.0;0.929;0.25;0.964;0.929;0.389;1.0;1.0;1.0
transcript34_ENSHGLG00100003156;0.889;0.929;0.929;1.0;0.179;0.893;0.926;0.278;0.929;0.929;0.929
transcript35_ENSHGLG00100003156;0.389;0.25;0.25;0.179;1.0;0.214;0.179;1.0;0.25;0.25;0.25
transcript36_ENSHGLG00100003156;0.944;0.964;0.964;0.893;0.214;1.0;0.893;0.333;0.964;0.964;0.964
transcript33_ENSHGLG00100003156;0.889;0.929;0.929;0.926;0.179;0.893;1.0;0.278;0.929;0.929;0.929
transcript30_ENSHGLG00100006079;0.389;0.389;0.389;0.278;1.0;0.333;0.278;1.0;0.389;0.389;0.389
transcript5_ENSPCIG00000036398;1.0;1.0;1.0;0.929;0.25;0.964;0.929;0.389;1.0;1.0;1.0
transcript7_ENSXMAG00000026005;1.0;1.0;1.0;0.929;0.25;0.964;0.929;0.389;1.0;1.0;1.0
transcript5_ENSXMAG00000026005;1.0;1.0;1.0;0.929;0.25;0.964;0.929;0.389;1.0;1.0;1.0
