;ENSCAFT00000018772_90_90;ENST00000333957_90_90;ENST00000396028_90_90;ENST00000446597_90_90;ENST00000535555_90_90;ENST00000536386_90_90;ENST00000539615_90_90;ENST00000542676_90_90;ENST00000542683_90_90;ENST00000545552_90_90;ENSMUST00000087485_90_90;ENSMUST00000111758_90_90;ENSMUST00000171349_90_90;ENSMUST00000203187_90_90;ENSMUST00000203673_90_90;ENSMUST00000204043_90_90;ENSMUST00000204140_90_90;ENSMUST00000204655_90_90;ENSMUST00000205119_90_90
ENSCAFT00000018772_90_90;1.0;0.871;0.877;0.958;0.184;0.876;0.2;0.958;0.224;0.828;0.774;0.774;0.849;0.879;0.857;0.165;0.219;0.849;0.077
ENST00000333957_90_90;0.871;1.0;0.831;0.91;0.203;0.795;0.178;0.91;0.283;0.826;0.883;0.883;0.974;0.944;0.775;0.18;0.241;0.974;0.085
ENST00000396028_90_90;0.877;0.831;1.0;0.916;0.184;0.955;0.201;0.916;0.198;0.944;0.888;0.888;0.809;0.838;0.934;0.165;0.22;0.809;0.077
ENST00000446597_90_90;0.958;0.91;0.916;1.0;0.184;0.876;0.2;1.0;0.253;0.864;0.809;0.809;0.888;0.918;0.857;0.165;0.219;0.888;0.077
ENST00000535555_90_90;0.184;0.203;0.184;0.184;1.0;0.228;0.0;0.184;0.195;0.22;0.209;0.209;0.209;0.201;0.234;0.944;0.0;0.209;0.0
ENST00000536386_90_90;0.876;0.795;0.955;0.876;0.228;1.0;0.195;0.876;0.186;0.903;0.85;0.85;0.775;0.803;0.98;0.209;0.211;0.775;0.073
ENST00000539615_90_90;0.2;0.178;0.201;0.2;0.0;0.195;1.0;0.2;0.0;0.2;0.182;0.182;0.181;0.215;0.197;0.0;0.0;0.181;0.0
ENST00000542676_90_90;0.958;0.91;0.916;1.0;0.184;0.876;0.2;1.0;0.253;0.864;0.809;0.809;0.888;0.918;0.857;0.165;0.219;0.888;0.077
ENST00000542683_90_90;0.224;0.283;0.198;0.253;0.195;0.186;0.0;0.253;1.0;0.197;0.23;0.23;0.293;0.281;0.192;0.156;0.09;0.293;0.0
ENST00000545552_90_90;0.828;0.826;0.944;0.864;0.22;0.903;0.2;0.864;0.197;1.0;0.882;0.882;0.804;0.833;0.883;0.2;0.219;0.804;0.076
ENSMUST00000087485_90_90;0.774;0.883;0.888;0.809;0.209;0.85;0.182;0.809;0.23;0.882;1.0;1.0;0.905;0.877;0.867;0.186;0.249;0.905;0.088
ENSMUST00000111758_90_90;0.774;0.883;0.888;0.809;0.209;0.85;0.182;0.809;0.23;0.882;1.0;1.0;0.905;0.877;0.867;0.186;0.249;0.905;0.088
ENSMUST00000171349_90_90;0.849;0.974;0.809;0.888;0.209;0.775;0.181;0.888;0.293;0.804;0.905;0.905;1.0;0.966;0.79;0.185;0.248;1.0;0.087
ENSMUST00000203187_90_90;0.879;0.944;0.838;0.918;0.201;0.803;0.215;0.918;0.281;0.833;0.877;0.877;0.966;1.0;0.818;0.179;0.239;0.966;0.085
ENSMUST00000203673_90_90;0.857;0.775;0.934;0.857;0.234;0.98;0.197;0.857;0.192;0.883;0.867;0.867;0.79;0.818;1.0;0.214;0.214;0.79;0.075
ENSMUST00000204043_90_90;0.165;0.18;0.165;0.165;0.944;0.209;0.0;0.165;0.156;0.2;0.186;0.186;0.185;0.179;0.214;1.0;0.0;0.185;0.0
ENSMUST00000204140_90_90;0.219;0.241;0.22;0.219;0.0;0.211;0.0;0.219;0.09;0.219;0.249;0.249;0.248;0.239;0.214;0.0;1.0;0.248;0.351
ENSMUST00000204655_90_90;0.849;0.974;0.809;0.888;0.209;0.775;0.181;0.888;0.293;0.804;0.905;0.905;1.0;0.966;0.79;0.185;0.248;1.0;0.087
ENSMUST00000205119_90_90;0.077;0.085;0.077;0.077;0.0;0.073;0.0;0.077;0.0;0.076;0.088;0.088;0.087;0.085;0.075;0.0;0.351;0.087;1.0
