;transcript30_ENSSTOG00000019743;transcript9_ENSSTOG00000019743;transcript1_ENSCCNG00000000226;transcript30_ENSCCNG00000000226;transcript36_ENSCPOG00000024843;transcript37_ENSCPOG00000024843;transcript35_ENSCPOG00000024843;transcript29_ENSCPOG00000024843;transcript1_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript31_ENSSTOG00000019743;transcript1_ENSMLUG00000027828;transcript10_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript28_ENSMLUG00000027828
transcript30_ENSSTOG00000019743;1.0;0.886;0.83;0.859;0.857;0.871;0.871;0.905;0.963;1.0;0.982;0.831;0.762;0.762;0.76
transcript9_ENSSTOG00000019743;0.886;1.0;0.73;0.757;0.754;0.768;0.768;0.799;0.852;0.886;0.868;0.73;0.85;0.85;0.848
transcript1_ENSCCNG00000000226;0.83;0.73;1.0;0.966;0.901;0.916;0.916;0.885;0.86;0.83;0.816;0.869;0.736;0.736;0.732
transcript30_ENSCCNG00000000226;0.859;0.757;0.966;1.0;0.869;0.885;0.885;0.916;0.833;0.859;0.845;0.848;0.762;0.762;0.758
transcript36_ENSCPOG00000024843;0.857;0.754;0.901;0.869;1.0;0.983;0.983;0.945;0.891;0.857;0.871;0.895;0.757;0.757;0.76
transcript37_ENSCPOG00000024843;0.871;0.768;0.916;0.885;0.983;1.0;1.0;0.963;0.904;0.871;0.855;0.912;0.775;0.775;0.771
transcript35_ENSCPOG00000024843;0.871;0.768;0.916;0.885;0.983;1.0;1.0;0.963;0.904;0.871;0.855;0.912;0.775;0.775;0.771
transcript29_ENSCPOG00000024843;0.905;0.799;0.885;0.916;0.945;0.963;0.963;1.0;0.874;0.905;0.889;0.887;0.804;0.804;0.8
transcript1_ENSSTOG00000019743;0.963;0.852;0.86;0.833;0.891;0.904;0.904;0.874;1.0;0.963;0.946;0.853;0.736;0.736;0.734
transcript29_ENSSTOG00000019743;1.0;0.886;0.83;0.859;0.857;0.871;0.871;0.905;0.963;1.0;0.982;0.831;0.762;0.762;0.76
transcript31_ENSSTOG00000019743;0.982;0.868;0.816;0.845;0.871;0.855;0.855;0.889;0.946;0.982;1.0;0.815;0.745;0.745;0.748
transcript1_ENSMLUG00000027828;0.831;0.73;0.869;0.848;0.895;0.912;0.912;0.887;0.853;0.831;0.815;1.0;0.852;0.852;0.847
transcript10_ENSMLUG00000027828;0.762;0.85;0.736;0.762;0.757;0.775;0.775;0.804;0.736;0.762;0.745;0.852;1.0;1.0;0.995
transcript16_ENSMLUG00000027828;0.762;0.85;0.736;0.762;0.757;0.775;0.775;0.804;0.736;0.762;0.745;0.852;1.0;1.0;0.995
transcript28_ENSMLUG00000027828;0.76;0.848;0.732;0.758;0.76;0.771;0.771;0.8;0.734;0.76;0.748;0.847;0.995;0.995;1.0
