;ENSCAFT00000002127_90_90;ENSCAFT00000010587_90_90;ENST00000360332_90_90;ENST00000374174_90_90;ENST00000374176_90_90;ENST00000374179_90_90;ENST00000374182_90_90;ENST00000374189_90_90;ENST00000395611_90_90;ENST00000426557_90_90;ENST00000429041_90_90;ENST00000432379_90_90;ENST00000229794_90_90;ENST00000229795_90_90;ENST00000310795_90_90;ENST00000468133_90_90;ENST00000472333_90_90;ENST00000474429_90_90;ENST00000491957_90_90;ENST00000622903_90_90;ENSMUST00000022504_90_90;ENSMUST00000111942_90_90;ENSMUST00000111943_90_90;ENSMUST00000111944_90_90;ENSMUST00000111945_90_90;ENSMUST00000004990_90_90;ENSMUST00000062694_90_90;ENSMUST00000114752_90_90;ENSMUST00000114754_90_90;ENSMUST00000114758_90_90;ENSMUST00000124886_90_90
ENSCAFT00000002127_90_90;1.0;1.0;0.826;0.826;0.957;0.957;0.913;0.913;0.957;0.565;0.348;0.609;1.0;0.938;0.906;0.719;0.469;0.156;0.531;0.531;0.96;0.76;0.96;0.88;0.88;0.935;1.0;0.742;0.742;0.871;0.677
ENSCAFT00000010587_90_90;1.0;1.0;0.737;0.579;0.947;0.974;0.947;0.921;0.947;0.395;0.237;0.421;1.0;0.917;1.0;0.708;0.542;0.208;0.583;0.583;0.949;0.692;0.974;0.897;0.923;0.931;0.793;0.586;0.586;0.828;0.586
ENST00000360332_90_90;0.826;0.737;1.0;0.759;0.659;0.7;0.737;0.692;0.659;0.536;0.31;0.571;0.818;0.857;0.818;0.5;0.55;0.278;0.778;0.778;0.684;1.0;0.73;0.703;0.75;0.769;0.708;0.458;0.458;0.75;0.85
ENST00000374174_90_90;0.826;0.579;0.759;1.0;0.537;0.537;0.564;0.564;0.537;0.652;0.375;0.696;0.818;0.857;0.818;0.5;0.55;0.278;0.778;0.778;0.568;0.778;0.568;0.583;0.583;0.654;0.81;0.524;0.524;0.773;1.0
ENST00000374176_90_90;0.957;0.947;0.659;0.537;1.0;0.951;0.814;0.857;1.0;0.375;0.22;0.4;0.955;0.909;0.955;0.636;0.545;0.238;0.667;0.667;1.0;0.684;0.947;0.872;0.825;0.926;0.741;0.519;0.519;0.778;0.654
ENST00000374179_90_90;0.957;0.974;0.7;0.537;0.951;1.0;0.857;0.814;0.951;0.375;0.22;0.4;0.955;0.909;0.955;0.636;0.545;0.238;0.667;0.667;0.947;0.73;1.0;0.825;0.872;0.926;0.741;0.519;0.519;0.778;0.654
ENST00000374182_90_90;0.913;0.947;0.737;0.564;0.814;0.857;1.0;0.949;0.814;0.395;0.231;0.421;0.909;0.864;0.909;0.591;0.571;0.25;0.7;0.7;0.825;0.75;0.872;0.946;1.0;0.889;0.704;0.481;0.481;0.741;0.68
ENST00000374189_90_90;0.913;0.921;0.692;0.564;0.857;0.814;0.949;1.0;0.857;0.395;0.231;0.421;0.909;0.864;0.909;0.591;0.571;0.25;0.7;0.7;0.872;0.703;0.825;1.0;0.946;0.889;0.704;0.481;0.481;0.741;0.68
ENST00000395611_90_90;0.957;0.947;0.659;0.537;1.0;0.951;0.814;0.857;1.0;0.375;0.22;0.4;0.955;0.909;0.955;0.636;0.545;0.238;0.667;0.667;1.0;0.684;0.947;0.872;0.825;0.926;0.741;0.519;0.519;0.778;0.654
ENST00000426557_90_90;0.565;0.395;0.536;0.652;0.375;0.375;0.395;0.395;0.375;1.0;0.19;0.938;0.545;0.571;0.545;0.227;0.25;0.417;0.857;0.857;0.378;0.519;0.378;0.389;0.389;0.423;0.524;0.238;0.238;0.5;0.647
ENST00000429041_90_90;0.348;0.237;0.31;0.375;0.22;0.22;0.231;0.231;0.22;0.19;1.0;0.238;0.364;0.381;0.364;0.533;0.615;0.083;0.375;0.375;0.243;0.333;0.243;0.25;0.25;0.308;0.381;0.533;0.533;0.364;0.471
ENST00000432379_90_90;0.609;0.421;0.571;0.696;0.4;0.4;0.421;0.421;0.4;0.938;0.238;1.0;0.591;0.619;0.591;0.273;0.3;0.385;0.929;0.929;0.405;0.556;0.405;0.417;0.417;0.462;0.571;0.286;0.286;0.545;0.706
ENST00000229794_90_90;1.0;1.0;0.818;0.818;0.955;0.955;0.909;0.909;0.955;0.545;0.364;0.591;1.0;0.914;0.882;0.706;0.441;0.171;0.514;0.514;0.958;0.75;0.958;0.875;0.875;0.939;1.0;0.727;0.727;0.848;0.667
ENST00000229795_90_90;0.938;0.917;0.857;0.857;0.909;0.909;0.864;0.864;0.909;0.571;0.381;0.619;0.914;1.0;0.8;0.629;0.455;0.176;0.529;0.529;0.875;0.818;0.875;0.792;0.792;1.0;0.939;0.667;0.667;0.788;0.71
ENST00000310795_90_90;0.906;1.0;0.818;0.818;0.955;0.955;0.909;0.909;0.955;0.545;0.364;0.591;0.882;0.8;1.0;0.588;0.5;0.194;0.581;0.581;0.958;0.75;0.958;0.875;0.875;0.818;0.879;0.606;0.606;0.966;0.759
ENST00000468133_90_90;0.719;0.708;0.5;0.5;0.636;0.636;0.591;0.591;0.636;0.227;0.533;0.273;0.706;0.629;0.588;1.0;0.625;0.069;0.229;0.229;0.667;0.458;0.667;0.583;0.583;0.667;0.727;1.0;1.0;0.576;0.394
ENST00000472333_90_90;0.469;0.542;0.55;0.55;0.545;0.545;0.571;0.571;0.545;0.25;0.615;0.3;0.441;0.455;0.5;0.625;1.0;0.1;0.308;0.308;0.5;0.55;0.5;0.545;0.545;0.484;0.455;0.625;0.625;0.536;0.542
ENST00000474429_90_90;0.156;0.208;0.278;0.278;0.238;0.238;0.25;0.25;0.238;0.417;0.083;0.385;0.171;0.176;0.194;0.069;0.1;1.0;0.3;0.3;0.217;0.278;0.217;0.238;0.238;0.161;0.152;0.074;0.074;0.179;0.227
ENST00000491957_90_90;0.531;0.583;0.778;0.778;0.667;0.667;0.7;0.7;0.667;0.857;0.375;0.929;0.514;0.529;0.581;0.229;0.308;0.3;1.0;1.0;0.609;0.778;0.609;0.667;0.667;0.548;0.515;0.242;0.242;0.607;0.773
ENST00000622903_90_90;0.531;0.583;0.778;0.778;0.667;0.667;0.7;0.7;0.667;0.857;0.375;0.929;0.514;0.529;0.581;0.229;0.308;0.3;1.0;1.0;0.609;0.778;0.609;0.667;0.667;0.548;0.515;0.242;0.242;0.607;0.773
ENSMUST00000022504_90_90;0.96;0.949;0.684;0.568;1.0;0.947;0.825;0.872;1.0;0.378;0.243;0.405;0.958;0.875;0.958;0.667;0.5;0.217;0.609;0.609;1.0;0.659;0.951;0.857;0.814;0.897;0.759;0.552;0.552;0.793;0.607
ENSMUST00000111942_90_90;0.76;0.692;1.0;0.778;0.684;0.73;0.75;0.703;0.684;0.519;0.333;0.556;0.75;0.818;0.75;0.458;0.55;0.278;0.778;0.778;0.659;1.0;0.7;0.692;0.737;0.741;0.654;0.423;0.423;0.692;0.85
ENSMUST00000111943_90_90;0.96;0.974;0.73;0.568;0.947;1.0;0.872;0.825;0.947;0.378;0.243;0.405;0.958;0.875;0.958;0.667;0.5;0.217;0.609;0.609;0.951;0.7;1.0;0.814;0.857;0.897;0.759;0.552;0.552;0.793;0.607
ENSMUST00000111944_90_90;0.88;0.897;0.703;0.583;0.872;0.825;0.946;1.0;0.872;0.389;0.25;0.417;0.875;0.792;0.875;0.583;0.545;0.238;0.667;0.667;0.857;0.692;0.814;1.0;0.949;0.828;0.69;0.483;0.483;0.724;0.654
ENSMUST00000111945_90_90;0.88;0.923;0.75;0.583;0.825;0.872;1.0;0.946;0.825;0.389;0.25;0.417;0.875;0.792;0.875;0.583;0.545;0.238;0.667;0.667;0.814;0.737;0.857;0.949;1.0;0.828;0.69;0.483;0.483;0.724;0.654
ENSMUST00000004990_90_90;0.935;0.931;0.769;0.654;0.926;0.926;0.889;0.889;0.926;0.423;0.308;0.462;0.939;1.0;0.818;0.667;0.484;0.161;0.548;0.548;0.897;0.741;0.897;0.828;0.828;1.0;0.8;0.55;0.55;0.7;0.605
ENSMUST00000062694_90_90;1.0;0.793;0.708;0.81;0.741;0.741;0.704;0.704;0.741;0.524;0.381;0.571;1.0;0.939;0.879;0.727;0.455;0.152;0.515;0.515;0.759;0.654;0.759;0.69;0.69;0.8;1.0;0.706;0.706;0.829;0.676
ENSMUST00000114752_90_90;0.742;0.586;0.458;0.524;0.519;0.519;0.481;0.481;0.519;0.238;0.533;0.286;0.727;0.667;0.606;1.0;0.625;0.074;0.242;0.242;0.552;0.423;0.552;0.483;0.483;0.55;0.706;1.0;1.0;0.543;0.382
ENSMUST00000114754_90_90;0.742;0.586;0.458;0.524;0.519;0.519;0.481;0.481;0.519;0.238;0.533;0.286;0.727;0.667;0.606;1.0;0.625;0.074;0.242;0.242;0.552;0.423;0.552;0.483;0.483;0.55;0.706;1.0;1.0;0.543;0.382
ENSMUST00000114758_90_90;0.871;0.828;0.75;0.773;0.778;0.778;0.741;0.741;0.778;0.5;0.364;0.545;0.848;0.788;0.966;0.576;0.536;0.179;0.607;0.607;0.793;0.692;0.793;0.724;0.724;0.7;0.829;0.543;0.543;1.0;0.767
ENSMUST00000124886_90_90;0.677;0.586;0.85;1.0;0.654;0.654;0.68;0.68;0.654;0.647;0.471;0.706;0.667;0.71;0.759;0.394;0.542;0.227;0.773;0.773;0.607;0.85;0.607;0.654;0.654;0.605;0.676;0.382;0.382;0.767;1.0
