;ENSCAFT00000016458_90_90;ENSCAFT00000047049_90_90;ENST00000257118_90_90;ENST00000373418_90_90;ENST00000373422_90_90;ENST00000431992_90_90;ENSMUST00000030588_90_90;ENSMUST00000106079_90_90;ENSMUST00000106080_90_90;ENSMUST00000120946_90_90;ENSMUST00000133439_90_90;ENSMUST00000134421_90_90;ENSMUST00000136377_90_90;ENSMUST00000138445_90_90;ENSMUST00000143632_90_90;ENSMUST00000147572_90_90
ENSCAFT00000016458_90_90;1.0;0.966;0.954;0.39;0.559;0.988;0.936;0.39;0.936;0.027;0.064;0.173;0.268;0.048;0.048;0.244
ENSCAFT00000047049_90_90;0.966;1.0;0.988;0.376;0.54;0.955;0.969;0.376;0.969;0.026;0.062;0.167;0.302;0.047;0.047;0.236
ENST00000257118_90_90;0.954;0.988;1.0;0.376;0.539;0.965;0.979;0.376;0.979;0.026;0.062;0.167;0.309;0.047;0.047;0.236
ENST00000373418_90_90;0.39;0.376;0.376;1.0;0.696;0.389;0.38;1.0;0.38;0.07;0.165;0.444;0.0;0.124;0.124;0.626
ENST00000373422_90_90;0.559;0.54;0.539;0.696;1.0;0.559;0.546;0.696;0.546;0.049;0.115;0.309;0.0;0.086;0.086;0.436
ENST00000431992_90_90;0.988;0.955;0.965;0.389;0.559;1.0;0.947;0.389;0.947;0.027;0.064;0.173;0.275;0.048;0.048;0.244
ENSMUST00000030588_90_90;0.936;0.969;0.979;0.38;0.546;0.947;1.0;0.38;1.0;0.027;0.063;0.169;0.317;0.047;0.047;0.238
ENSMUST00000106079_90_90;0.39;0.376;0.376;1.0;0.696;0.389;0.38;1.0;0.38;0.07;0.165;0.444;0.0;0.124;0.124;0.626
ENSMUST00000106080_90_90;0.936;0.969;0.979;0.38;0.546;0.947;1.0;0.38;1.0;0.027;0.063;0.169;0.317;0.047;0.047;0.238
ENSMUST00000120946_90_90;0.027;0.026;0.026;0.07;0.049;0.027;0.027;0.07;0.027;1.0;0.425;0.158;0.0;0.446;0.446;0.112
ENSMUST00000133439_90_90;0.064;0.062;0.062;0.165;0.115;0.064;0.063;0.165;0.063;0.425;1.0;0.372;0.0;0.302;0.302;0.264
ENSMUST00000134421_90_90;0.173;0.167;0.167;0.444;0.309;0.173;0.169;0.444;0.169;0.158;0.372;1.0;0.0;0.279;0.279;0.708
ENSMUST00000136377_90_90;0.268;0.302;0.309;0.0;0.0;0.275;0.317;0.0;0.317;0.0;0.0;0.0;1.0;0.0;0.0;0.0
ENSMUST00000138445_90_90;0.048;0.047;0.047;0.124;0.086;0.048;0.047;0.124;0.047;0.446;0.302;0.279;0.0;1.0;1.0;0.198
ENSMUST00000143632_90_90;0.048;0.047;0.047;0.124;0.086;0.048;0.047;0.124;0.047;0.446;0.302;0.279;0.0;1.0;1.0;0.198
ENSMUST00000147572_90_90;0.244;0.236;0.236;0.626;0.436;0.244;0.238;0.626;0.238;0.112;0.264;0.708;0.0;0.198;0.198;1.0
