;transcript9_ENSAPOG00000016134;transcript14_ENSAPOG00000016134;transcript21_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript14_ENSAPOG00000023408;transcript23_ENSAPOG00000023408;transcript28_ENSAPOG00000023408;transcript29_ENSAPOG00000023408;transcript30_ENSAPOG00000023408;transcript31_ENSAPOG00000023408;transcript7_ENSAOCG00000015695;transcript17_ENSAOCG00000015695;transcript18_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript28_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript7_ENSPNYG00000024266;transcript12_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript23_ENSPNYG00000024266;transcript24_ENSPNYG00000024266;transcript7_ENSXMAG00000026005;transcript9_ENSXMAG00000026005
transcript9_ENSAPOG00000016134;1.0;0.182;0.214;0.149;0.182;0.139;0.185;0.167;0.143;0.175;0.202;0.198;0.195;0.129;0.129;0.221;0.131;0.467;0.198;0.07;0.21;0.203;0.208;0.185;0.182
transcript14_ENSAPOG00000016134;0.182;1.0;0.848;0.696;1.0;0.784;0.971;0.677;0.756;0.637;0.885;0.913;0.909;0.849;0.849;0.816;0.82;0.17;0.913;0.794;0.859;0.883;0.853;0.972;1.0
transcript21_ENSAPOG00000016134;0.214;0.848;1.0;0.82;0.848;0.925;0.819;0.799;0.891;0.752;0.897;0.929;0.758;0.859;0.859;0.823;0.827;0.132;0.929;0.8;0.87;0.895;0.863;0.82;0.848
transcript7_ENSAPOG00000023408;0.149;0.696;0.82;1.0;0.696;0.887;0.716;0.75;0.919;0.7;0.784;0.761;0.605;0.819;0.819;0.654;0.783;0.153;0.761;0.632;0.702;0.728;0.695;0.667;0.696
transcript14_ENSAPOG00000023408;0.182;1.0;0.848;0.696;1.0;0.784;0.971;0.677;0.756;0.637;0.885;0.913;0.909;0.849;0.849;0.816;0.82;0.17;0.913;0.794;0.859;0.883;0.853;0.972;1.0
transcript23_ENSAPOG00000023408;0.139;0.784;0.925;0.887;0.784;1.0;0.756;0.863;0.964;0.812;0.829;0.859;0.695;0.924;0.924;0.754;0.889;0.143;0.859;0.732;0.801;0.827;0.793;0.756;0.784
transcript28_ENSAPOG00000023408;0.185;0.971;0.819;0.716;0.971;0.756;1.0;0.649;0.778;0.609;0.856;0.884;0.881;0.821;0.821;0.787;0.791;0.173;0.884;0.766;0.83;0.854;0.825;0.943;0.971
transcript29_ENSAPOG00000023408;0.167;0.677;0.799;0.75;0.677;0.863;0.649;1.0;0.827;0.944;0.712;0.744;0.587;0.798;0.798;0.637;0.762;0.172;0.744;0.615;0.684;0.71;0.677;0.649;0.677
transcript30_ENSAPOG00000023408;0.143;0.756;0.891;0.919;0.756;0.964;0.778;0.827;1.0;0.776;0.796;0.828;0.665;0.889;0.889;0.722;0.855;0.146;0.828;0.699;0.769;0.794;0.761;0.728;0.756
transcript31_ENSAPOG00000023408;0.175;0.637;0.752;0.7;0.637;0.812;0.609;0.944;0.776;1.0;0.668;0.7;0.547;0.751;0.751;0.667;0.717;0.18;0.7;0.572;0.641;0.666;0.633;0.609;0.637
transcript7_ENSAOCG00000015695;0.202;0.885;0.897;0.784;0.885;0.829;0.856;0.712;0.796;0.668;1.0;0.968;0.794;0.899;0.899;0.863;0.867;0.124;0.968;0.84;0.909;0.935;0.902;0.857;0.885
transcript17_ENSAOCG00000015695;0.198;0.913;0.929;0.761;0.913;0.859;0.884;0.744;0.828;0.7;0.968;1.0;0.823;0.93;0.93;0.893;0.897;0.122;1.0;0.871;0.941;0.966;0.933;0.885;0.913
transcript18_ENSAOCG00000015695;0.195;0.909;0.758;0.605;0.909;0.695;0.881;0.587;0.665;0.547;0.794;0.823;1.0;0.759;0.759;0.726;0.781;0.182;0.823;0.704;0.768;0.792;0.815;0.935;0.909
transcript26_ENSAOCG00000015695;0.129;0.849;0.859;0.819;0.849;0.924;0.821;0.798;0.889;0.751;0.899;0.93;0.759;1.0;1.0;0.825;0.966;0.132;0.93;0.802;0.871;0.897;0.865;0.821;0.849
transcript27_ENSAOCG00000015695;0.129;0.849;0.859;0.819;0.849;0.924;0.821;0.798;0.889;0.751;0.899;0.93;0.759;1.0;1.0;0.825;0.966;0.132;0.93;0.802;0.871;0.897;0.865;0.821;0.849
transcript28_ENSAOCG00000015695;0.221;0.816;0.823;0.654;0.816;0.754;0.787;0.637;0.722;0.667;0.863;0.893;0.726;0.825;0.825;1.0;0.791;0.135;0.893;0.765;0.835;0.861;0.828;0.788;0.816
transcript29_ENSAOCG00000015695;0.131;0.82;0.827;0.783;0.82;0.889;0.791;0.762;0.855;0.717;0.867;0.897;0.781;0.966;0.966;0.791;1.0;0.134;0.897;0.769;0.839;0.865;0.893;0.791;0.82
transcript7_ENSPNYG00000024266;0.467;0.17;0.132;0.153;0.17;0.143;0.173;0.172;0.146;0.18;0.124;0.122;0.182;0.132;0.132;0.135;0.134;1.0;0.122;0.0;0.13;0.124;0.127;0.173;0.17
transcript12_ENSPNYG00000024266;0.198;0.913;0.929;0.761;0.913;0.859;0.884;0.744;0.828;0.7;0.968;1.0;0.823;0.93;0.93;0.893;0.897;0.122;1.0;0.871;0.941;0.966;0.933;0.885;0.913
transcript21_ENSPNYG00000024266;0.07;0.794;0.8;0.632;0.794;0.732;0.766;0.615;0.699;0.572;0.84;0.871;0.704;0.802;0.802;0.765;0.769;0.0;0.871;1.0;0.812;0.838;0.805;0.766;0.794
transcript22_ENSPNYG00000024266;0.21;0.859;0.87;0.702;0.859;0.801;0.83;0.684;0.769;0.641;0.909;0.941;0.768;0.871;0.871;0.835;0.839;0.13;0.941;0.812;1.0;0.907;0.875;0.831;0.859
transcript23_ENSPNYG00000024266;0.203;0.883;0.895;0.728;0.883;0.827;0.854;0.71;0.794;0.666;0.935;0.966;0.792;0.897;0.897;0.861;0.865;0.124;0.966;0.838;0.907;1.0;0.966;0.854;0.883
transcript24_ENSPNYG00000024266;0.208;0.853;0.863;0.695;0.853;0.793;0.825;0.677;0.761;0.633;0.902;0.933;0.815;0.865;0.865;0.828;0.893;0.127;0.933;0.805;0.875;0.966;1.0;0.825;0.853
transcript7_ENSXMAG00000026005;0.185;0.972;0.82;0.667;0.972;0.756;0.943;0.649;0.728;0.609;0.857;0.885;0.935;0.821;0.821;0.788;0.791;0.173;0.885;0.766;0.831;0.854;0.825;1.0;0.972
transcript9_ENSXMAG00000026005;0.182;1.0;0.848;0.696;1.0;0.784;0.971;0.677;0.756;0.637;0.885;0.913;0.909;0.849;0.849;0.816;0.82;0.17;0.913;0.794;0.859;0.883;0.853;0.972;1.0
