;ENSCAFT00000018754_90_90;ENSCAFT00000042737_90_90;ENST00000373836_90_90;ENST00000373839_90_90;ENST00000493669_90_90;ENST00000632202_90_90;ENST00000632421_90_90;ENST00000633167_90_90;ENSMUST00000084170_90_90;ENSMUST00000084249_90_90;ENSMUST00000102568_90_90;ENSMUST00000136711_90_90;ENSMUST00000152271_90_90
ENSCAFT00000018754_90_90;1.0;0.874;0.909;0.891;0.086;0.364;0.018;0.129;0.859;0.976;0.915;0.226;0.46
ENSCAFT00000042737_90_90;0.874;1.0;0.978;1.0;0.071;0.368;0.021;0.109;0.92;0.92;0.98;0.18;0.505
ENST00000373836_90_90;0.909;0.978;1.0;0.942;0.047;0.309;0.0;0.14;0.879;0.956;0.942;0.216;0.467
ENST00000373839_90_90;0.891;1.0;0.942;1.0;0.066;0.341;0.018;0.099;0.933;0.904;0.999;0.182;0.509
ENST00000493669_90_90;0.086;0.071;0.047;0.066;1.0;0.264;0.089;0.416;0.086;0.096;0.081;0.343;0.158
ENST00000632202_90_90;0.364;0.368;0.309;0.341;0.264;1.0;0.038;0.34;0.325;0.363;0.388;0.504;0.559
ENST00000632421_90_90;0.018;0.021;0.0;0.018;0.089;0.038;1.0;0.0;0.029;0.0;0.026;0.0;0.048
ENST00000633167_90_90;0.129;0.109;0.14;0.099;0.416;0.34;0.0;1.0;0.085;0.174;0.122;0.447;0.15
ENSMUST00000084170_90_90;0.859;0.92;0.879;0.933;0.086;0.325;0.029;0.085;1.0;0.867;0.944;0.176;0.523
ENSMUST00000084249_90_90;0.976;0.92;0.956;0.904;0.096;0.363;0.0;0.174;0.867;1.0;0.919;0.232;0.44
ENSMUST00000102568_90_90;0.915;0.98;0.942;0.999;0.081;0.388;0.026;0.122;0.944;0.919;1.0;0.167;0.493
ENSMUST00000136711_90_90;0.226;0.18;0.216;0.182;0.343;0.504;0.0;0.447;0.176;0.232;0.167;1.0;0.338
ENSMUST00000152271_90_90;0.46;0.505;0.467;0.509;0.158;0.559;0.048;0.15;0.523;0.44;0.493;0.338;1.0
