;transcript7_ENSMPUG00000020072;transcript7_ENSMLUG00000027828;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript25_ENSMPUG00000020072;transcript25_ENSMLUG00000027828;transcript28_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript12_ENSMLUG00000027828;transcript23_ENSECAG00000007947;transcript31_ENSECAG00000007947;transcript32_ENSECAG00000007947;transcript33_ENSECAG00000007947;transcript15_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript26_ENSMLUG00000027828;transcript27_ENSMLUG00000027828
transcript7_ENSMPUG00000020072;1.0;0.889;0.973;0.97;0.553;0.499;0.546;0.524;0.483;0.524;0.524;0.525;0.524;0.486;0.499;0.504;0.506
transcript7_ENSMLUG00000027828;0.889;1.0;0.85;0.869;0.473;0.531;0.466;0.471;0.517;0.471;0.471;0.478;0.474;0.519;0.528;0.535;0.533
transcript7_ENSSTOG00000019743;0.973;0.85;1.0;1.0;0.973;0.943;0.973;1.0;0.943;1.0;1.0;1.0;1.0;0.943;0.943;0.943;0.943
transcript7_ENSCCNG00000000226;0.97;0.869;1.0;1.0;0.97;0.943;0.97;1.0;0.943;1.0;1.0;1.0;1.0;0.943;0.943;0.943;0.943
transcript25_ENSMPUG00000020072;0.553;0.473;0.973;0.97;1.0;0.95;0.901;0.906;0.929;0.906;0.906;0.889;0.895;0.901;0.95;0.918;0.911
transcript25_ENSMLUG00000027828;0.499;0.531;0.943;0.943;0.95;1.0;0.873;0.861;0.888;0.861;0.861;0.849;0.87;0.864;0.925;0.969;0.901
transcript28_ENSMPUG00000020072;0.546;0.466;0.973;0.97;0.901;0.873;1.0;0.966;0.979;0.966;0.966;0.95;0.956;0.952;0.873;0.845;0.839
transcript12_ENSECAG00000007947;0.524;0.471;1.0;1.0;0.906;0.861;0.966;1.0;0.983;1.0;1.0;0.929;0.974;0.965;0.89;0.843;0.867
transcript12_ENSMLUG00000027828;0.483;0.517;0.943;0.943;0.929;0.888;0.979;0.983;1.0;0.983;0.983;0.905;0.956;0.976;0.904;0.864;0.876
transcript23_ENSECAG00000007947;0.524;0.471;1.0;1.0;0.906;0.861;0.966;1.0;0.983;1.0;1.0;0.929;0.974;0.965;0.89;0.843;0.867
transcript31_ENSECAG00000007947;0.524;0.471;1.0;1.0;0.906;0.861;0.966;1.0;0.983;1.0;1.0;0.929;0.974;0.965;0.89;0.843;0.867
transcript32_ENSECAG00000007947;0.525;0.478;1.0;1.0;0.889;0.849;0.95;0.929;0.905;0.929;0.929;1.0;0.947;0.885;0.804;0.828;0.778
transcript33_ENSECAG00000007947;0.524;0.474;1.0;1.0;0.895;0.87;0.956;0.974;0.956;0.974;0.974;0.947;1.0;0.938;0.861;0.851;0.838
transcript15_ENSMLUG00000027828;0.486;0.519;0.943;0.943;0.901;0.864;0.952;0.965;0.976;0.965;0.965;0.885;0.938;1.0;0.924;0.883;0.895
transcript16_ENSMLUG00000027828;0.499;0.528;0.943;0.943;0.95;0.925;0.873;0.89;0.904;0.89;0.89;0.804;0.861;0.924;1.0;0.951;0.966
transcript26_ENSMLUG00000027828;0.504;0.535;0.943;0.943;0.918;0.969;0.845;0.843;0.864;0.843;0.843;0.828;0.851;0.883;0.951;1.0;0.925
transcript27_ENSMLUG00000027828;0.506;0.533;0.943;0.943;0.911;0.901;0.839;0.867;0.876;0.867;0.867;0.778;0.838;0.895;0.966;0.925;1.0
