;ENSCAFT00000014853_90_90;ENST00000323180_90_90;ENST00000418153_90_90;ENST00000524497_90_90;ENST00000525438_90_90;ENST00000525676_90_90;ENST00000527782_90_90;ENST00000529734_90_90;ENST00000529782_90_90;ENST00000530587_90_90;ENST00000531959_90_90;ENST00000532010_90_90;ENST00000532028_90_90;ENST00000532883_90_90;ENST00000533757_90_90;ENSMUST00000044036_90_90;ENSMUST00000068702_90_90;ENSMUST00000090586_90_90;ENSMUST00000111290_90_90;ENSMUST00000111291_90_90;ENSMUST00000111292_90_90;ENSMUST00000111293_90_90;ENSMUST00000111294_90_90;ENSMUST00000111297_90_90;ENSMUST00000128781_90_90;ENSMUST00000138995_90_90;ENSMUST00000159366_90_90;ENSMUST00000159727_90_90;ENSMUST00000159961_90_90;ENSMUST00000161067_90_90;ENSMUST00000162146_90_90;ENSMUST00000162188_90_90;ENSMUST00000162497_90_90
ENSCAFT00000014853_90_90;1.0;0.898;0.977;0.164;0.039;0.118;0.016;0.128;0.071;0.141;0.164;0.013;0.221;0.092;0.074;0.875;0.793;0.999;0.956;0.875;0.793;0.999;0.919;0.874;0.015;0.021;0.264;0.272;0.832;0.328;0.095;0.039;0.013
ENST00000323180_90_90;0.898;1.0;0.908;0.198;0.042;0.124;0.018;0.16;0.099;0.147;0.198;0.014;0.218;0.077;0.08;0.77;0.846;0.891;0.849;0.77;0.846;0.891;0.979;0.932;0.016;0.023;0.272;0.295;0.726;0.368;0.079;0.043;0.015
ENST00000418153_90_90;0.977;0.908;1.0;0.185;0.039;0.116;0.017;0.149;0.092;0.137;0.184;0.013;0.221;0.072;0.075;0.857;0.77;0.979;0.937;0.857;0.77;0.979;0.889;0.846;0.015;0.021;0.254;0.273;0.814;0.328;0.074;0.04;0.014
ENST00000524497_90_90;0.164;0.198;0.185;1.0;0.199;0.0;0.085;0.756;0.468;0.0;0.998;0.067;0.0;0.309;0.381;0.185;0.2;0.174;0.182;0.185;0.2;0.174;0.187;0.194;0.081;0.112;0.591;0.055;0.138;0.0;0.409;0.211;0.073
ENST00000525438_90_90;0.039;0.042;0.039;0.199;1.0;0.0;0.425;0.263;0.043;0.0;0.2;0.338;0.0;0.325;0.523;0.044;0.048;0.039;0.04;0.044;0.048;0.039;0.042;0.044;0.388;0.537;0.126;0.0;0.0;0.0;0.372;0.988;0.35
ENST00000525676_90_90;0.118;0.124;0.116;0.0;0.0;1.0;0.0;0.0;0.0;0.233;0.0;0.0;0.492;0.0;0.0;0.133;0.144;0.116;0.121;0.133;0.144;0.116;0.125;0.131;0.0;0.0;0.0;0.0;0.139;0.09;0.0;0.0;0.0
ENST00000527782_90_90;0.016;0.018;0.017;0.085;0.425;0.0;1.0;0.112;0.0;0.0;0.085;0.794;0.0;0.138;0.222;0.019;0.02;0.016;0.017;0.019;0.02;0.016;0.018;0.019;0.912;0.791;0.045;0.0;0.0;0.0;0.158;0.42;0.824
ENST00000529734_90_90;0.128;0.16;0.149;0.756;0.263;0.0;0.112;1.0;0.618;0.0;0.758;0.089;0.0;0.385;0.503;0.158;0.172;0.139;0.145;0.158;0.172;0.139;0.149;0.156;0.108;0.15;0.486;0.0;0.11;0.0;0.44;0.283;0.098
ENST00000529782_90_90;0.071;0.099;0.092;0.468;0.043;0.0;0.0;0.618;1.0;0.0;0.469;0.0;0.0;0.24;0.327;0.094;0.102;0.082;0.086;0.094;0.102;0.082;0.088;0.093;0.0;0.0;0.301;0.0;0.087;0.0;0.279;0.05;0.0
ENST00000530587_90_90;0.141;0.147;0.137;0.0;0.0;0.233;0.0;0.0;0.0;1.0;0.0;0.0;0.291;0.0;0.0;0.159;0.173;0.14;0.146;0.159;0.173;0.14;0.15;0.157;0.0;0.0;0.0;0.0;0.167;0.337;0.0;0.0;0.0
