;ENSCAFT00000001289_90_90;ENST00000166534_90_90;ENST00000360568_90_90;ENST00000379086_90_90;ENST00000379100_90_90;ENST00000379104_90_90;ENST00000395164_90_90;ENST00000401867_90_90;ENST00000416053_90_90;ENST00000417528_90_90;ENST00000418055_90_90;ENST00000428369_90_90;ENST00000428841_90_90;ENST00000431054_90_90;ENST00000439698_90_90;ENST00000453286_90_90;ENSMUST00000019050_90_90;ENSMUST00000093107_90_90;ENSMUST00000125132_90_90;ENSMUST00000126840_90_90;ENSMUST00000129499_90_90;ENSMUST00000135653_90_90;ENSMUST00000138477_90_90;ENSMUST00000141258_90_90;ENSMUST00000151218_90_90;ENSMUST00000174616_90_90
ENSCAFT00000001289_90_90;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.094;0.094;0.203;0.132;0.273;0.13;0.115;0.0;0.123;0.094
ENST00000166534_90_90;0.0;;;;;;;;;;;;;;;;0.689;0.633;0.0;0.117;0.0;0.136;0.254;0.087;0.181;0.633
ENST00000360568_90_90;0.0;;;;;;;;;;;;;;;;0.633;0.689;0.0;0.117;0.0;0.136;0.254;0.087;0.181;0.689
ENST00000379086_90_90;0.0;;;;;;;;;;;;;;;;0.633;0.689;0.0;0.117;0.0;0.136;0.254;0.087;0.181;0.689
ENST00000379100_90_90;0.0;;;;;;;;;;;;;;;;0.633;0.689;0.0;0.117;0.0;0.136;0.254;0.087;0.181;0.689
ENST00000379104_90_90;0.0;;;;;;;;;;;;;;;;0.689;0.633;0.0;0.117;0.0;0.136;0.254;0.087;0.181;0.633
ENST00000395164_90_90;0.0;;;;;;;;;;;;;;;;0.279;0.279;0.0;0.225;0.0;0.254;0.458;0.154;0.33;0.279
ENST00000401867_90_90;0.0;;;;;;;;;;;;;;;;0.689;0.633;0.0;0.117;0.0;0.136;0.254;0.087;0.181;0.633
ENST00000416053_90_90;0.0;;;;;;;;;;;;;;;;0.098;0.098;0.0;0.271;0.0;0.263;0.204;0.285;0.238;0.098
ENST00000417528_90_90;0.0;;;;;;;;;;;;;;;;0.358;0.358;0.0;0.196;0.0;0.22;0.399;0.129;0.286;0.358
ENST00000418055_90_90;0.0;;;;;;;;;;;;;;;;0.155;0.155;0.0;0.293;0.0;0.329;0.297;0.224;0.345;0.155
ENST00000428369_90_90;0.0;;;;;;;;;;;;;;;;0.214;0.214;0.0;0.252;0.0;0.283;0.416;0.184;0.368;0.214
ENST00000428841_90_90;0.0;;;;;;;;;;;;;;;;0.047;0.047;0.0;0.113;0.0;0.108;0.084;0.438;0.098;0.047
ENST00000431054_90_90;0.0;;;;;;;;;;;;;;;;0.365;0.366;0.0;0.229;0.0;0.253;0.423;0.152;0.317;0.366
ENST00000439698_90_90;0.0;;;;;;;;;;;;;;;;0.308;0.309;0.0;0.212;0.0;0.238;0.431;0.143;0.31;0.309
ENST00000453286_90_90;0.0;;;;;;;;;;;;;;;;0.236;0.236;0.0;0.242;0.0;0.273;0.454;0.172;0.354;0.236
ENSMUST00000019050_90_90;0.094;0.689;0.633;0.633;0.633;0.689;0.279;0.689;0.098;0.358;0.155;0.214;0.047;0.365;0.308;0.236;;;;;;;;;;
ENSMUST00000093107_90_90;0.094;0.633;0.689;0.689;0.689;0.633;0.279;0.633;0.098;0.358;0.155;0.214;0.047;0.366;0.309;0.236;;;;;;;;;;
ENSMUST00000125132_90_90;0.203;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;
ENSMUST00000126840_90_90;0.132;0.117;0.117;0.117;0.117;0.117;0.225;0.117;0.271;0.196;0.293;0.252;0.113;0.229;0.212;0.242;;;;;;;;;;
ENSMUST00000129499_90_90;0.273;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;
ENSMUST00000135653_90_90;0.13;0.136;0.136;0.136;0.136;0.136;0.254;0.136;0.263;0.22;0.329;0.283;0.108;0.253;0.238;0.273;;;;;;;;;;
ENSMUST00000138477_90_90;0.115;0.254;0.254;0.254;0.254;0.254;0.458;0.254;0.204;0.399;0.297;0.416;0.084;0.423;0.431;0.454;;;;;;;;;;
ENSMUST00000141258_90_90;0.0;0.087;0.087;0.087;0.087;0.087;0.154;0.087;0.285;0.129;0.224;0.184;0.438;0.152;0.143;0.172;;;;;;;;;;
ENSMUST00000151218_90_90;0.123;0.181;0.181;0.181;0.181;0.181;0.33;0.181;0.238;0.286;0.345;0.368;0.098;0.317;0.31;0.354;;;;;;;;;;
ENSMUST00000174616_90_90;0.094;0.633;0.689;0.689;0.689;0.633;0.279;0.633;0.098;0.358;0.155;0.214;0.047;0.366;0.309;0.236;;;;;;;;;;
