;ENSCAFT00000015434_90_90;ENST00000306107_90_90;ENST00000465413_90_90;ENST00000472644_90_90;ENST00000486979_90_90;ENSMUST00000023312_90_90;ENSMUST00000164728_90_90;ENSMUST00000167115_90_90;ENSMUST00000168071_90_90;ENSMUST00000170035_90_90
ENSCAFT00000015434_90_90;1.0;0.999;0.588;0.977;0.913;0.999;0.951;0.588;0.225;0.977
ENST00000306107_90_90;0.999;1.0;0.588;0.978;0.913;0.998;0.951;0.588;0.224;0.976
ENST00000465413_90_90;0.588;0.588;1.0;0.566;0.644;0.588;0.541;0.999;0.0;0.566
ENST00000472644_90_90;0.977;0.978;0.566;1.0;0.89;0.976;0.929;0.566;0.229;0.998
ENST00000486979_90_90;0.913;0.913;0.644;0.89;1.0;0.911;0.864;0.644;0.137;0.889
ENSMUST00000023312_90_90;0.999;0.998;0.588;0.976;0.911;1.0;0.951;0.587;0.225;0.978
ENSMUST00000164728_90_90;0.951;0.951;0.541;0.929;0.864;0.951;1.0;0.538;0.236;0.929
ENSMUST00000167115_90_90;0.588;0.588;0.999;0.566;0.644;0.587;0.538;1.0;0.0;0.564
ENSMUST00000168071_90_90;0.225;0.224;0.0;0.229;0.137;0.225;0.236;0.0;1.0;0.23
ENSMUST00000170035_90_90;0.977;0.976;0.566;0.998;0.889;0.978;0.929;0.564;0.23;1.0
