;ENSCAFT00000004512_90_90;ENST00000344157_90_90;ENST00000355665_90_90;ENST00000505251_90_90;ENST00000507529_90_90;ENST00000510746_90_90;ENST00000579690_90_90;ENSMUST00000038384_90_90;ENSMUST00000119339_90_90;ENSMUST00000120498_90_90;ENSMUST00000156363_90_90
ENSCAFT00000004512_90_90;1.0;0.975;0.95;0.051;0.105;0.017;0.976;0.581;0.566;0.586;0.722
ENST00000344157_90_90;0.975;1.0;0.975;0.051;0.103;0.017;0.989;0.577;0.562;0.582;0.718
ENST00000355665_90_90;0.95;0.975;1.0;0.053;0.106;0.018;0.965;0.557;0.573;0.562;0.736
ENST00000505251_90_90;0.051;0.051;0.053;1.0;0.0;0.339;0.051;0.051;0.053;0.051;0.069
ENST00000507529_90_90;0.105;0.103;0.106;0.0;1.0;0.0;0.102;0.0;0.0;0.0;0.0
ENST00000510746_90_90;0.017;0.017;0.018;0.339;0.0;1.0;0.017;0.017;0.018;0.017;0.023
ENST00000579690_90_90;0.976;0.989;0.965;0.051;0.102;0.017;1.0;0.574;0.56;0.579;0.714
ENSMUST00000038384_90_90;0.581;0.577;0.557;0.051;0.0;0.017;0.574;1.0;0.965;0.989;0.676
ENSMUST00000119339_90_90;0.566;0.562;0.573;0.053;0.0;0.018;0.56;0.965;1.0;0.975;0.7
ENSMUST00000120498_90_90;0.586;0.582;0.562;0.051;0.0;0.017;0.579;0.989;0.975;1.0;0.683
ENSMUST00000156363_90_90;0.722;0.718;0.736;0.069;0.0;0.023;0.714;0.676;0.7;0.683;1.0
