;ENSCAFT00000022682_90_90;ENST00000389384_90_90;ENST00000454077_90_90;ENST00000587097_90_90;ENST00000589805_90_90;ENST00000590169_90_90;ENST00000590537_90_90;ENST00000591295_90_90;ENSMUST00000073234_90_90;ENSMUST00000107132_90_90;ENSMUST00000107134_90_90;ENSMUST00000137387_90_90;ENSMUST00000141516_90_90
ENSCAFT00000022682_90_90;1.0;0.901;0.938;0.813;0.298;0.345;0.135;0.495;0.907;0.941;0.907;0.902;0.751
ENST00000389384_90_90;0.901;1.0;0.927;0.909;0.308;0.355;0.14;0.473;0.961;0.889;0.961;0.85;0.709
ENST00000454077_90_90;0.938;0.927;1.0;0.841;0.291;0.333;0.134;0.444;0.889;0.966;0.889;0.927;0.652
ENST00000587097_90_90;0.813;0.909;0.841;1.0;0.342;0.393;0.157;0.387;0.866;0.8;0.866;0.762;0.617
ENST00000589805_90_90;0.298;0.308;0.291;0.342;1.0;0.849;0.0;0.0;0.317;0.297;0.317;0.258;0.081
ENST00000590169_90_90;0.345;0.355;0.333;0.393;0.849;1.0;0.0;0.0;0.366;0.342;0.366;0.302;0.13
ENST00000590537_90_90;0.135;0.14;0.134;0.157;0.0;0.0;1.0;0.252;0.143;0.136;0.143;0.139;0.186
ENST00000591295_90_90;0.495;0.473;0.444;0.387;0.0;0.0;0.252;1.0;0.528;0.487;0.528;0.506;0.666
ENSMUST00000073234_90_90;0.907;0.961;0.889;0.866;0.317;0.366;0.143;0.528;1.0;0.927;1.0;0.891;0.726
ENSMUST00000107132_90_90;0.941;0.889;0.966;0.8;0.297;0.342;0.136;0.487;0.927;1.0;0.927;0.964;0.672
ENSMUST00000107134_90_90;0.907;0.961;0.889;0.866;0.317;0.366;0.143;0.528;1.0;0.927;1.0;0.891;0.726
ENSMUST00000137387_90_90;0.902;0.85;0.927;0.762;0.258;0.302;0.139;0.506;0.891;0.964;0.891;1.0;0.698
ENSMUST00000141516_90_90;0.751;0.709;0.652;0.617;0.081;0.13;0.186;0.666;0.726;0.672;0.726;0.698;1.0
