;ENSCAFT00000005773_90_90;ENST00000391851_90_90;ENST00000454376_90_90;ENST00000524771_90_90;ENST00000526224_90_90;ENST00000527382_90_90;ENST00000528623_90_90;ENST00000529284_90_90;ENST00000529836_90_90;ENST00000532489_90_90;ENST00000534280_90_90;ENST00000534465_90_90;ENST00000610806_90_90;ENSMUST00000045325_90_90;ENSMUST00000107843_90_90;ENSMUST00000207370_90_90;ENSMUST00000207522_90_90;ENSMUST00000207659_90_90;ENSMUST00000208312_90_90;ENSMUST00000208778_90_90;ENSMUST00000208829_90_90;ENSMUST00000208938_90_90;ENSMUST00000209056_90_90;ENSMUST00000209124_90_90
ENSCAFT00000005773_90_90;1.0;0.948;0.996;0.599;0.433;0.553;0.152;0.431;0.278;0.876;0.083;0.558;0.765;0.857;0.997;0.949;0.084;0.682;0.583;0.519;0.329;0.305;0.407;0.561
ENST00000391851_90_90;0.948;1.0;0.951;0.534;0.455;0.582;0.16;0.453;0.29;0.921;0.03;0.586;0.807;0.9;0.948;0.996;0.03;0.716;0.612;0.546;0.345;0.32;0.427;0.59
ENST00000454376_90_90;0.996;0.951;1.0;0.581;0.433;0.553;0.152;0.431;0.276;0.876;0.076;0.558;0.768;0.856;0.996;0.948;0.075;0.681;0.582;0.52;0.328;0.305;0.407;0.561
ENST00000524771_90_90;0.599;0.534;0.581;1.0;0.676;0.697;0.235;0.673;0.427;0.478;0.096;0.693;0.452;0.459;0.599;0.551;0.101;0.381;0.58;0.227;0.022;0.506;0.674;0.177
ENST00000526224_90_90;0.433;0.455;0.433;0.676;1.0;0.782;0.226;0.996;0.482;0.494;0.0;0.776;0.453;0.42;0.434;0.456;0.0;0.358;0.584;0.244;0.0;0.662;0.771;0.134
ENST00000527382_90_90;0.553;0.582;0.553;0.697;0.782;1.0;0.182;0.779;0.387;0.632;0.0;0.992;0.396;0.553;0.555;0.583;0.0;0.312;0.492;0.336;0.0;0.521;0.615;0.272
ENST00000528623_90_90;0.152;0.16;0.152;0.235;0.226;0.182;1.0;0.227;0.576;0.119;0.0;0.18;0.197;0.062;0.149;0.157;0.0;0.217;0.252;0.0;0.0;0.346;0.355;0.0
ENST00000529284_90_90;0.431;0.453;0.431;0.673;0.996;0.779;0.227;1.0;0.484;0.492;0.0;0.773;0.454;0.418;0.432;0.455;0.0;0.359;0.586;0.242;0.0;0.665;0.774;0.132
ENST00000529836_90_90;0.278;0.29;0.276;0.427;0.482;0.387;0.576;0.484;1.0;0.254;0.0;0.384;0.357;0.192;0.273;0.287;0.0;0.396;0.461;0.0;0.0;0.702;0.619;0.0
ENST00000532489_90_90;0.876;0.921;0.876;0.478;0.494;0.632;0.119;0.492;0.254;1.0;0.0;0.637;0.728;0.908;0.878;0.923;0.0;0.642;0.538;0.593;0.326;0.331;0.399;0.64
ENST00000534280_90_90;0.083;0.03;0.076;0.096;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.037;0.032;0.075;0.03;0.994;0.04;0.045;0.0;0.071;0.0;0.0;0.0
ENST00000534465_90_90;0.558;0.586;0.558;0.693;0.776;0.992;0.18;0.773;0.384;0.637;0.0;1.0;0.394;0.558;0.559;0.588;0.0;0.311;0.489;0.341;0.0;0.517;0.611;0.277
ENST00000610806_90_90;0.765;0.807;0.768;0.452;0.453;0.396;0.197;0.454;0.357;0.728;0.037;0.394;1.0;0.707;0.765;0.804;0.036;0.887;0.758;0.409;0.427;0.315;0.529;0.397
ENSMUST00000045325_90_90;0.857;0.9;0.856;0.459;0.42;0.553;0.062;0.418;0.192;0.908;0.032;0.558;0.707;1.0;0.857;0.901;0.033;0.62;0.517;0.606;0.384;0.264;0.331;0.654
ENSMUST00000107843_90_90;0.997;0.948;0.996;0.599;0.434;0.555;0.149;0.432;0.273;0.878;0.075;0.559;0.765;0.857;1.0;0.951;0.076;0.685;0.586;0.519;0.329;0.305;0.409;0.561
ENSMUST00000207370_90_90;0.949;0.996;0.948;0.551;0.456;0.583;0.157;0.455;0.287;0.923;0.03;0.588;0.804;0.901;0.951;1.0;0.03;0.72;0.616;0.546;0.346;0.32;0.43;0.589
ENSMUST00000207522_90_90;0.084;0.03;0.075;0.101;0.0;0.0;0.0;0.0;0.0;0.0;0.994;0.0;0.036;0.033;0.076;0.03;1.0;0.04;0.046;0.0;0.073;0.0;0.0;0.0
ENSMUST00000207659_90_90;0.682;0.716;0.681;0.381;0.358;0.312;0.217;0.359;0.396;0.642;0.04;0.311;0.887;0.62;0.685;0.72;0.04;1.0;0.654;0.318;0.48;0.351;0.429;0.339
ENSMUST00000208312_90_90;0.583;0.612;0.582;0.58;0.584;0.492;0.252;0.586;0.461;0.538;0.045;0.489;0.758;0.517;0.586;0.616;0.046;0.654;1.0;0.314;0.191;0.406;0.697;0.205
ENSMUST00000208778_90_90;0.519;0.546;0.52;0.227;0.244;0.336;0.0;0.242;0.0;0.593;0.0;0.341;0.409;0.606;0.519;0.546;0.0;0.318;0.314;1.0;0.358;0.061;0.16;0.715
ENSMUST00000208829_90_90;0.329;0.345;0.328;0.022;0.0;0.0;0.0;0.0;0.0;0.326;0.071;0.0;0.427;0.384;0.329;0.346;0.073;0.48;0.191;0.358;1.0;0.0;0.0;0.5
ENSMUST00000208938_90_90;0.305;0.32;0.305;0.506;0.662;0.521;0.346;0.665;0.702;0.331;0.0;0.517;0.315;0.264;0.305;0.32;0.0;0.351;0.406;0.061;0.0;1.0;0.533;0.058
ENSMUST00000209056_90_90;0.407;0.427;0.407;0.674;0.771;0.615;0.355;0.774;0.619;0.399;0.0;0.611;0.529;0.331;0.409;0.43;0.0;0.429;0.697;0.16;0.0;0.533;1.0;0.065
ENSMUST00000209124_90_90;0.561;0.59;0.561;0.177;0.134;0.272;0.0;0.132;0.0;0.64;0.0;0.277;0.397;0.654;0.561;0.589;0.0;0.339;0.205;0.715;0.5;0.058;0.065;1.0
