;ENSCAFT00000027396_90_90;ENST00000308664_90_90;ENST00000377685_90_90;ENST00000539276_90_90;ENST00000548169_90_90;ENST00000552636_90_90;ENST00000553144_90_90;ENSMUST00000031423_90_90;ENSMUST00000177974_90_90;ENSMUST00000179939_90_90
ENSCAFT00000027396_90_90;1.0;0.923;0.231;0.846;0.462;0.077;0.154;0.923;1.0;0.923
ENST00000308664_90_90;0.923;1.0;0.2;0.8;0.4;0.077;0.143;0.733;0.923;0.733
ENST00000377685_90_90;0.231;0.2;1.0;0.188;0.0;0.0;0.0;0.214;0.231;0.214
ENST00000539276_90_90;0.846;0.8;0.188;1.0;0.571;0.071;0.133;0.929;0.733;0.929
ENST00000548169_90_90;0.462;0.4;0.0;0.571;1.0;0.125;0.222;0.571;0.4;0.571
ENST00000552636_90_90;0.077;0.077;0.0;0.071;0.125;1.0;0.0;0.071;0.077;0.071
ENST00000553144_90_90;0.154;0.143;0.0;0.133;0.222;0.0;1.0;0.143;0.154;0.143
ENSMUST00000031423_90_90;0.923;0.733;0.214;0.929;0.571;0.071;0.143;1.0;0.765;1.0
ENSMUST00000177974_90_90;1.0;0.923;0.231;0.733;0.4;0.077;0.154;0.765;1.0;0.765
ENSMUST00000179939_90_90;0.923;0.733;0.214;0.929;0.571;0.071;0.143;1.0;0.765;1.0
