;ENSCAFT00000032340_90_90;ENST00000342203_90_90;ENST00000422026_90_90;ENST00000437941_90_90;ENST00000476905_90_90;ENST00000481102_90_90;ENST00000603677_90_90;ENST00000605755_90_90;ENSMUST00000039021_90_90;ENSMUST00000106149_90_90;ENSMUST00000106151_90_90;ENSMUST00000106153_90_90;ENSMUST00000129978_90_90;ENSMUST00000149262_90_90
ENSCAFT00000032340_90_90;1.0;0.865;0.366;0.764;0.614;0.79;0.12;0.764;0.914;0.914;0.914;0.943;0.266;0.162
ENST00000342203_90_90;0.865;1.0;0.312;0.89;0.686;0.867;0.087;0.89;0.846;0.846;0.846;0.872;0.257;0.154
ENST00000422026_90_90;0.366;0.312;1.0;0.207;0.339;0.336;0.0;0.207;0.352;0.352;0.352;0.341;0.731;0.409
ENST00000437941_90_90;0.764;0.89;0.207;1.0;0.631;0.762;0.094;1.0;0.75;0.75;0.75;0.775;0.146;0.044
ENST00000476905_90_90;0.614;0.686;0.339;0.631;1.0;0.738;0.0;0.631;0.601;0.601;0.601;0.626;0.271;0.147
ENST00000481102_90_90;0.79;0.867;0.336;0.762;0.738;1.0;0.094;0.762;0.773;0.773;0.773;0.798;0.276;0.165
ENST00000603677_90_90;0.12;0.087;0.0;0.094;0.0;0.094;1.0;0.094;0.116;0.116;0.116;0.113;0.0;0.0
ENST00000605755_90_90;0.764;0.89;0.207;1.0;0.631;0.762;0.094;1.0;0.75;0.75;0.75;0.775;0.146;0.044
ENSMUST00000039021_90_90;0.914;0.846;0.352;0.75;0.601;0.773;0.116;0.75;1.0;1.0;1.0;0.971;0.257;0.154
ENSMUST00000106149_90_90;0.914;0.846;0.352;0.75;0.601;0.773;0.116;0.75;1.0;1.0;1.0;0.971;0.257;0.154
ENSMUST00000106151_90_90;0.914;0.846;0.352;0.75;0.601;0.773;0.116;0.75;1.0;1.0;1.0;0.971;0.257;0.154
ENSMUST00000106153_90_90;0.943;0.872;0.341;0.775;0.626;0.798;0.113;0.775;0.971;0.971;0.971;1.0;0.248;0.147
ENSMUST00000129978_90_90;0.266;0.257;0.731;0.146;0.271;0.276;0.0;0.146;0.257;0.257;0.257;0.248;1.0;0.566
ENSMUST00000149262_90_90;0.162;0.154;0.409;0.044;0.147;0.165;0.0;0.044;0.154;0.154;0.154;0.147;0.566;1.0
