;ENSCAFT00000013561_90_90;ENSCAFT00000013564_90_90;ENST00000233330_90_90;ENST00000272430_90_90;ENST00000305557_90_90;ENST00000640304_90_90;ENSMUST00000065512_90_90;ENSMUST00000087938_90_90;ENSMUST00000121093_90_90;ENSMUST00000129316_90_90;ENSMUST00000130622_90_90;ENSMUST00000135490_90_90;ENSMUST00000213056_90_90
ENSCAFT00000013561_90_90;1.0;0.567;0.762;0.851;0.806;0.038;0.887;0.782;0.782;0.111;0.265;0.323;0.038
ENSCAFT00000013564_90_90;0.567;1.0;0.61;0.599;0.606;0.176;0.582;0.589;0.589;0.141;0.274;0.407;0.176
ENST00000233330_90_90;0.762;0.61;1.0;0.819;0.83;0.051;0.788;0.799;0.799;0.143;0.211;0.415;0.051
ENST00000272430_90_90;0.851;0.599;0.819;1.0;0.794;0.043;0.958;0.769;0.769;0.118;0.237;0.344;0.043
ENST00000305557_90_90;0.806;0.606;0.83;0.794;1.0;0.043;0.769;0.882;0.882;0.12;0.288;0.349;0.043
ENST00000640304_90_90;0.038;0.176;0.051;0.043;0.043;1.0;0.04;0.04;0.04;0.0;0.0;0.0;0.827
ENSMUST00000065512_90_90;0.887;0.582;0.788;0.958;0.769;0.04;1.0;0.805;0.805;0.114;0.23;0.332;0.04
ENSMUST00000087938_90_90;0.782;0.589;0.799;0.769;0.882;0.04;0.805;1.0;1.0;0.116;0.233;0.337;0.04
ENSMUST00000121093_90_90;0.782;0.589;0.799;0.769;0.882;0.04;0.805;1.0;1.0;0.116;0.233;0.337;0.04
ENSMUST00000129316_90_90;0.111;0.141;0.143;0.118;0.12;0.0;0.114;0.116;0.116;1.0;0.273;0.343;0.0
ENSMUST00000130622_90_90;0.265;0.274;0.211;0.237;0.288;0.0;0.23;0.233;0.233;0.273;1.0;0.388;0.0
ENSMUST00000135490_90_90;0.323;0.407;0.415;0.344;0.349;0.0;0.332;0.337;0.337;0.343;0.388;1.0;0.0
ENSMUST00000213056_90_90;0.038;0.176;0.051;0.043;0.043;0.827;0.04;0.04;0.04;0.0;0.0;0.0;1.0
