;ENSCAFT00000000309_90_90;ENSCAFT00000019817_90_90;ENSCAFT00000022132_90_90;ENST00000257414_90_90;ENST00000343348_90_90;ENST00000503865_90_90;ENST00000509665_90_90;ENST00000510263_90_90;ENST00000513137_90_90;ENST00000515009_90_90;ENST00000515129_90_90;ENST00000316364_90_90;ENST00000354744_90_90;ENST00000355997_90_90;ENST00000358066_90_90;ENST00000389425_90_90;ENST00000389428_90_90;ENST00000536845_90_90;ENST00000558014_90_90;ENST00000558816_90_90;ENST00000559064_90_90;ENST00000559184_90_90;ENST00000559196_90_90;ENST00000560006_90_90;ENST00000560636_90_90;ENST00000561133_90_90;ENST00000341697_90_90;ENST00000368912_90_90;ENST00000368913_90_90;ENST00000368914_90_90;ENST00000613223_90_90;ENST00000621728_90_90;ENSMUST00000019791_90_90;ENSMUST00000076043_90_90;ENSMUST00000115449_90_90;ENSMUST00000123228_90_90;ENSMUST00000126684_90_90;ENSMUST00000135790_90_90;ENSMUST00000156422_90_90;ENSMUST00000051419_90_90;ENSMUST00000076335_90_90;ENSMUST00000077847_90_90;ENSMUST00000078621_90_90;ENSMUST00000103238_90_90;ENSMUST00000103239_90_90;ENSMUST00000103240_90_90;ENSMUST00000103241_90_90;ENSMUST00000090821_90_90;ENSMUST00000090823_90_90;ENSMUST00000107217_90_90;ENSMUST00000131620_90_90;ENSMUST00000131742_90_90;ENSMUST00000142449_90_90;ENSMUST00000168321_90_90;ENSMUST00000202315_90_90;ENSMUST00000204709_90_90
ENSCAFT00000000309_90_90;1.0;0.787;0.849;0.998;0.998;0.427;0.067;0.998;0.517;0.091;0.583;0.696;0.611;0.464;0.633;0.349;0.599;0.696;0.633;0.464;0.065;0.04;0.29;0.247;0.0;0.209;0.724;0.635;0.719;0.724;0.555;0.56;1.0;0.905;0.954;0.157;0.121;1.0;1.0;0.691;0.671;0.749;0.719;0.749;0.777;0.772;0.671;0.75;0.743;0.659;0.131;0.052;0.205;0.743;0.75;0.205
ENSCAFT00000019817_90_90;0.787;1.0;0.65;0.785;0.785;0.454;0.0;0.785;0.56;0.0;0.591;0.78;0.702;0.32;0.731;0.226;0.697;0.78;0.731;0.32;0.062;0.0;0.176;0.213;0.0;0.125;0.97;0.928;1.0;0.97;0.516;0.516;0.785;0.679;0.75;0.167;0.0;0.785;0.785;0.783;0.766;0.84;0.806;0.84;0.863;0.857;0.766;0.966;0.996;0.924;0.096;0.036;0.14;0.996;0.966;0.14
ENSCAFT00000022132_90_90;0.849;0.65;1.0;0.754;0.741;0.126;0.062;0.741;0.237;0.087;0.301;0.648;0.655;0.686;0.649;0.54;0.621;0.648;0.649;0.686;0.105;0.042;0.3;0.09;0.0;0.216;0.617;0.49;0.615;0.617;0.669;0.669;0.827;0.707;0.778;0.215;0.163;0.842;0.827;0.713;0.706;0.697;0.71;0.697;0.694;0.694;0.706;0.611;0.607;0.486;0.216;0.085;0.34;0.607;0.611;0.34
ENST00000257414_90_90;0.998;0.785;0.754;1.0;0.988;0.415;0.066;0.988;0.512;0.089;0.576;0.647;0.567;0.44;0.6;0.339;0.567;0.647;0.6;0.44;0.06;0.038;0.287;0.236;0.0;0.207;0.723;0.635;0.718;0.723;0.555;0.56;0.984;0.896;0.935;0.152;0.119;0.998;0.984;0.66;0.641;0.716;0.688;0.716;0.743;0.739;0.641;0.75;0.742;0.658;0.131;0.052;0.205;0.742;0.75;0.205
ENST00000343348_90_90;0.998;0.785;0.741;0.988;1.0;0.42;0.067;1.0;0.518;0.091;0.583;0.635;0.554;0.426;0.587;0.325;0.554;0.635;0.587;0.426;0.06;0.04;0.292;0.24;0.0;0.21;0.723;0.635;0.718;0.723;0.555;0.56;0.998;0.907;0.947;0.154;0.121;0.984;0.998;0.649;0.63;0.704;0.675;0.704;0.731;0.726;0.63;0.75;0.742;0.658;0.131;0.052;0.205;0.742;0.75;0.205
ENST00000503865_90_90;0.427;0.454;0.126;0.415;0.42;1.0;0.0;0.42;0.801;0.0;0.716;0.306;0.219;0.039;0.196;0.0;0.203;0.306;0.196;0.039;0.043;0.0;0.0;0.465;0.0;0.0;0.46;0.504;0.454;0.46;0.258;0.263;0.427;0.472;0.446;0.004;0.0;0.422;0.427;0.333;0.313;0.393;0.362;0.393;0.422;0.417;0.313;0.46;0.454;0.504;0.0;0.0;0.0;0.454;0.46;0.0
ENST00000509665_90_90;0.067;0.0;0.062;0.066;0.067;0.0;1.0;0.067;0.0;0.773;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.067;0.072;0.069;0.0;0.621;0.066;0.067;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000510263_90_90;0.998;0.785;0.741;0.988;1.0;0.42;0.067;1.0;0.518;0.091;0.583;0.635;0.554;0.426;0.587;0.325;0.554;0.635;0.587;0.426;0.06;0.04;0.292;0.24;0.0;0.21;0.723;0.635;0.718;0.723;0.555;0.56;0.998;0.907;0.947;0.154;0.121;0.984;0.998;0.649;0.63;0.704;0.675;0.704;0.731;0.726;0.63;0.75;0.742;0.658;0.131;0.052;0.205;0.742;0.75;0.205
ENST00000513137_90_90;0.517;0.56;0.237;0.512;0.518;0.801;0.0;0.518;1.0;0.0;0.629;0.364;0.28;0.12;0.309;0.0;0.276;0.364;0.309;0.12;0.109;0.0;0.0;0.452;0.0;0.0;0.568;0.472;0.56;0.568;0.372;0.378;0.516;0.425;0.545;0.151;0.0;0.509;0.516;0.421;0.401;0.481;0.45;0.481;0.51;0.505;0.401;0.568;0.56;0.472;0.0;0.0;0.0;0.56;0.568;0.0
ENST00000515009_90_90;0.091;0.0;0.087;0.089;0.091;0.0;0.773;0.091;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.091;0.098;0.094;0.0;0.797;0.089;0.091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000515129_90_90;0.583;0.591;0.301;0.576;0.583;0.716;0.0;0.583;0.629;0.0;1.0;0.481;0.392;0.238;0.375;0.225;0.39;0.481;0.375;0.238;0.017;0.0;0.176;0.31;0.0;0.067;0.599;0.656;0.591;0.599;0.412;0.417;0.583;0.648;0.534;0.09;0.0;0.576;0.583;0.492;0.471;0.551;0.52;0.551;0.58;0.575;0.471;0.578;0.57;0.631;0.021;0.0;0.113;0.57;0.578;0.113
ENST00000316364_90_90;0.696;0.78;0.648;0.647;0.635;0.306;0.0;0.635;0.364;0.0;0.481;1.0;0.932;0.565;0.885;0.414;0.904;1.0;0.885;0.565;0.055;0.032;0.212;0.201;0.0;0.149;0.74;0.759;0.776;0.74;0.343;0.348;0.675;0.625;0.626;0.162;0.0;0.689;0.675;0.853;0.857;0.924;0.845;0.924;0.916;0.913;0.857;0.726;0.76;0.743;0.127;0.051;0.203;0.76;0.726;0.203
ENST00000354744_90_90;0.611;0.702;0.655;0.567;0.554;0.219;0.0;0.554;0.28;0.0;0.392;0.932;1.0;0.581;0.949;0.445;0.97;0.932;0.949;0.581;0.059;0.034;0.228;0.134;0.0;0.16;0.663;0.678;0.698;0.663;0.318;0.307;0.592;0.538;0.543;0.18;0.0;0.606;0.592;0.916;0.922;0.856;0.908;0.856;0.849;0.852;0.922;0.651;0.684;0.664;0.14;0.056;0.225;0.684;0.651;0.225
ENST00000355997_90_90;0.464;0.32;0.686;0.44;0.426;0.039;0.0;0.426;0.12;0.0;0.238;0.565;0.581;1.0;0.585;0.734;0.599;0.565;0.585;1.0;0.046;0.055;0.376;0.08;0.0;0.263;0.328;0.281;0.316;0.328;0.551;0.545;0.451;0.394;0.4;0.273;0.0;0.467;0.451;0.478;0.481;0.463;0.474;0.463;0.459;0.461;0.481;0.321;0.31;0.275;0.292;0.116;0.468;0.31;0.321;0.468
ENST00000358066_90_90;0.633;0.731;0.649;0.6;0.587;0.196;0.0;0.587;0.309;0.0;0.375;0.885;0.949;0.585;1.0;0.448;0.977;0.885;1.0;0.585;0.052;0.034;0.23;0.123;0.0;0.161;0.693;0.647;0.728;0.693;0.349;0.338;0.613;0.511;0.565;0.22;0.0;0.627;0.613;0.923;0.929;0.863;0.915;0.863;0.855;0.859;0.929;0.679;0.713;0.635;0.135;0.054;0.216;0.713;0.679;0.216
ENST00000389425_90_90;0.349;0.226;0.54;0.339;0.325;0.0;0.0;0.325;0.0;0.0;0.225;0.414;0.445;0.734;0.448;1.0;0.458;0.414;0.448;0.734;0.0;0.076;0.512;0.0;0.0;0.359;0.231;0.245;0.223;0.231;0.42;0.415;0.344;0.397;0.278;0.15;0.0;0.359;0.344;0.393;0.395;0.367;0.389;0.367;0.363;0.365;0.395;0.227;0.219;0.24;0.394;0.159;0.631;0.219;0.227;0.631
ENST00000389428_90_90;0.599;0.697;0.621;0.567;0.554;0.203;0.0;0.554;0.276;0.0;0.39;0.904;0.97;0.599;0.977;0.458;1.0;0.904;0.977;0.599;0.03;0.035;0.235;0.107;0.0;0.165;0.659;0.673;0.693;0.659;0.312;0.302;0.581;0.532;0.532;0.178;0.0;0.594;0.581;0.904;0.91;0.845;0.896;0.845;0.838;0.841;0.91;0.646;0.68;0.659;0.141;0.057;0.226;0.68;0.646;0.226
ENST00000536845_90_90;0.696;0.78;0.648;0.647;0.635;0.306;0.0;0.635;0.364;0.0;0.481;1.0;0.932;0.565;0.885;0.414;0.904;1.0;0.885;0.565;0.055;0.032;0.212;0.201;0.0;0.149;0.74;0.759;0.776;0.74;0.343;0.348;0.675;0.625;0.626;0.162;0.0;0.689;0.675;0.853;0.857;0.924;0.845;0.924;0.916;0.913;0.857;0.726;0.76;0.743;0.127;0.051;0.203;0.76;0.726;0.203
ENST00000558014_90_90;0.633;0.731;0.649;0.6;0.587;0.196;0.0;0.587;0.309;0.0;0.375;0.885;0.949;0.585;1.0;0.448;0.977;0.885;1.0;0.585;0.052;0.034;0.23;0.123;0.0;0.161;0.693;0.647;0.728;0.693;0.349;0.338;0.613;0.511;0.565;0.22;0.0;0.627;0.613;0.923;0.929;0.863;0.915;0.863;0.855;0.859;0.929;0.679;0.713;0.635;0.135;0.054;0.216;0.713;0.679;0.216
ENST00000558816_90_90;0.464;0.32;0.686;0.44;0.426;0.039;0.0;0.426;0.12;0.0;0.238;0.565;0.581;1.0;0.585;0.734;0.599;0.565;0.585;1.0;0.046;0.055;0.376;0.08;0.0;0.263;0.328;0.281;0.316;0.328;0.551;0.545;0.451;0.394;0.4;0.273;0.0;0.467;0.451;0.478;0.481;0.463;0.474;0.463;0.459;0.461;0.481;0.321;0.31;0.275;0.292;0.116;0.468;0.31;0.321;0.468
ENST00000559064_90_90;0.065;0.062;0.105;0.06;0.06;0.043;0.0;0.06;0.109;0.0;0.017;0.055;0.059;0.046;0.052;0.0;0.03;0.055;0.052;0.046;1.0;0.0;0.0;0.313;0.0;0.0;0.064;0.017;0.061;0.064;0.12;0.118;0.065;0.013;0.07;0.236;0.0;0.064;0.065;0.048;0.048;0.045;0.048;0.045;0.044;0.044;0.048;0.064;0.061;0.017;0.0;0.0;0.0;0.061;0.064;0.0
