;ENSCAFT00000014154_90_90;ENST00000426335_90_90;ENST00000524586_90_90;ENST00000524782_90_90;ENST00000525314_90_90;ENST00000525398_90_90;ENST00000526342_90_90;ENST00000527776_90_90;ENST00000527927_90_90;ENST00000528041_90_90;ENST00000528444_90_90;ENST00000528708_90_90;ENST00000529439_90_90;ENST00000529455_90_90;ENST00000530596_90_90;ENST00000532438_90_90;ENST00000532478_90_90;ENST00000533243_90_90;ENST00000627920_90_90;ENST00000629231_90_90;ENSMUST00000028691_90_90;ENSMUST00000080008_90_90
ENSCAFT00000014154_90_90;;0.711;0.138;0.789;0.432;0.524;0.193;0.305;0.397;0.149;0.367;0.0;0.0;0.199;0.277;0.129;0.227;0.1;0.54;0.1;0.891;0.901
ENST00000426335_90_90;0.711;;;;;;;;;;;;;;;;;;;;0.675;0.699
ENST00000524586_90_90;0.138;;;;;;;;;;;;;;;;;;;;0.105;0.109
ENST00000524782_90_90;0.789;;;;;;;;;;;;;;;;;;;;0.752;0.779
ENST00000525314_90_90;0.432;;;;;;;;;;;;;;;;;;;;0.44;0.404
ENST00000525398_90_90;0.524;;;;;;;;;;;;;;;;;;;;0.495;0.514
ENST00000526342_90_90;0.193;;;;;;;;;;;;;;;;;;;;0.157;0.162
ENST00000527776_90_90;0.305;;;;;;;;;;;;;;;;;;;;0.299;0.31
ENST00000527927_90_90;0.397;;;;;;;;;;;;;;;;;;;;0.353;0.365
ENST00000528041_90_90;0.149;;;;;;;;;;;;;;;;;;;;0.114;0.118
ENST00000528444_90_90;0.367;;;;;;;;;;;;;;;;;;;;0.343;0.356
ENST00000528708_90_90;0.0;;;;;;;;;;;;;;;;;;;;0.0;0.0
ENST00000529439_90_90;0.0;;;;;;;;;;;;;;;;;;;;0.0;0.0
ENST00000529455_90_90;0.199;;;;;;;;;;;;;;;;;;;;0.162;0.168
ENST00000530596_90_90;0.277;;;;;;;;;;;;;;;;;;;;0.238;0.247
ENST00000532438_90_90;0.129;;;;;;;;;;;;;;;;;;;;0.095;0.098
ENST00000532478_90_90;0.227;;;;;;;;;;;;;;;;;;;;0.204;0.213
ENST00000533243_90_90;0.1;;;;;;;;;;;;;;;;;;;;0.067;0.07
ENST00000627920_90_90;0.54;;;;;;;;;;;;;;;;;;;;0.49;0.508
ENST00000629231_90_90;0.1;;;;;;;;;;;;;;;;;;;;0.067;0.07
ENSMUST00000028691_90_90;0.891;0.675;0.105;0.752;0.44;0.495;0.157;0.299;0.353;0.114;0.343;0.0;0.0;0.162;0.238;0.095;0.204;0.067;0.49;0.067;;
ENSMUST00000080008_90_90;0.901;0.699;0.109;0.779;0.404;0.514;0.162;0.31;0.365;0.118;0.356;0.0;0.0;0.168;0.247;0.098;0.213;0.07;0.508;0.07;;
