;ENSCAFT00000036803_90_90;ENST00000260648_90_90;ENST00000378511_90_90;ENST00000378520_90_90;ENST00000409272_90_90;ENST00000409411_90_90;ENST00000409936_90_90;ENST00000409957_90_90;ENST00000410081_90_90;ENST00000420756_90_90;ENST00000425263_90_90;ENST00000426481_90_90;ENST00000438314_90_90;ENST00000444696_90_90;ENST00000541738_90_90;ENSMUST00000072406_90_90;ENSMUST00000171795_90_90
ENSCAFT00000036803_90_90;1.0;0.999;0.914;0.908;0.999;0.878;0.999;0.878;0.999;0.104;0.999;0.999;0.207;0.094;0.878;0.878;0.996
ENST00000260648_90_90;0.999;1.0;0.915;0.909;1.0;0.878;1.0;0.878;1.0;0.104;1.0;1.0;0.208;0.094;0.878;0.878;0.997
ENST00000378511_90_90;0.914;0.915;1.0;0.824;0.915;0.792;0.915;0.792;0.915;0.113;0.915;0.915;0.227;0.102;0.792;0.792;0.912
ENST00000378520_90_90;0.908;0.909;0.824;1.0;0.909;0.787;0.909;0.787;0.909;0.114;0.909;0.909;0.228;0.103;0.787;0.787;0.906
ENST00000409272_90_90;0.999;1.0;0.915;0.909;1.0;0.878;1.0;0.878;1.0;0.104;1.0;1.0;0.208;0.094;0.878;0.878;0.997
ENST00000409411_90_90;0.878;0.878;0.792;0.787;0.878;1.0;0.878;1.0;0.878;0.118;0.878;0.878;0.085;0.107;1.0;1.0;0.88
ENST00000409936_90_90;0.999;1.0;0.915;0.909;1.0;0.878;1.0;0.878;1.0;0.104;1.0;1.0;0.208;0.094;0.878;0.878;0.997
ENST00000409957_90_90;0.878;0.878;0.792;0.787;0.878;1.0;0.878;1.0;0.878;0.118;0.878;0.878;0.085;0.107;1.0;1.0;0.88
ENST00000410081_90_90;0.999;1.0;0.915;0.909;1.0;0.878;1.0;0.878;1.0;0.104;1.0;1.0;0.208;0.094;0.878;0.878;0.997
ENST00000420756_90_90;0.104;0.104;0.113;0.114;0.104;0.118;0.104;0.118;0.104;1.0;0.104;0.104;0.0;0.408;0.118;0.118;0.104
ENST00000425263_90_90;0.999;1.0;0.915;0.909;1.0;0.878;1.0;0.878;1.0;0.104;1.0;1.0;0.208;0.094;0.878;0.878;0.997
ENST00000426481_90_90;0.999;1.0;0.915;0.909;1.0;0.878;1.0;0.878;1.0;0.104;1.0;1.0;0.208;0.094;0.878;0.878;0.997
ENST00000438314_90_90;0.207;0.208;0.227;0.228;0.208;0.085;0.208;0.085;0.208;0.0;0.208;0.208;1.0;0.0;0.085;0.085;0.205
ENST00000444696_90_90;0.094;0.094;0.102;0.103;0.094;0.107;0.094;0.107;0.094;0.408;0.094;0.094;0.0;1.0;0.107;0.107;0.094
ENST00000541738_90_90;0.878;0.878;0.792;0.787;0.878;1.0;0.878;1.0;0.878;0.118;0.878;0.878;0.085;0.107;1.0;1.0;0.88
ENSMUST00000072406_90_90;0.878;0.878;0.792;0.787;0.878;1.0;0.878;1.0;0.878;0.118;0.878;0.878;0.085;0.107;1.0;1.0;0.88
ENSMUST00000171795_90_90;0.996;0.997;0.912;0.906;0.997;0.88;0.997;0.88;0.997;0.104;0.997;0.997;0.205;0.094;0.88;0.88;1.0
