;ENSCAFT00000018720_90_90;ENST00000347464_90_90;ENST00000373525_90_90;ENST00000392017_90_90;ENST00000392018_90_90;ENST00000392020_90_90;ENST00000392021_90_90;ENST00000417017_90_90;ENST00000419681_90_90;ENST00000431917_90_90;ENST00000444735_90_90;ENSMUST00000027512_90_90;ENSMUST00000113186_90_90;ENSMUST00000113190_90_90;ENSMUST00000144047_90_90
ENSCAFT00000018720_90_90;1.0;0.627;0.637;0.904;0.861;0.841;0.057;0.364;0.309;0.098;0.324;0.885;0.824;0.861;0.285
ENST00000347464_90_90;0.627;1.0;0.842;0.708;0.638;0.76;0.081;0.274;0.492;0.0;0.332;0.65;0.693;0.605;0.068
ENST00000373525_90_90;0.637;0.842;1.0;0.721;0.647;0.653;0.079;0.318;0.477;0.0;0.43;0.661;0.598;0.614;0.064
ENST00000392017_90_90;0.904;0.708;0.721;1.0;0.899;0.932;0.057;0.364;0.346;0.098;0.324;0.927;0.865;0.861;0.285
ENST00000392018_90_90;0.861;0.638;0.647;0.899;1.0;0.841;0.051;0.324;0.305;0.088;0.425;0.845;0.79;0.918;0.254
ENST00000392020_90_90;0.841;0.76;0.653;0.932;0.841;1.0;0.061;0.347;0.375;0.106;0.266;0.865;0.92;0.804;0.307
ENST00000392021_90_90;0.057;0.081;0.079;0.057;0.051;0.061;1.0;0.163;0.177;0.0;0.144;0.056;0.06;0.051;0.0
ENST00000417017_90_90;0.364;0.274;0.318;0.364;0.324;0.347;0.163;1.0;0.49;0.172;0.467;0.354;0.336;0.324;0.329
ENST00000419681_90_90;0.309;0.492;0.477;0.346;0.305;0.375;0.177;0.49;1.0;0.0;0.604;0.335;0.362;0.305;0.1
ENST00000431917_90_90;0.098;0.0;0.0;0.098;0.088;0.106;0.0;0.172;0.0;1.0;0.0;0.096;0.103;0.088;0.346
ENST00000444735_90_90;0.324;0.332;0.43;0.324;0.425;0.266;0.144;0.467;0.604;0.0;1.0;0.316;0.26;0.391;0.074
ENSMUST00000027512_90_90;0.885;0.65;0.661;0.927;0.845;0.865;0.056;0.354;0.335;0.096;0.316;1.0;0.934;0.922;0.277
ENSMUST00000113186_90_90;0.824;0.693;0.598;0.865;0.79;0.92;0.06;0.336;0.362;0.103;0.26;0.934;1.0;0.863;0.297
ENSMUST00000113190_90_90;0.861;0.605;0.614;0.861;0.918;0.804;0.051;0.324;0.305;0.088;0.391;0.922;0.863;1.0;0.254
ENSMUST00000144047_90_90;0.285;0.068;0.064;0.285;0.254;0.307;0.0;0.329;0.1;0.346;0.074;0.277;0.297;0.254;1.0
