;ENSCAFT00000016458_90_90;ENSCAFT00000047049_90_90;ENST00000257118_90_90;ENST00000373418_90_90;ENST00000373422_90_90;ENST00000431992_90_90;ENSMUST00000030588_90_90;ENSMUST00000106079_90_90;ENSMUST00000106080_90_90;ENSMUST00000120946_90_90;ENSMUST00000133439_90_90;ENSMUST00000134421_90_90;ENSMUST00000136377_90_90;ENSMUST00000138445_90_90;ENSMUST00000143632_90_90;ENSMUST00000147572_90_90
ENSCAFT00000016458_90_90;1.0;0.967;0.908;0.381;0.581;0.99;0.952;0.383;0.952;0.059;0.124;0.226;0.24;0.093;0.093;0.285
ENSCAFT00000047049_90_90;0.967;1.0;0.946;0.365;0.557;0.952;0.99;0.368;0.99;0.057;0.119;0.216;0.279;0.089;0.089;0.273
ENST00000257118_90_90;0.908;0.946;1.0;0.362;0.51;0.922;0.956;0.382;0.956;0.061;0.127;0.228;0.276;0.095;0.095;0.286
ENST00000373418_90_90;0.381;0.365;0.362;1.0;0.633;0.361;0.365;1.0;0.365;0.16;0.333;0.597;0.0;0.249;0.249;0.75
ENST00000373422_90_90;0.581;0.557;0.51;0.633;1.0;0.571;0.579;0.633;0.579;0.096;0.2;0.369;0.0;0.15;0.15;0.468
ENST00000431992_90_90;0.99;0.952;0.922;0.361;0.571;1.0;0.962;0.38;0.962;0.059;0.123;0.224;0.228;0.092;0.092;0.283
ENSMUST00000030588_90_90;0.952;0.99;0.956;0.365;0.579;0.962;1.0;0.344;1.0;0.052;0.108;0.2;0.293;0.081;0.081;0.254
ENSMUST00000106079_90_90;0.383;0.368;0.382;1.0;0.633;0.38;0.344;1.0;0.344;0.16;0.333;0.597;0.0;0.249;0.249;0.75
ENSMUST00000106080_90_90;0.952;0.99;0.956;0.365;0.579;0.962;1.0;0.344;1.0;0.052;0.108;0.2;0.293;0.081;0.081;0.254
ENSMUST00000120946_90_90;0.059;0.057;0.061;0.16;0.096;0.059;0.052;0.16;0.052;1.0;0.463;0.245;0.0;0.348;0.348;0.199
ENSMUST00000133439_90_90;0.124;0.119;0.127;0.333;0.2;0.123;0.108;0.333;0.108;0.463;1.0;0.52;0.0;0.351;0.351;0.417
ENSMUST00000134421_90_90;0.226;0.216;0.228;0.597;0.369;0.224;0.2;0.597;0.2;0.245;0.52;1.0;0.0;0.39;0.39;0.782
ENSMUST00000136377_90_90;0.24;0.279;0.276;0.0;0.0;0.228;0.293;0.0;0.293;0.0;0.0;0.0;1.0;0.0;0.0;0.0
ENSMUST00000138445_90_90;0.093;0.089;0.095;0.249;0.15;0.092;0.081;0.249;0.081;0.348;0.351;0.39;0.0;1.0;1.0;0.314
ENSMUST00000143632_90_90;0.093;0.089;0.095;0.249;0.15;0.092;0.081;0.249;0.081;0.348;0.351;0.39;0.0;1.0;1.0;0.314
ENSMUST00000147572_90_90;0.285;0.273;0.286;0.75;0.468;0.283;0.254;0.75;0.254;0.199;0.417;0.782;0.0;0.314;0.314;1.0
