;transcript49_ENSCGRG00015005362;transcript50_ENSCGRG00015005362;transcript50_ENSCGRG00000018457;transcript8_ENSCGRG00000018457;transcript44_ENSCGRG00000018457;transcript45_ENSCGRG00000018457;transcript45_ENSCGRG00001010245;transcript57_ENSCGRG00000018457;transcript58_ENSCGRG00000018457;transcript59_ENSCGRG00000018457;transcript60_ENSCGRG00000018457;transcript22_ENSCGRG00001010245;transcript22_ENSNGAG00000018584;transcript22_ENSSTOG00000019743
transcript49_ENSCGRG00015005362;1.0;0.671;0.671;0.622;1.0;0.662;0.662;0.878;0.878;0.486;0.657;0.662;0.435;0.662
transcript50_ENSCGRG00015005362;0.671;1.0;1.0;0.931;0.671;0.919;0.919;0.632;0.632;0.809;0.985;0.919;0.521;0.919
transcript50_ENSCGRG00000018457;0.671;1.0;1.0;0.931;0.671;0.919;0.919;0.632;0.632;0.809;0.985;0.919;0.521;0.919
transcript8_ENSCGRG00000018457;0.622;0.931;0.931;1.0;0.622;0.959;0.959;0.606;0.606;0.75;0.917;0.959;0.521;0.959
transcript44_ENSCGRG00000018457;1.0;0.671;0.671;0.622;1.0;0.662;0.662;0.878;0.878;0.486;0.657;0.662;0.435;0.662
transcript45_ENSCGRG00000018457;0.662;0.919;0.919;0.959;0.662;1.0;1.0;0.581;0.581;0.743;0.905;1.0;0.541;1.0
transcript45_ENSCGRG00001010245;0.662;0.919;0.919;0.959;0.662;1.0;1.0;0.581;0.581;0.743;0.905;1.0;0.541;1.0
transcript57_ENSCGRG00000018457;0.878;0.632;0.632;0.606;0.878;0.581;0.581;1.0;1.0;0.441;0.618;0.581;0.383;0.581
transcript58_ENSCGRG00000018457;0.878;0.632;0.632;0.606;0.878;0.581;0.581;1.0;1.0;0.441;0.618;0.581;0.383;0.581
transcript59_ENSCGRG00000018457;0.486;0.809;0.809;0.75;0.486;0.743;0.743;0.441;0.441;1.0;0.821;0.743;0.462;0.743
transcript60_ENSCGRG00000018457;0.657;0.985;0.985;0.917;0.657;0.905;0.905;0.618;0.618;0.821;1.0;0.905;0.507;0.905
transcript22_ENSCGRG00001010245;0.662;0.919;0.919;0.959;0.662;1.0;1.0;0.581;0.581;0.743;0.905;1.0;0.541;1.0
transcript22_ENSNGAG00000018584;0.435;0.521;0.521;0.521;0.435;0.541;0.541;0.383;0.383;0.462;0.507;0.541;1.0;0.541
transcript22_ENSSTOG00000019743;0.662;0.919;0.919;0.959;0.662;1.0;1.0;0.581;0.581;0.743;0.905;1.0;0.541;1.0
