;ENSCAFT00000023912_90_90;ENST00000336604_90_90;ENST00000356896_90_90;ENST00000396840_90_90;ENST00000436152_90_90;ENST00000465801_90_90;ENST00000487279_90_90;ENST00000615885_90_90;ENST00000619571_90_90;ENSMUST00000117675_90_90;ENSMUST00000119527_90_90;ENSMUST00000144364_90_90;ENSMUST00000148835_90_90
ENSCAFT00000023912_90_90;1.0;0.843;0.883;0.764;0.518;0.476;0.303;0.518;0.849;0.914;0.829;0.501;0.713
ENST00000336604_90_90;0.843;1.0;0.954;0.897;0.499;0.527;0.318;0.499;0.908;0.908;0.815;0.476;0.628
ENST00000356896_90_90;0.883;0.954;1.0;0.86;0.545;0.499;0.31;0.545;0.952;0.873;0.787;0.463;0.671
ENST00000396840_90_90;0.764;0.897;0.86;1.0;0.406;0.424;0.339;0.406;0.823;0.815;0.889;0.51;0.608
ENST00000436152_90_90;0.518;0.499;0.545;0.406;1.0;0.926;0.0;1.0;0.515;0.499;0.406;0.085;0.634
ENST00000465801_90_90;0.476;0.527;0.499;0.424;0.926;1.0;0.0;0.926;0.474;0.527;0.424;0.089;0.583
ENST00000487279_90_90;0.303;0.318;0.31;0.339;0.0;0.0;1.0;0.0;0.3;0.318;0.339;0.484;0.113
ENST00000615885_90_90;0.518;0.499;0.545;0.406;1.0;0.926;0.0;1.0;0.515;0.499;0.406;0.085;0.634
ENST00000619571_90_90;0.849;0.908;0.952;0.823;0.515;0.474;0.3;0.515;1.0;0.837;0.758;0.447;0.641
ENSMUST00000117675_90_90;0.914;0.908;0.873;0.815;0.499;0.527;0.318;0.499;0.837;1.0;0.897;0.537;0.701
ENSMUST00000119527_90_90;0.829;0.815;0.787;0.889;0.406;0.424;0.339;0.406;0.758;0.897;1.0;0.589;0.686
ENSMUST00000144364_90_90;0.501;0.476;0.463;0.51;0.085;0.089;0.484;0.085;0.447;0.537;0.589;1.0;0.334
ENSMUST00000148835_90_90;0.713;0.628;0.671;0.608;0.634;0.583;0.113;0.634;0.641;0.701;0.686;0.334;1.0
