;ENSCAFT00000016458_90_90;ENSCAFT00000047049_90_90;ENST00000257118_90_90;ENST00000373418_90_90;ENST00000373422_90_90;ENST00000431992_90_90;ENSMUST00000030588_90_90;ENSMUST00000106079_90_90;ENSMUST00000106080_90_90;ENSMUST00000120946_90_90;ENSMUST00000133439_90_90;ENSMUST00000134421_90_90;ENSMUST00000136377_90_90;ENSMUST00000138445_90_90;ENSMUST00000143632_90_90;ENSMUST00000147572_90_90
ENSCAFT00000016458_90_90;;;0.768;0.329;0.489;0.825;0.782;0.329;0.782;0.047;0.099;0.186;0.206;0.074;0.074;0.238
ENSCAFT00000047049_90_90;;;0.799;0.317;0.473;0.798;0.814;0.317;0.814;0.045;0.096;0.18;0.238;0.072;0.072;0.231
ENST00000257118_90_90;0.768;0.799;;;;;0.865;0.362;0.865;0.056;0.118;0.214;0.255;0.088;0.088;0.27
ENST00000373418_90_90;0.329;0.317;;;;;0.344;1.0;0.344;0.16;0.333;0.597;0.0;0.249;0.249;0.75
ENST00000373422_90_90;0.489;0.473;;;;;0.542;0.633;0.542;0.096;0.2;0.369;0.0;0.15;0.15;0.468
ENST00000431992_90_90;0.825;0.798;;;;;0.867;0.361;0.867;0.055;0.116;0.211;0.212;0.086;0.086;0.268
ENSMUST00000030588_90_90;0.782;0.814;0.865;0.344;0.542;0.867;;;;;;;;;;
ENSMUST00000106079_90_90;0.329;0.317;0.362;1.0;0.633;0.361;;;;;;;;;;
ENSMUST00000106080_90_90;0.782;0.814;0.865;0.344;0.542;0.867;;;;;;;;;;
ENSMUST00000120946_90_90;0.047;0.045;0.056;0.16;0.096;0.055;;;;;;;;;;
ENSMUST00000133439_90_90;0.099;0.096;0.118;0.333;0.2;0.116;;;;;;;;;;
ENSMUST00000134421_90_90;0.186;0.18;0.214;0.597;0.369;0.211;;;;;;;;;;
ENSMUST00000136377_90_90;0.206;0.238;0.255;0.0;0.0;0.212;;;;;;;;;;
ENSMUST00000138445_90_90;0.074;0.072;0.088;0.249;0.15;0.086;;;;;;;;;;
ENSMUST00000143632_90_90;0.074;0.072;0.088;0.249;0.15;0.086;;;;;;;;;;
ENSMUST00000147572_90_90;0.238;0.231;0.27;0.75;0.468;0.268;;;;;;;;;;
