;transcript9_ENSAPOG00000016134;transcript9_ENSXMAG00000026005;transcript14_ENSAPOG00000016134;transcript14_ENSAPOG00000023408;transcript21_ENSAPOG00000016134;transcript21_ENSPNYG00000024266;transcript7_ENSAPOG00000023408;transcript7_ENSAOCG00000015695;transcript7_ENSPNYG00000024266;transcript7_ENSXMAG00000026005;transcript23_ENSAPOG00000023408;transcript23_ENSPNYG00000024266;transcript28_ENSAPOG00000023408;transcript28_ENSAOCG00000015695;transcript29_ENSAPOG00000023408;transcript29_ENSAOCG00000015695;transcript30_ENSAPOG00000023408;transcript31_ENSAPOG00000023408;transcript17_ENSAOCG00000015695;transcript18_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript24_ENSPNYG00000024266
transcript9_ENSAPOG00000016134;1.0;0.664;0.393;0.393;0.352;0.235;0.701;0.684;0.626;0.64;0.514;0.424;0.442;0.431;0.571;0.571;0.516;0.606;0.393;0.385;0.406;0.406;0.398;0.39;0.401
transcript9_ENSXMAG00000026005;0.664;1.0;0.348;0.348;0.298;0.202;0.711;0.692;0.667;0.779;0.47;0.441;0.398;0.42;0.488;0.488;0.465;0.519;0.354;0.341;0.394;0.394;0.352;0.361;0.366
transcript14_ENSAPOG00000016134;0.393;0.348;1.0;1.0;0.603;0.543;0.275;0.275;0.259;0.271;0.741;0.782;0.867;0.815;0.688;0.688;0.749;0.648;0.984;0.972;0.883;0.883;0.988;0.964;0.951
transcript14_ENSAPOG00000023408;0.393;0.348;1.0;1.0;0.603;0.543;0.275;0.275;0.259;0.271;0.741;0.782;0.867;0.815;0.688;0.688;0.749;0.648;0.984;0.972;0.883;0.883;0.988;0.964;0.951
transcript21_ENSAPOG00000016134;0.352;0.298;0.603;0.603;1.0;0.497;0.206;0.206;0.177;0.213;0.775;0.536;0.69;0.58;0.715;0.715;0.805;0.652;0.6;0.591;0.582;0.582;0.611;0.586;0.587
transcript21_ENSPNYG00000024266;0.235;0.202;0.543;0.543;0.497;1.0;0.104;0.104;0.07;0.11;0.441;0.449;0.464;0.401;0.427;0.427;0.463;0.463;0.545;0.532;0.461;0.461;0.549;0.525;0.544
transcript7_ENSAPOG00000023408;0.701;0.711;0.275;0.275;0.206;0.104;1.0;0.971;0.886;0.901;0.372;0.349;0.309;0.332;0.4;0.4;0.36;0.425;0.28;0.27;0.312;0.312;0.279;0.286;0.289
transcript7_ENSAOCG00000015695;0.684;0.692;0.275;0.275;0.206;0.104;0.971;1.0;0.886;0.875;0.372;0.349;0.309;0.332;0.4;0.4;0.36;0.425;0.28;0.27;0.312;0.312;0.279;0.286;0.289
transcript7_ENSPNYG00000024266;0.626;0.667;0.259;0.259;0.177;0.07;0.886;0.886;1.0;0.845;0.35;0.328;0.284;0.312;0.36;0.36;0.332;0.383;0.263;0.254;0.294;0.294;0.262;0.269;0.272
transcript7_ENSXMAG00000026005;0.64;0.779;0.271;0.271;0.213;0.11;0.901;0.875;0.845;1.0;0.366;0.344;0.31;0.327;0.378;0.378;0.362;0.401;0.276;0.266;0.307;0.307;0.275;0.282;0.285
transcript23_ENSAPOG00000023408;0.514;0.47;0.741;0.741;0.775;0.441;0.372;0.372;0.35;0.366;1.0;0.695;0.83;0.732;0.878;0.878;0.968;0.824;0.739;0.726;0.728;0.728;0.75;0.725;0.749
transcript23_ENSPNYG00000024266;0.424;0.441;0.782;0.782;0.536;0.449;0.349;0.349;0.328;0.344;0.695;1.0;0.691;0.786;0.629;0.629;0.696;0.628;0.78;0.767;0.86;0.86;0.792;0.812;0.792
transcript28_ENSAPOG00000023408;0.442;0.398;0.867;0.867;0.69;0.464;0.309;0.309;0.284;0.31;0.83;0.691;1.0;0.776;0.771;0.771;0.856;0.725;0.866;0.85;0.771;0.771;0.878;0.853;0.841
transcript28_ENSAOCG00000015695;0.431;0.42;0.815;0.815;0.58;0.401;0.332;0.332;0.312;0.327;0.732;0.786;0.776;1.0;0.682;0.682;0.741;0.637;0.829;0.799;0.923;0.923;0.818;0.794;0.803
transcript29_ENSAPOG00000023408;0.571;0.488;0.688;0.688;0.715;0.427;0.4;0.4;0.36;0.378;0.878;0.629;0.771;0.682;1.0;1.0;0.898;0.875;0.686;0.675;0.672;0.672;0.697;0.672;0.688
transcript29_ENSAOCG00000015695;0.571;0.488;0.688;0.688;0.715;0.427;0.4;0.4;0.36;0.378;0.878;0.629;0.771;0.682;1.0;1.0;0.898;0.875;0.686;0.675;0.672;0.672;0.697;0.672;0.688
transcript30_ENSAPOG00000023408;0.516;0.465;0.749;0.749;0.805;0.463;0.36;0.36;0.332;0.362;0.968;0.696;0.856;0.741;0.898;0.898;1.0;0.845;0.747;0.734;0.737;0.737;0.758;0.734;0.736
transcript31_ENSAPOG00000023408;0.606;0.519;0.648;0.648;0.652;0.463;0.425;0.425;0.383;0.401;0.824;0.628;0.725;0.637;0.875;0.875;0.845;1.0;0.645;0.635;0.629;0.629;0.656;0.631;0.632
transcript17_ENSAOCG00000015695;0.393;0.354;0.984;0.984;0.6;0.545;0.28;0.28;0.263;0.276;0.739;0.78;0.866;0.829;0.686;0.686;0.747;0.645;1.0;0.964;0.897;0.897;0.988;0.963;0.951
transcript18_ENSAOCG00000015695;0.385;0.341;0.972;0.972;0.591;0.532;0.27;0.27;0.254;0.266;0.726;0.767;0.85;0.799;0.675;0.675;0.734;0.635;0.964;1.0;0.865;0.865;0.968;0.944;0.933
transcript26_ENSAOCG00000015695;0.406;0.394;0.883;0.883;0.582;0.461;0.312;0.312;0.294;0.307;0.728;0.86;0.771;0.923;0.672;0.672;0.737;0.629;0.897;0.865;1.0;1.0;0.886;0.861;0.872
