;ENSCAFT00000005580_90_90;ENSCAFT00000005583_90_90;ENST00000272238_90_90;ENST00000381661_90_90;ENST00000635370_90_90;ENSMUST00000020884_90_90;ENSMUST00000095820_90_90;ENSMUST00000127185_90_90;ENSMUST00000140751_90_90;ENSMUST00000143131_90_90;ENSMUST00000153090_90_90;ENSMUST00000156727_90_90;ENSMUST00000221129_90_90;ENSMUST00000222103_90_90
ENSCAFT00000005580_90_90;1.0;0.907;0.869;0.958;0.907;0.904;0.861;0.219;0.593;0.228;0.493;0.655;0.953;0.176
ENSCAFT00000005583_90_90;0.907;1.0;0.961;0.869;1.0;0.999;0.958;0.199;0.538;0.206;0.448;0.751;0.861;0.16
ENST00000272238_90_90;0.869;0.961;1.0;0.907;0.922;0.916;0.999;0.199;0.58;0.206;0.49;0.793;0.904;0.16
ENST00000381661_90_90;0.958;0.869;0.907;1.0;0.836;0.828;0.904;0.219;0.638;0.228;0.539;0.698;0.999;0.176
ENST00000635370_90_90;0.907;1.0;0.922;0.836;1.0;0.999;0.916;0.179;0.522;0.186;0.439;0.73;0.828;0.146
ENSMUST00000020884_90_90;0.904;0.999;0.916;0.828;0.999;1.0;0.922;0.207;0.508;0.214;0.454;0.708;0.836;0.164
ENSMUST00000095820_90_90;0.861;0.958;0.999;0.904;0.916;0.922;1.0;0.228;0.557;0.236;0.503;0.764;0.907;0.178
ENSMUST00000127185_90_90;0.219;0.199;0.199;0.219;0.179;0.207;0.228;1.0;0.352;0.589;0.459;0.059;0.25;0.351
ENSMUST00000140751_90_90;0.593;0.538;0.58;0.638;0.522;0.508;0.557;0.352;1.0;0.369;0.768;0.335;0.609;0.272
ENSMUST00000143131_90_90;0.228;0.206;0.206;0.228;0.186;0.214;0.236;0.589;0.369;1.0;0.483;0.0;0.259;0.609
ENSMUST00000153090_90_90;0.493;0.448;0.49;0.539;0.439;0.454;0.503;0.459;0.768;0.483;1.0;0.268;0.551;0.343
ENSMUST00000156727_90_90;0.655;0.751;0.793;0.698;0.73;0.708;0.764;0.059;0.335;0.0;0.268;1.0;0.671;0.0
ENSMUST00000221129_90_90;0.953;0.861;0.904;0.999;0.828;0.836;0.907;0.25;0.609;0.259;0.551;0.671;1.0;0.194
ENSMUST00000222103_90_90;0.176;0.16;0.16;0.176;0.146;0.164;0.178;0.351;0.272;0.609;0.343;0.0;0.194;1.0
