;transcript8_ENSMSIG00000000513;transcript8_ENSMUSG00000054036;transcript8_ENSRNOG00000031503;transcript47_MGP-SPRETEiJ-G0021131;transcript47_ENSMUSG00000054036;transcript47_ENSMUGG00000013649;transcript42_ENSMUSG00000054036;transcript42_ENSRNOG00000031503;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript7_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript44_ENSMUGG00000013649;transcript48_ENSMUGG00000013649;transcript28_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript53_ENSMUGG00000013592;transcript54_ENSMUGG00000013592;transcript25_ENSPEMG00000024651
transcript8_ENSMSIG00000000513;1.0;1.0;0.963;1.0;0.709;1.0;1.0;0.963;1.0;0.914;1.0;0.996;1.0;1.0;0.996;0.996;0.996;0.996;1.0
transcript8_ENSMUSG00000054036;1.0;1.0;0.963;1.0;0.709;1.0;1.0;0.963;1.0;0.914;0.539;0.54;0.469;0.469;0.47;0.521;0.47;0.47;0.469
transcript8_ENSRNOG00000031503;0.963;0.963;1.0;1.0;0.728;1.0;0.963;1.0;0.958;0.895;0.503;0.502;0.407;0.407;0.408;0.484;0.408;0.408;0.407
transcript47_MGP-SPRETEiJ-G0021131;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript47_ENSMUSG00000054036;0.709;0.709;0.728;1.0;1.0;1.0;0.709;0.728;0.651;0.798;0.349;0.352;0.299;0.299;0.302;0.338;0.302;0.302;0.299
transcript47_ENSMUGG00000013649;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.382;0.385;0.364;0.364;0.367;0.367;0.367;0.367;0.364
transcript42_ENSMUSG00000054036;1.0;1.0;0.963;1.0;0.709;1.0;1.0;0.969;1.0;0.928;0.58;0.578;0.509;0.509;0.509;0.56;0.509;0.509;0.509
transcript42_ENSRNOG00000031503;0.963;0.963;1.0;1.0;0.728;1.0;0.969;1.0;0.965;0.911;0.543;0.539;0.446;0.446;0.445;0.521;0.445;0.445;0.446
transcript54_ENSMUSG00000054036;1.0;1.0;0.958;1.0;0.651;1.0;1.0;0.965;1.0;0.918;0.551;0.55;0.48;0.48;0.48;0.531;0.48;0.48;0.48
transcript55_ENSMUSG00000054036;0.914;0.914;0.895;1.0;0.798;1.0;0.928;0.911;0.918;1.0;0.529;0.531;0.464;0.464;0.466;0.513;0.466;0.466;0.464
transcript7_ENSMUGG00000013649;1.0;0.539;0.503;1.0;0.349;0.382;0.58;0.543;0.551;0.529;1.0;0.988;0.99;0.989;0.979;0.979;0.918;0.836;0.99
transcript7_ENSMUGG00000013592;0.996;0.54;0.502;1.0;0.352;0.385;0.578;0.539;0.55;0.531;0.988;1.0;0.915;0.911;0.931;0.992;0.873;0.796;0.858
transcript44_ENSMUGG00000013649;1.0;0.469;0.407;1.0;0.299;0.364;0.509;0.446;0.48;0.464;0.99;0.915;1.0;1.0;0.988;0.923;0.929;0.85;1.0
transcript48_ENSMUGG00000013649;1.0;0.469;0.407;1.0;0.299;0.364;0.509;0.446;0.48;0.464;0.989;0.911;1.0;1.0;0.987;0.92;0.926;0.842;1.0
transcript28_ENSMUGG00000013592;0.996;0.47;0.408;1.0;0.302;0.367;0.509;0.445;0.48;0.466;0.979;0.931;0.988;0.987;1.0;0.938;0.943;0.867;0.923
transcript52_ENSMUGG00000013592;0.996;0.521;0.484;1.0;0.338;0.367;0.56;0.521;0.531;0.513;0.979;0.992;0.923;0.92;0.938;1.0;0.881;0.803;0.865
transcript53_ENSMUGG00000013592;0.996;0.47;0.408;1.0;0.302;0.367;0.509;0.445;0.48;0.466;0.918;0.873;0.929;0.926;0.943;0.881;1.0;0.811;0.871
transcript54_ENSMUGG00000013592;0.996;0.47;0.408;1.0;0.302;0.367;0.509;0.445;0.48;0.466;0.836;0.796;0.85;0.842;0.867;0.803;0.811;1.0;0.801
transcript25_ENSPEMG00000024651;1.0;0.469;0.407;1.0;0.299;0.364;0.509;0.446;0.48;0.464;0.99;0.858;1.0;1.0;0.923;0.865;0.871;0.801;1.0
