;ENSCAFT00000005965_90_90;ENSCAFT00000045237_90_90;ENST00000323906_90_90;ENST00000391859_90_90;ENST00000426897_90_90;ENST00000535669_90_90;ENST00000594743_90_90;ENST00000595660_90_90;ENST00000595725_90_90;ENST00000597602_90_90;ENST00000598095_90_90;ENSMUST00000033063_90_90;ENSMUST00000098461_90_90;ENSMUST00000209779_90_90;ENSMUST00000210078_90_90;ENSMUST00000210226_90_90;ENSMUST00000210372_90_90;ENSMUST00000211373_90_90
ENSCAFT00000005965_90_90;1.0;0.934;0.82;0.3;0.786;0.738;0.541;0.381;0.352;0.089;0.701;0.834;0.855;0.637;0.684;0.234;0.0;0.771
ENSCAFT00000045237_90_90;0.934;1.0;0.82;0.3;0.786;0.738;0.541;0.381;0.352;0.089;0.701;0.857;0.881;0.658;0.704;0.241;0.0;0.794
ENST00000323906_90_90;0.82;0.82;1.0;0.482;0.673;0.855;0.38;0.389;0.539;0.077;0.555;0.97;0.999;0.81;0.768;0.192;0.222;0.892
ENST00000391859_90_90;0.3;0.3;0.482;1.0;0.182;0.472;0.059;0.554;0.728;0.127;0.179;0.503;0.514;0.633;0.5;0.0;0.409;0.532
ENST00000426897_90_90;0.786;0.786;0.673;0.182;1.0;0.555;0.542;0.133;0.253;0.113;0.789;0.669;0.692;0.503;0.578;0.274;0.0;0.597
ENST00000535669_90_90;0.738;0.738;0.855;0.472;0.555;1.0;0.374;0.385;0.529;0.077;0.679;0.851;0.875;0.829;0.783;0.238;0.226;0.978
ENST00000594743_90_90;0.541;0.541;0.38;0.059;0.542;0.374;1.0;0.022;0.108;0.0;0.523;0.397;0.405;0.328;0.393;0.304;0.0;0.417
ENST00000595660_90_90;0.381;0.381;0.389;0.554;0.133;0.385;0.022;1.0;0.577;0.114;0.133;0.412;0.421;0.504;0.398;0.0;0.474;0.434
ENST00000595725_90_90;0.352;0.352;0.539;0.728;0.253;0.529;0.108;0.577;1.0;0.155;0.248;0.514;0.527;0.649;0.514;0.0;0.336;0.546
ENST00000597602_90_90;0.089;0.089;0.077;0.127;0.113;0.077;0.0;0.114;0.155;1.0;0.112;0.075;0.079;0.097;0.097;0.0;0.0;0.082
ENST00000598095_90_90;0.701;0.701;0.555;0.179;0.789;0.679;0.523;0.133;0.248;0.112;1.0;0.567;0.584;0.516;0.592;0.352;0.0;0.665
ENSMUST00000033063_90_90;0.834;0.857;0.97;0.503;0.669;0.851;0.397;0.412;0.514;0.075;0.567;1.0;0.911;0.698;0.782;0.171;0.206;0.82
ENSMUST00000098461_90_90;0.855;0.881;0.999;0.514;0.692;0.875;0.405;0.421;0.527;0.079;0.584;0.911;1.0;0.763;0.746;0.188;0.223;0.897
ENSMUST00000209779_90_90;0.637;0.658;0.81;0.633;0.503;0.829;0.328;0.504;0.649;0.097;0.516;0.698;0.763;1.0;0.746;0.083;0.247;0.794
ENSMUST00000210078_90_90;0.684;0.704;0.768;0.5;0.578;0.783;0.393;0.398;0.514;0.097;0.592;0.782;0.746;0.746;1.0;0.14;0.17;0.776
ENSMUST00000210226_90_90;0.234;0.241;0.192;0.0;0.274;0.238;0.304;0.0;0.0;0.0;0.352;0.171;0.188;0.083;0.14;1.0;0.0;0.235
ENSMUST00000210372_90_90;0.0;0.0;0.222;0.409;0.0;0.226;0.0;0.474;0.336;0.0;0.0;0.206;0.223;0.247;0.17;0.0;1.0;0.23
ENSMUST00000211373_90_90;0.771;0.794;0.892;0.532;0.597;0.978;0.417;0.434;0.546;0.082;0.665;0.82;0.897;0.794;0.776;0.235;0.23;1.0
