;ENSCAFT00000032063_90_90;ENSCAFT00000047065_90_90;ENSCAFT00000050191_90_90;ENST00000260506_90_90;ENST00000271234_90_90;ENST00000370253_90_90;ENST00000424449_90_90;ENST00000604705_90_90;ENSMUST00000162409_90_90;ENSMUST00000162947_90_90;ENSMUST00000197259_90_90
ENSCAFT00000032063_90_90;1.0;0.767;0.803;0.752;0.793;0.731;0.533;0.81;0.752;0.81;0.533
ENSCAFT00000047065_90_90;0.767;1.0;0.636;0.761;0.891;0.744;0.654;0.899;0.761;0.899;0.654
ENSCAFT00000050191_90_90;0.803;0.636;1.0;0.83;0.7;0.809;0.433;0.721;0.83;0.721;0.433
ENST00000260506_90_90;0.752;0.761;0.83;1.0;0.732;0.827;0.463;0.875;1.0;0.875;0.474
ENST00000271234_90_90;0.793;0.891;0.7;0.732;1.0;0.861;0.691;0.851;0.754;0.879;0.67
ENST00000370253_90_90;0.731;0.744;0.809;0.827;0.861;1.0;0.552;0.732;0.857;0.754;0.522
ENST00000424449_90_90;0.533;0.654;0.433;0.463;0.691;0.552;1.0;0.582;0.474;0.599;0.996
ENST00000604705_90_90;0.81;0.899;0.721;0.875;0.851;0.732;0.582;1.0;0.875;1.0;0.599
ENSMUST00000162409_90_90;0.752;0.761;0.83;1.0;0.754;0.857;0.474;0.875;1.0;0.875;0.463
ENSMUST00000162947_90_90;0.81;0.899;0.721;0.875;0.879;0.754;0.599;1.0;0.875;1.0;0.582
ENSMUST00000197259_90_90;0.533;0.654;0.433;0.474;0.67;0.522;0.996;0.599;0.463;0.582;1.0
