;transcript14_ENSMLUG00000027828;transcript13_ENSMLUG00000027828;transcript22_ENSMLUG00000027828;transcript9_ENSMLUG00000027828;transcript7_ENSCCNG00000000226;transcript26_ENSCCNG00000000226;transcript24_ENSCCNG00000000226;transcript32_ENSCPOG00000024843;transcript10_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript12_ENSECAG00000007947;transcript18_ENSCCNG00000000226;transcript9_ENSCCNG00000000226;transcript7_ENSMPUG00000020072;transcript10_ENSMPUG00000020072;transcript17_ENSMPUG00000020072;transcript20_ENSMPUG00000020072;transcript23_ENSMPUG00000020072;transcript25_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript7_ENSCPOG00000024843;transcript17_ENSCPOG00000024843;transcript33_ENSCPOG00000024843;transcript18_ENSCPOG00000024843;transcript24_ENSCPOG00000024843;transcript9_ENSCPOG00000024843;transcript7_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript17_ENSSTOG00000019743;transcript9_ENSSTOG00000019743
transcript14_ENSMLUG00000027828;1.0;0.938;0.68;0.05;0.413;0.623;0.612;0.576;0.717;0.712;0.712;0.535;0.04;0.423;0.698;0.693;0.693;0.735;0.683;0.607;0.515;0.483;0.792;0.792;0.636;0.712;0.05;0.394;0.617;0.675;0.041
transcript13_ENSMLUG00000027828;0.938;1.0;0.741;0.048;0.393;0.662;0.653;0.622;0.752;0.756;0.756;0.576;0.038;0.403;0.733;0.737;0.737;0.702;0.727;0.653;0.559;0.461;0.834;0.834;0.681;0.755;0.047;0.379;0.648;0.706;0.039
transcript22_ENSMLUG00000027828;0.68;0.741;1.0;0.064;0.314;0.516;0.503;0.788;0.589;0.592;0.592;0.42;0.052;0.321;0.583;0.586;0.586;0.548;0.576;0.493;0.721;0.342;0.618;0.618;0.453;0.533;0.063;0.305;0.488;0.548;0.052
transcript9_ENSMLUG00000027828;0.05;0.048;0.064;1.0;0.073;0.042;0.044;0.051;0.044;0.044;0.044;0.05;0.684;0.077;0.041;0.041;0.041;0.044;0.042;0.048;0.052;0.078;0.04;0.04;0.052;0.045;0.842;0.077;0.043;0.04;0.765
transcript7_ENSCCNG00000000226;0.413;0.393;0.314;0.073;1.0;0.563;0.408;0.365;0.425;0.428;0.428;0.682;0.092;0.783;0.432;0.434;0.434;0.463;0.439;0.336;0.363;0.845;0.432;0.432;0.569;0.345;0.09;0.692;0.423;0.397;0.074
transcript26_ENSCCNG00000000226;0.623;0.662;0.516;0.042;0.563;1.0;0.805;0.632;0.709;0.703;0.703;0.694;0.052;0.465;0.735;0.73;0.73;0.68;0.724;0.637;0.588;0.51;0.767;0.767;0.602;0.682;0.051;0.422;0.697;0.657;0.042
transcript24_ENSCCNG00000000226;0.612;0.653;0.503;0.044;0.408;0.805;1.0;0.587;0.677;0.672;0.672;0.643;0.055;0.327;0.668;0.662;0.662;0.613;0.656;0.765;0.52;0.372;0.725;0.725;0.557;0.83;0.054;0.305;0.575;0.621;0.044
transcript32_ENSCPOG00000024843;0.576;0.622;0.788;0.051;0.365;0.632;0.587;1.0;0.696;0.695;0.695;0.491;0.051;0.375;0.704;0.703;0.703;0.646;0.693;0.57;0.851;0.407;0.784;0.784;0.543;0.658;0.06;0.35;0.588;0.645;0.044
transcript10_ENSECAG00000007947;0.717;0.752;0.589;0.044;0.425;0.709;0.677;0.696;1.0;0.994;0.994;0.601;0.041;0.435;0.776;0.771;0.771;0.718;0.76;0.682;0.625;0.485;0.849;0.849;0.679;0.766;0.049;0.396;0.655;0.686;0.038
transcript17_ENSECAG00000007947;0.712;0.756;0.592;0.044;0.428;0.703;0.672;0.695;0.994;1.0;1.0;0.595;0.041;0.438;0.771;0.775;0.775;0.722;0.764;0.685;0.628;0.488;0.844;0.844;0.674;0.761;0.05;0.398;0.65;0.681;0.038
transcript12_ENSECAG00000007947;0.712;0.756;0.592;0.044;0.428;0.703;0.672;0.695;0.994;1.0;1.0;0.595;0.041;0.438;0.771;0.775;0.775;0.722;0.764;0.685;0.628;0.488;0.844;0.844;0.674;0.761;0.05;0.398;0.65;0.681;0.038
transcript18_ENSCCNG00000000226;0.535;0.576;0.42;0.05;0.682;0.694;0.643;0.491;0.601;0.595;0.595;1.0;0.063;0.556;0.612;0.607;0.607;0.556;0.614;0.51;0.46;0.606;0.633;0.633;0.833;0.545;0.062;0.504;0.508;0.556;0.051
transcript9_ENSCCNG00000000226;0.04;0.038;0.052;0.684;0.092;0.052;0.055;0.051;0.041;0.041;0.041;0.063;1.0;0.077;0.041;0.041;0.041;0.044;0.042;0.048;0.052;0.078;0.04;0.04;0.052;0.045;0.842;0.077;0.043;0.04;0.765
transcript7_ENSMPUG00000020072;0.423;0.403;0.321;0.077;0.783;0.465;0.327;0.375;0.435;0.438;0.438;0.556;0.077;1.0;0.526;0.53;0.53;0.566;0.536;0.387;0.431;0.869;0.444;0.444;0.585;0.324;0.088;0.708;0.434;0.407;0.072
transcript10_ENSMPUG00000020072;0.698;0.733;0.583;0.041;0.432;0.735;0.668;0.704;0.776;0.771;0.771;0.612;0.041;0.526;1.0;0.994;0.994;0.929;0.982;0.844;0.791;0.488;0.844;0.844;0.674;0.717;0.047;0.402;0.668;0.703;0.038
transcript17_ENSMPUG00000020072;0.693;0.737;0.586;0.041;0.434;0.73;0.662;0.703;0.771;0.775;0.775;0.607;0.041;0.53;0.994;1.0;1.0;0.935;0.988;0.849;0.796;0.49;0.839;0.839;0.668;0.712;0.047;0.404;0.662;0.698;0.038
