;ENSCAFT00000028867_90_90;ENST00000348628_90_90;ENST00000398376_90_90;ENST00000510347_90_90;ENST00000515758_90_90;ENSMUST00000025519_90_90;ENSMUST00000039904_90_90;ENSMUST00000102888_90_90;ENSMUST00000115295_90_90;ENSMUST00000115297_90_90;ENSMUST00000137805_90_90
ENSCAFT00000028867_90_90;;0.844;0.845;0.219;0.071;0.845;0.239;0.844;0.266;0.126;0.341
ENST00000348628_90_90;0.844;;;;;0.912;0.287;1.0;0.266;0.174;0.399
ENST00000398376_90_90;0.845;;;;;1.0;0.266;0.912;0.349;0.155;0.361
ENST00000510347_90_90;0.219;;;;;0.246;0.0;0.277;0.0;0.479;0.365
ENST00000515758_90_90;0.071;;;;;0.064;0.0;0.071;0.0;0.0;0.141
ENSMUST00000025519_90_90;0.845;0.912;1.0;0.246;0.064;;;;;;
ENSMUST00000039904_90_90;0.239;0.287;0.266;0.0;0.0;;;;;;
ENSMUST00000102888_90_90;0.844;1.0;0.912;0.277;0.071;;;;;;
ENSMUST00000115295_90_90;0.266;0.266;0.349;0.0;0.0;;;;;;
ENSMUST00000115297_90_90;0.126;0.174;0.155;0.479;0.0;;;;;;
ENSMUST00000137805_90_90;0.341;0.399;0.361;0.365;0.141;;;;;;
