;ENSCAFT00000004031_90_90;ENST00000308924_90_90;ENST00000450554_90_90;ENST00000587196_90_90;ENST00000590551_90_90;ENST00000592874_90_90;ENSMUST00000005041_90_90;ENSMUST00000165399_90_90;ENSMUST00000207097_90_90;ENSMUST00000207498_90_90;ENSMUST00000209099_90_90
ENSCAFT00000004031_90_90;1.0;1.0;0.944;0.222;0.111;0.056;0.308;0.154;0.615;0.077;0.385
ENST00000308924_90_90;1.0;1.0;0.909;0.217;0.136;0.091;0.4;0.2;0.467;0.133;0.533
ENST00000450554_90_90;0.944;0.909;1.0;0.238;0.15;0.1;0.462;0.231;0.538;0.154;0.4
ENST00000587196_90_90;0.222;0.217;0.238;1.0;0.0;0.0;0.0;0.0;0.286;0.0;0.0
ENST00000590551_90_90;0.111;0.136;0.15;0.0;1.0;0.0;0.5;1.0;0.0;0.0;0.375
ENST00000592874_90_90;0.056;0.091;0.1;0.0;0.0;1.0;0.333;0.0;0.0;1.0;0.25
ENSMUST00000005041_90_90;0.308;0.4;0.462;0.0;0.5;0.333;1.0;0.333;0.056;0.333;0.818
ENSMUST00000165399_90_90;0.154;0.2;0.231;0.0;1.0;0.0;0.333;1.0;0.0;0.0;0.273
ENSMUST00000207097_90_90;0.615;0.467;0.538;0.286;0.0;0.0;0.056;0.0;1.0;0.0;0.05
ENSMUST00000207498_90_90;0.077;0.133;0.154;0.0;0.0;1.0;0.333;0.0;0.0;1.0;0.273
ENSMUST00000209099_90_90;0.385;0.533;0.4;0.0;0.375;0.25;0.818;0.273;0.05;0.273;1.0
